2 lépéses loopok:;;;;;;
adattábla: 16 BRUNEI edgelist.txt;;;;;;
;;;;;;
" Sdemzoob"""",""-(Element119)-> ""Pela"""",""-(Element126)-> ""Sdemzoob""""";;;;;;
"-(Element140)-> Lcrus"""",""-(Element130)-> ""Hetbent"""",""-(Element140)-> ""Lcrus""""";;;;;;
;;;;;;
16 BRUNEI edgelist_loopless_TL+W.txt.txt;;;;;;
Kivett kapcs (2);Kisebb súly?;W;w;TL-tl;;
Sdemzoob --> Pela;IGEN;0,84;0,403;0,33;0,101538462;OK
Lcrus --> Helbent;IGEN;1,388;0,521;0,5;0,153846154;OK
