"TI3";""Herr"";""Jack"";""Mack"";""CatFish"";""Snap"";""Croak"";""Group"";""Sha"";""Ofish"";""Squid"";""Shri"";""EpiFau"";""Zoopl"";""Major"";""InFau"";""FlatFish"";""Gru"";""Phyto"";;SUM
""Herr"";"0,05";"0,07";"0,07";"0,07";"0,06";"0,07";"0,06";"0,07";"0,06";"0,07";"0,06";"0,06";"0,07";"0,04";"0,04";"0,04";"0,04";"0,05";;"1,04"
""Jack"";"0,06";"0,04";"0,07";"0,04";"0,06";"0,04";"0,06";"0,06";"0,03";"0,07";"0,06";"0,06";"0,07";"0,07";"0,06";"0,03";"0,04";"0,04";;"0,95"
""Mack"";"0,06";"0,07";"0,04";"0,06";"0,04";"0,04";"0,06";"0,06";"0,03";"0,07";"0,06";"0,06";"0,07";"0,07";"0,06";"0,04";"0,03";"0,05";;"0,96"
""CatFish"";"0,07";"0,04";"0,07";"0,05";"0,06";"0,04";"0,06";"0,07";"0,07";"0,07";"0,06";"0,06";"0,06";"0,04";"0,07";"0,08";"0,04";"0,04";;"1,05"
""Snap"";"0,07";"0,07";"0,05";"0,07";"0,05";"0,08";"0,07";"0,07";"0,08";"0,07";"0,07";"0,07";"0,04";"0,07";"0,08";"0,09";"0,09";"0,02";;"1,22"
""Croak"";"0,06";"0,04";"0,03";"0,04";"0,06";"0,04";"0,05";"0,06";"0,06";"0,06";"0,05";"0,05";"0,06";"0,04";"0,06";"0,04";"0,04";"0,04";;"0,86"
""Group"";"0,07";"0,07";"0,07";"0,07";"0,07";"0,08";"0,05";"0,07";"0,08";"0,07";"0,07";"0,07";"0,05";"0,07";"0,05";"0,09";"0,09";"0,03";;"1,22"
""Sha"";"0,07";"0,07";"0,07";"0,07";"0,07";"0,07";"0,07";"0,05";"0,07";"0,07";"0,06";"0,06";"0,04";"0,07";"0,05";"0,08";"0,04";"0,02";;"1,12"
""Ofish"";"0,06";"0,04";"0,04";"0,07";"0,07";"0,07";"0,06";"0,06";"0,05";"0,04";"0,06";"0,06";"0,04";"0,06";"0,07";"0,09";"0,09";"0,02";;"1,05"
""Squid"";"0,07";"0,07";"0,07";"0,07";"0,06";"0,07";"0,06";"0,07";"0,04";"0,05";"0,06";"0,06";"0,07";"0,07";"0,04";"0,04";"0,04";"0,05";;"1,05"
""Shri"";"0,08";"0,08";"0,08";"0,08";"0,08";"0,08";"0,08";"0,08";"0,08";"0,08";"0,06";"0,08";"0,08";"0,08";"0,08";"0,09";"0,10";"0,06";;"1,43"
