TI3;"Cet""""";"Sard""""";"OSPela""""";"Odem""""";"OctoVul""""";"Sep""""";"Zoopl""""";"Bird""""";"Sha""""";"EpiNeph""""";"Pomad""""";"Sciae""""";"Pseudopen""""";"Spar""""";"Sco""""";"Benth""""";"Lpela""""";"Phyto""""";"Shri""""";"Lobs""""";"FlatFish""""";;SUM;
"OctoVul""""";25345597,75;2,43986E+11;214547408,7;61140481,69;26495900,09;15121830,22;2,312E+12;103936316,7;13156232,19;5349368,86;66167771,33;42597759,16;9738990,05;216583953,8;2266940,14;22835266629;39997130,25;36999363758;2066420620;1284629399;29943327,91;;2620043871499,15;
"Odem""""";80961535,74;6,49487E+11;778681835,9;220321608,7;113546608,9;55549040,54;6,13231E+12;276465799,8;35652156,16;18321486,93;328274171;132288134,4;49174228,6;726727696,7;7580253,65;60938800550;108475901,4;1,77319E+11;5548703908;3423097250;86081103,22;;7032047845010,07;
"OSPela""""";154076169,3;1,27076E+12;1527335589;419290219,3;214547408,7;105971616,1;1,19967E+13;531056209,1;65069532,69;31432511,38;647442818,1;255298894,1;97212628,98;1408980243;14211521,22;1,19101E+11;206637582,2;3,51782E+11;10845840710;6695245993;160644644,8;;13761701225356,40;
"Phyto""""";31572042257;3,31786E+14;2,51273E+11;68199607444;26428116970;16719037396;3,14813E+15;1,40805E+11;17085820120;5910526798;59776007878;53384509168;8667623052;2,61993E+11;2621094737;3,1015E+13;53332209476;3,55516E+13;2,80009E+12;1,74598E+12;36984093955;;3552060305996590,00;
"Pomad""""";72154351,08;7,68492E+11;554950986,9;151511155,8;56715232,57;36963072,29;7,29477E+12;327753716,6;40119305,63;13799415;118117980,8;121551307,5;16943851,07;588855871,8;5927664,26;71839711574;124088841,2;71731209453;6481331441;4044000139;85330570,84;;8219674040649,95;
"Pseudopen""""";5466666,94;58728520843;41662555,28;11347898,91;4173852,88;2764152,71;5,57549E+11;25051474,03;3061167,17;1037982,55;8471925,54;9216322,47;1210298,58;44442652,99;446469,75;5489490975;9474727,39;5200573831;495135245,1;309031492,2;6481949,08;;627946109160,12;
"Sard""""";99807787365;3,47158E+13;1,63383E+12;4,49645E+11;3,13697E+11;1,1915E+11;1,65896E+14;32649458181;3377106684;24000904965;1,15274E+12;1,60148E+11;1,76186E+11;1,20656E+12;12175297323;4,042E+12;24242092980;5,97215E+14;6,19918E+11;2,03989E+11;64961738250;;808166258645296,00;
"Sciae""""";21427463,56;1,2456E+11;255298894,1;71232072,39;42597759,16;18360582,95;1,16456E+12;50576601,11;6464535,95;4912348,07;141809858,8;34640059,01;21504752,43;214435377,9;2199523,72;11738278690;20784968,53;74738312835;1086325260;657882679,4;19600722,01;;1378268907932,29;
"Sco""""";1170567,99;8116864882;12181303,9;3498578,61;1943091,55;888944,95;76374950392;3437074,32;460184,5;284888,42;5927664,26;1885306,04;892939,5;10891987,62;115322,2;763401808,3;1381334,67;3145313685;69913060,65;42826325,38;1189182,41;;88559418523,96;
"Sep""""";11233355,09;92672060532;105971616,1;29911021,83;15121830,22;7517741,7;8,75515E+11;39411249,19;5057373,39;2514487,73;43123584,34;18360582,95;6449689,66;99826712,5;1037102,44;8691733215;15410109,92;23406652355;790583496,7;488354308,9;12013689,67;;1001977277824,17;
"Sha""""";5820526,4;3752340760;92956475,27;27424735,51;18794617,41;7224819,13;26146527185;1233023,53;505596,36;1717943,78;66865509,38;9235051,36;10203890,55;69422214,3;766974,16;404368455,8;1485439,35;34171640240;51147439,38;21094806,52;4626930,86;;64865402633,88;
"Shri""""";1253760983;8,95438E+11;20142275604;5548703908;3837638293;1468226494;6,51726E+12;598602803;66491671,19;299730515,8;14042884790;2017461198;2145586062;14990943551;151478298,1;93352529376;371201559,3;7,28024E+12;11515029452;4970087627;844714993,3;;14870557363195,80;
"Spar""""";149477923,6;1,07249E+12;1610263135;447217044,1;247524518,6;114087671,4;1,00905E+13;443791366,5;55537771,44;32480845,13;785141162,5;245069003,3;118513741,3;1422823439;14522650,16;1,00723E+11;176222816,1;4,19188E+11;9225196032;5655746700;148309164,7;;11703768396142,80;
"Zoopl""""";1,86817E+12;3,31793E+14;3,08486E+13;8,4909E+12;5,94514E+12;2,25132E+12;3,55548E+13;4,79022E+11;47063748933;4,5098E+11;2,18843E+13;2,99459E+12;3,34529E+12;2,27036E+13;2,29125E+11;4,61854E+13;4,0763E+11;1,13333E+16;9,0239E+12;2,15154E+12;1,19915E+12;;11861109547009200,00;
