0.35,0.35,0.15,0.55,0.35,0.55
0.001,0.001,0.001,0.001,0.001,0.001
0.5,0.35,0.15,0.55,0.35,0.55
0.35,0.001,0.15,0.25,0.35,0.35
0.35,0.25,0.3,0.15,0.35,0.1
0.001,0.001,0.25,0.15,0.35,0.1
0.2,0.001,0.25,0.15,0.35,0.1
0.25,0.35,0.15,0.55,0.35,0.5
0.001,0.25,0.3,0.001,0.35,0.1
0.25,0.25,0.25,0.15,0.35,0.5
0.25,0.35,0.15,0.55,0.35,0.55
0.25,0.001,0.15,0.15,0.35,0.25
0.35,0.35,0.15,0.55,0.35,0.95
0.35,0.35,0.15,0.55,0.35,0.95
0.35,0.35,0.15,0.55,0.35,0.55
0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.35,0.25,0.25,0.001,0.25
0.35,0.5,0.25,0.25,0.001,0.25
0.2,0.35,0.25,0.25,0.35,0.25
0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001
0.35,0.35,0.25,0.25,0.35,0.5
