TI3;"BalWhale""""";"SPelaInvFeed""""";"ScadMack""""";"Sard""""";"SMBathyInvFeed""""";"MBathyPelaInvFeed""""";"SBathyPelaPred""""";"MesoPela""""";"Cepha""""";"CarnZoopl""""";"ToothWhaleDolph""""";"LDeepShaRay""""";"LCoastShaRay""""";"BonShad""""";"MullOHerb""""";"MDemInvFeed""""";"SDemPred""""";"SDemInvFeed""""";"Benth""""";"Turtle""""";"LDemPred""""";"ProdPrim""""";"Bird""""";"LPelaPred""""";"CatFish""""";"Crus""""";"SPelaPred""""";"MDeepShaRay""""";"MCoastShaRay""""";"LTuna""""";"GAfriThre""""";"MDemPred""""";"LessAfriThre""""";"LBathyPred""""";"LBathyPelaPred""""";"Jack""""";"SpaFish""""";"HerbZoopl""""";"STuna""""";"Croak""""";"RoyThre""""";"Group""""";"LDemInvFeed""""";;SUM;
"ProdPrim""""";0;0,06;0,03;0,06;0;0;0;0,01;0,03;0,08;0,05;0,01;0,02;0,01;0,01;0,03;0,01;0,07;0,1;0,01;0,07;0;0,05;0,06;0,01;0,08;0,02;0,01;0,02;0,02;0,03;0,02;0,01;0;0;0,01;0,01;0,08;0,05;0;0;0;0;;1,19;0,0166
"RoyThre""""";0;0,03;0;0,01;0;0;0;0;0,03;0,02;0,01;0;0,03;0,02;0,01;0,02;0,06;0,06;0,05;0;0,03;0;0,01;0;0,01;0,06;0,01;0;0,02;0,01;0,01;0,01;0,03;0;0;0;0,01;0;0,01;0,01;0;0;0;;0,63;0,0088
"Sard""""";0,03;0,28;0,15;0;0,06;0,03;0,06;0,14;0,27;0,22;0,05;0,06;0,09;0,07;0,05;0,14;0,07;0,19;0,22;0,01;0,13;0,06;0,03;0,13;0,03;0,29;0,06;0,13;0,05;0,06;0,02;0,03;0,01;0,03;0,06;0,05;0,01;0,16;0,06;0,01;0,01;0;0;;3,62;0,0505
"SBathyPelaPred""""";0,01;0,06;0,03;0,06;0,03;0,03;0;0,06;0,07;0,07;0,01;0,01;0,03;0;0;0,01;0;0,01;0,03;0;0,01;0;0;0,01;0;0,07;0,01;0,06;0,02;0,01;0;0,01;0;0,02;0,02;0;0;0,05;0;0;0;0;0;;0,85;0,0119
"ScadMack""""";0;0,19;0;0,15;0,03;0,02;0,03;0,07;0,16;0,13;0,01;0,03;0,07;0,07;0,05;0,14;0,05;0,14;0,15;0,01;0,07;0,03;0,01;0,13;0,01;0,17;0,03;0,06;0,02;0,02;0,01;0,03;0;0,02;0,01;0,02;0,01;0,09;0,05;0;0;0;0;;2,34;0,0327
"SDemInvFeed""""";0;0,27;0,14;0,19;0,02;0;0,01;0,08;0,23;0,2;0,07;0,03;0,15;0,1;0,06;0,2;0,14;0;0,3;0,01;0,17;0,07;0,06;0,17;0,07;0,31;0,06;0,02;0,06;0,05;0,05;0,08;0,05;0,01;0,01;0,03;0,02;0,15;0,08;0,03;0,06;0;0;;3,84;0,0536
"SDemPred""""";0;0,12;0,05;0,07;0,01;0;0;0,02;0,1;0,07;0,02;0,01;0,07;0,06;0,03;0,07;0;0,14;0,12;0;0,07;0,01;0,01;0,03;0,03;0,14;0,02;0,01;0,03;0,02;0,02;0,05;0,03;0,01;0,01;0,02;0,01;0,02;0,02;0,02;0,06;0;0;;1,65;0,0230
"SMBathyInvFeed""""";0;0,06;0,03;0,06;0;0,02;0,03;0,06;0,06;0,05;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,02;0,03;0;0;0;0;0,01;0;0,06;0,02;0,03;0;0;0;0;0;0,01;0,01;0;0;0,01;0;0;0;0;0;;0,71;0,0099
"SpaFish""""";0;0,01;0,01;0,01;0;0;0;0;0;0,01;0;0;0,01;0,02;0,02;0,01;0,01;0,02;0,02;0,01;0,02;0,01;0;0;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0,01;0;0;;0,27;0,0038
"SPelaInvFeed""""";0,03;0;0,19;0,28;0,06;0,02;0,06;0,13;0,34;0,27;0,08;0,07;0,16;0,08;0,05;0,2;0,12;0,27;0,3;0,01;0,2;0,06;0,03;0,19;0,05;0,36;0,06;0,13;0,06;0,08;0,03;0,07;0,02;0,06;0,05;0,05;0,01;0,2;0,08;0,02;0,03;0;0;;4,55;0,0635
"SPelaPred""""";0;0,06;0,03;0,06;0,02;0,01;0,01;0,02;0,06;0,03;0,03;0,01;0,05;0,03;0,02;0,02;0,02;0,06;0,07;0;0,02;0,02;0,03;0,06;0,01;0,08;0;0,02;0;0,02;0,01;0;0,01;0,01;0,01;0,03;0,01;0,05;0,03;0;0,01;0;0;;1,1;0,0154
"STuna""""";0;0,08;0,05;0,06;0;0;0;0,01;0,07;0,05;0,05;0,02;0,05;0,03;0;0,03;0,02;0,08;0,1;0;0,06;0,05;0,05;0,09;0,02;0,1;0,03;0,02;0,02;0,02;0,05;0,01;0,01;0;0;0,02;0;0,08;0;0,01;0,01;0;0;;1,38;0,0193
"ToothWhaleDolph""""";0,02;0,08;0,01;0,05;0,01;0;0,01;0,01;0,08;0,07;0;0,03;0,03;0;0;0,02;0,02;0,07;0,1;0;0,07;0,05;0,05;0,07;0,02;0,1;0,03;0,05;0,05;0,05;0,03;0,03;0,01;0,03;0,01;0,01;0;0,07;0,05;0,01;0,01;0;0;;1,45;0,0202
"Turtle""""";0;0,01;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0;;0,15;0,0021
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71,66;1,0000
