TI3;"Lpred""""";"IntMedPred""""";"Carang""""";"FlatFishSole""""";"Sciae""""";"Spela""""";"EngraClup""""";"Squid""""";"DemZooBenthFeed""""";"Leio""""";"Mullid""""";"Nemi""""";"Bali""""";"Lact""""";"ReefFish""""";"OctoSep""""";"Tuna""""";"CrabLobs""""";"Shri""""";"Scrus""""";"LzooBenthFeed""""";"MacroBenth""""";"MeioBenth""""";"Lutja""""";"Serra""""";"Zoopl""""";"Phyto""""";"MacroBenthFlo""""";;SUM;;;
"Serra""""";0,02;0,02;0,03;0,02;0,02;0,04;0,04;0,02;0,04;0,04;0,04;0,04;0,05;0,04;0,06;0,02;0,02;0,04;0,04;0,02;0,02;0,04;0,02;0,03;0,03;0,02;0,02;0,03;;0,89;;;
"Shri""""";0,03;0,05;0,05;0,03;0,06;0,05;0,06;0,06;0,03;0,03;0,03;0,05;0,06;0,03;0,03;0,03;0,07;0,06;0,04;0,05;0,09;0,05;0,05;0,05;0,06;0,03;0,05;0,03;;1,27;;;
"Spela""""";0,05;0,05;0,05;0,03;0,03;0,04;0,03;0,03;0,05;0,06;0,06;0,05;0,03;0,06;0,03;0,03;0,07;0,05;0,05;0,05;0,03;0,04;0,03;0,05;0,06;0,05;0,05;0,03;;1,22;;;
"Squid""""";0,04;0,04;0,04;0,05;0,02;0,02;0,05;0,03;0,02;0,02;0,02;0,05;0,02;0,02;0,02;0,02;0,06;0,02;0,04;0,04;0,02;0,03;0,02;0,02;0,02;0,04;0,05;0,02;;0,87;;;
"Tuna""""";0,02;0,03;0,04;0,01;0,02;0,03;0,05;0,05;0,03;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,03;0,04;0,04;0,03;0,02;0,02;0,01;0,01;0,02;0,02;0,02;0,01;;0,64;;;
"Zoopl""""";0,03;0,03;0,03;0,03;0,06;0,05;0,06;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,07;0,07;0,03;0,05;0,03;0,05;0,03;0,05;0,05;0,03;0,03;0,04;0,06;0,04;;1,27;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Lpred""""";"IntMedPred""""";"Carang""""";"FlatFishSole""""";"Sciae""""";"Spela""""";"EngraClup""""";"Squid""""";"DemZooBenthFeed""""";"Leio""""";"Mullid""""";"Nemi""""";"Bali""""";"Lact""""";"ReefFish""""";"OctoSep""""";"Tuna""""";"CrabLobs""""";"Shri""""";"Scrus""""";"LzooBenthFeed""""";"MacroBenth""""";"MeioBenth""""";"Lutja""""";"Serra""""";"Zoopl""""";"Phyto""""";"MacroBenthFlo""""";;SUM;;;
"Bali""""";193865,86;1256241,2;281860,72;1016751,73;2696289,45;8818295,69;8734375,99;8616634,44;9309765,87;41532290,12;36226152,55;6162509,74;2324186,15;5783563,89;8272913,21;2748811,23;64076,23;3269721,18;21847941,74;512873562,3;1510760,17;154815127,1;205619243,5;113291,77;15932,2;3887905749;635420522,6;54663325,09;;5622093760,96;;thresold:;163307047,96
