TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"BenthFeed""""";"Pisci""""";"CatFish""""";"Leer""""";"DuskyKob""""";"Bird""""";"Grunter""""";"SkipJack""""";;SUM
"BenthFeed""""";0,05;0,04;0,04;0,05;0,05;0;0,07;0,18;0,13;0,07;0,04;0,11;0,04;0,05;0,11;0;0,05;0;0,16;0,14;0;0,07;0,04;0,11;0,13;0,14;0,05;0;;1,91
"BenthMicroAl""""";0,02;0,02;0,02;0,02;0,07;0;0,04;0;0,16;0,11;0,07;0,14;0,05;0,09;0,14;0;0,02;0;0,16;0,2;0,18;0,07;0,04;0,11;0,13;0,11;0,02;0;;1,96
"Bird""""";0,05;0,05;0,05;0,05;0,05;0;0,05;0,11;0,09;0,04;0;0,05;0;0,02;0,07;0;0,04;0;0,11;0,11;0,14;0,07;0;0,11;0,11;0;0,04;0;;1,41
"CalliaKra""""";0;0;0;0;0,02;0;0,02;0,05;0,05;0,05;0,05;0,05;0;0,05;0,05;0;0;0;0,04;0,04;0,04;0;0,04;0;0;0;0;0;;0,55
"CarnMac""""";0;0,04;0,04;0,02;0,09;0;0,02;0,2;0,14;0,09;0,05;0,11;0,04;0,07;0,13;0;0;0;0,14;0;0,14;0,07;0,02;0,11;0,13;0,11;0;0;;1,73
"CatFish""""";0;0;0;0;0,02;0;0,02;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0;0;0,04;0,02;0,04;0;0;0;0;0;0;0;;0,41
"Copyp""""";0,13;0,16;0;0,13;0,13;0;0,11;0,02;0,04;0,04;0,02;0,04;0;0,04;0,04;0;0,05;0;0;0,04;0,04;0;0;0;0;0,05;0,04;0;;1,07
"Det""""";0,02;0,04;0,04;0;0,05;0;0,02;0,11;0,16;0;0,11;0,18;0,05;0,14;0,18;0;0;0;0,07;0,09;0,07;0,02;0,04;0,04;0,04;0,04;0;0;;1,48
"DuskyKob""""";0;0;0;0;0,04;0;0;0,13;0,09;0,04;0;0,05;0;0,02;0,07;0;0;0;0,13;0,13;0,13;0,07;0;0,11;0;0,11;0;0;;1,09
"Epiph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"FishLarv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"FreeWat""""";0,07;0,05;0,05;0,07;0,02;0;0,07;0,02;0;0;0;0,02;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0,04;0,05;0;;0,52
"Graz""""";0;0,02;0,02;0;0,04;0;0,02;0,07;0,11;0,11;0;0,11;0,05;0,11;0,11;0;0;0;0,04;0,05;0,04;0;0,04;0;0;0;0;0;;0,91
"Grunter""""";0,05;0,04;0,04;0,05;0;0;0,05;0,02;0;0;0;0,02;0;0;0;0;0,05;0;0;0;0,05;0;0;0;0;0,04;0;0;;0,41
"Herb""""";0,02;0,04;0,04;0;0,09;0;0,02;0,14;0,2;0,18;0,11;0,2;0,05;0,14;0;0;0;0;0,11;0,13;0,11;0,05;0,04;0,07;0,07;0,07;0;0;;1,86
"Leer""""";0;0;0;0;0,04;0;0;0,11;0,09;0,04;0;0,05;0;0,02;0,07;0;0;0;0,11;0,11;0,11;0,07;0;0;0,11;0,11;0;0;;1,02
"MeioFau""""";0,02;0,04;0,04;0;0,09;0;0,02;0,16;0;0,16;0,11;0,18;0,05;0,14;0,2;0;0;0;0,13;0,14;0,13;0,07;0,04;0,09;0,09;0,09;0;0;;1,96
"MicroZoopl""""";0,13;0;0,16;0,13;0,13;0;0,11;0,02;0,04;0,04;0,02;0,04;0;0,04;0,04;0;0,05;0;0;0,04;0,04;0;0;0;0;0,05;0,04;0;;1,07
"Mysid""""";0,13;0,13;0,13;0;0,09;0;0,13;0,02;0;0;0;0,02;0;0;0;0;0,07;0;0;0,02;0,05;0;0;0;0;0,05;0,05;0;;0,88
"Phyto""""";0;0,13;0,13;0,13;0,09;0;0,13;0,02;0,02;0,02;0;0,04;0;0,02;0,02;0;0,07;0;0;0;0,05;0;0;0;0;0,05;0,05;0;;0,95
"Pisci""""";0;0;0;0;0,04;0;0;0,07;0,07;0,02;0;0,04;0;0;0,05;0;0;0;0,07;0,07;0,07;0;0;0,07;0,07;0,07;0;0;;0,71
"SedBaci""""";0;0;0;0;0,05;0;0,02;0,16;0,13;0,07;0,04;0,09;0,04;0,05;0,11;0;0;0;0;0,14;0,16;0,07;0,04;0,11;0,13;0,11;0;0;;1,5
"SkipJack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sol""""";0,02;0,04;0,04;0;0,05;0;0,02;0,09;0,14;0,14;0,11;0,14;0,05;0;0,14;0;0;0;0,05;0,07;0,05;0;0,04;0,02;0,02;0,02;0;0;;1,25
"SuspFeed""""";0,04;0,04;0,04;0,02;0,07;0;0,04;0,14;0,18;0,18;0,11;0;0,05;0,14;0,2;0;0,02;0;0,09;0,11;0,11;0,04;0,04;0,05;0,05;0,05;0,02;0;;1,8
"UpoAfri""""";0,09;0,13;0,13;0,09;0;0;0,09;0,07;0,09;0,05;0,04;0,07;0,02;0,05;0,09;0;0,02;0;0,05;0,09;0,05;0,04;0,02;0,04;0,04;0,05;0;0;;1,39
"ZooplEater""""";0,13;0,11;0,11;0,13;0,09;0;0;0,04;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0;0,07;0;0,02;0,02;0,07;0;0,02;0;0;0,05;0,05;0;;1,04
