TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"BenthFeed""""";"Pisci""""";"CatFish""""";"Leer""""";"DuskyKob""""";"Bird""""";"Grunter""""";"SkipJack""""";;SUM
"Bird""""";0,01;0,01;0,01;0,01;0,06;0,01;0,05;0,02;0,01;0,09;0,02;0,07;0,08;0,02;0,01;0;0;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,05;0,03;0,03;;0,79
"Grunter""""";0,01;0;0;0,01;0,06;0;0,01;0,01;0,01;0,01;0,01;0,01;0,07;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,02;0,07;0,02;0,02;0,05;0,01;;0,48
"SkipJack""""";0,01;0;0,01;0,01;0;0;0,04;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0;0,01;0;0,03;;0,16
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"BenthFeed""""";"Pisci""""";"CatFish""""";"Leer""""";"DuskyKob""""";"Bird""""";"Grunter""""";"SkipJack""""";;SUM
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MicroZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Copyp""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mysid""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"UpoAfri""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"FishLarv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ZooplEater""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthMicroAl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Det""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Graz""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SuspFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CalliaKra""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sol""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Herb""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Epiph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"FreeWat""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"AttWat""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SedBaci""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CarnMac""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Pisci""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Leer""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DuskyKob""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Grunter""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SkipJack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"BenthFeed""""";"Pisci""""";"CatFish""""";"Leer""""";"DuskyKob""""";"Bird""""";"Grunter""""";"SkipJack""""";;SUM
"Phyto""""";6,24053E+16;1,45559E+18;1,25478E+18;2,19704E+17;1,72887E+17;3,65436E+13;6,88963E+16;0;7,29722E+12;1,02715E+15;3,04023E+13;8,11661E+13;5,6015E+14;2,82076E+11;7,03568E+13;0;1,5745E+16;1,67732E+13;2,13081E+11;2,20055E+15;9,09911E+13;2,55133E+14;2,91809E+14;2,31075E+14;2,04922E+15;6,3345E+15;1,31494E+11;2,29497E+15;;3,26558E+18
"MicroZoopl""""";9,70392E+17;2,92976E+16;2,64641E+16;7,90868E+16;1,821E+15;5,35853E+13;6,64548E+16;0;6899768921;8,48606E+11;28746390537;50577239057;809053777;0;54428588336;0;4,54006E+17;1,03433E+15;201474840,5;1,95807E+12;7,45327E+15;8,57161E+13;2,68751E+15;2,6759E+13;6,03001E+14;6,19439E+15;2,00788E+16;6,3925E+14;;1,66638E+18
"Copyp""""";1,46391E+18;4,63122E+16;3,94537E+16;1,15463E+17;2,86939E+15;8,8173E+13;1,0924E+17;2,13386E+14;5,13027E+11;1,42486E+14;57930195145;1,34668E+14;8,99173E+13;6,50327E+11;1,62776E+14;0;6,08633E+17;1,66489E+15;6,12918E+12;1,86461E+13;1,20429E+16;1,38944E+14;4,33474E+15;4,18658E+13;9,09589E+14;9,75327E+15;3,22978E+16;9,51641E+14;;2,44887E+18
"Mysid""""";2,92939E+17;1,58174E+17;1,31958E+17;4,39831E+16;1,72155E+16;2,14504E+13;2,88204E+16;3,79908E+13;1,31318E+11;6,14679E+13;1,57569E+11;3,24697E+13;4,74443E+13;3,4179E+11;8,54659E+13;1164272,78;1,17497E+17;3,25089E+14;1,02416E+12;1,35009E+13;2,3541E+15;4,37913E+13;8,44235E+14;1,54218E+13;2,95115E+14;2,30321E+15;6,27093E+15;3,33154E+14;;8,03673E+17
"UpoAfri""""";2,30515E+17;3,64201E+15;3,2793E+15;1,72155E+16;1,19952E+14;1,31827E+13;1,63004E+16;3,03888E+16;6,74247E+13;6,43334E+15;8,06767E+11;1,41848E+16;2,11112E+13;6,33405E+11;1,91584E+14;153482768,3;9,34871E+16;9,93549E+14;8,20232E+14;2,10516E+15;9,16685E+15;2,57904E+13;3,69393E+15;1,73925E+13;2,57548E+14;5,06159E+15;1,99987E+16;1,77121E+14;;4,58179E+17
"FishLarv""""";2,43624E+13;5,35853E+13;5,03846E+13;1,07252E+13;6,59137E+12;2483036230;4,08102E+12;36835227747;113681813,1;11767517615;114665648,6;18721274968;29954520,55;864833,81;280682146,6;0;1,09877E+13;20850527544;1058765623;10232802553;1,49145E+11;12945408579;53842359927;8288833938;1,53533E+11;6,11333E+11;3,84595E+11;1,90691E+11;;1,62384E+14
"ZooplEater""""";1,14827E+17;1,66137E+17;1,56057E+17;3,60255E+16;2,03755E+16;1,02026E+13;1,56667E+16;6,89626E+15;1,74997E+13;3,71415E+13;9,15873E+11;2,36913E+13;3,89849E+11;1042698208;8,88913E+11;1944555896;4,89633E+16;1,51689E+14;2,3729E+13;3,66773E+14;1,09891E+15;4,74582E+13;4,08526E+14;7,98194E+13;5,86236E+14;2,36459E+15;2,93271E+15;6,14932E+14;;5,73715E+17
"BenthMicroAl""""";0;0;2,13386E+14;3,3242E+13;2,65902E+16;64461648558;4,82738E+15;1,05055E+16;7,93283E+18;1,56727E+20;6,52091E+18;8,97307E+19;1,26477E+18;7,34531E+19;7,88182E+19;2978888881;0;0;8,78522E+16;2,591E+16;2,68969E+17;7,81516E+14;1,42861E+17;1,34975E+15;3,29487E+15;55489815008;2,64005E+14;0;;4,15021E+20
