TI3;"Lsha""""";"Mpela""""";"MmesoPela""""";"Mdem""""";"Sdem""""";"Ray""""";"Zoopl""""";"Phyto""""";"Ocrus""""";"Penae""""";"Cepha""""";"Sdisc""""";"SmesoPela""""";"Spela""""";;SUM
"SmesoPela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Spela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
WI3;"Lsha""""";"Mpela""""";"MmesoPela""""";"Mdem""""";"Sdem""""";"Ray""""";"Zoopl""""";"Phyto""""";"Ocrus""""";"Penae""""";"Cepha""""";"Sdisc""""";"SmesoPela""""";"Spela""""";;SUM
"Lsha""""";8628594,5;164592512,1;40377237,41;54383814,15;52529720,66;11374359,63;8280996531;11753850616;35267696,68;420020012,3;137708532,8;234908692,4;950963135;74731998,96;;22220333454
"Mpela""""";131674009,7;20718168763;6151250681;3326084074;7691963274;34246980,15;2,47054E+12;1,7037E+12;652455778,8;99152090772;19062731186;49751541627;1,94673E+11;15144405292;;4,59073E+12
"MmesoPela""""";48452684,89;9226876022;2735320627;1500485981;3451076280;18098419,71;1,11639E+12;7,46221E+11;345134929,8;44543535893;8348858556;22216212366;86781181785;6750951082;;2,04857E+12
"Mdem""""";65260576,98;4989126111;1500485981;753048336,1;1673093389;14628985,86;4,29689E+11;5,22986E+11;199918894,1;19834669641;5865659168;11187573023;45169739071;3517310841;;1,04745E+12
"Sdem""""";94553497,18;17306917366;5176614419;2509640083;5256051689;36232338,81;1,16683E+12;2,03764E+12;817458896,3;60458592190;22822806182;37283716027;1,5347E+11;11941045925;;3,52164E+12
"Ray""""";13649231,56;51370470,23;18098419,71;14628985,86;24154892,54;1445097,07;2946021504;6155602946;31925789,77;173997758,6;73774819,6;105064894,7;434094290,1;40607588,21;;10084436688
"Zoopl""""";16561993063;6,17634E+12;1,86065E+12;7,16149E+11;1,29647E+12;4910035841;1,39178E+12;1,01426E+15;2,45606E+11;1,11742E+13;1,13526E+13;1,13581E+13;5,06938E+13;3,94288E+12;;1,11449E+15
"Phyto""""";21156931108;3,83333E+12;1,11933E+12;7,84479E+11;2,03764E+12;9233404418;9,12831E+14;1,39188E+12;86187102492;2,97416E+13;10391753936;1,13596E+13;4,0575E+13;3,15584E+12;;1,00696E+15
"Ocrus""""";28214157,35;652455778,8;230089953,2;133279262,8;363315065;21283859,85;98242380054;38305378885;41861585,9;3946131608;447480639,2;1652885165;6276209460;489902851,7;;1,50831E+11
"Penae""""";420020012,3;1,2394E+11;37119613245;16528891368;33588106772;144998132,2;5,58708E+12;1,65231E+13;4932664510;3,6325E+11;1,84925E+11;2,54174E+11;1,0727E+12;83438321262;;2,42853E+13
"Cepha""""";110166826,2;19062731186;5565905704;3910439445;10143469414;49183213,07;4,54104E+12;4618557305;447480639,2;1,4794E+11;28888554,35;56484022186;2,01729E+11;15690592438;;5,00682E+12
"Sdisc""""";140945215,4;37313656220;11108106183;5593786512;12427905342;52532447,34;3,40742E+12;3,78652E+12;1239663873;1,52505E+11;42363016640;84683032898;3,40223E+11;26461873935;;7,90805E+12
"SmesoPela""""";380385254;97336347611;28927060595;15056579690;34104523432;144698096,7;1,01388E+13;9,01667E+12;3138104730;4,2908E+11;1,00865E+11;2,26815E+11;9,00006E+11;70000499074;;2,10613E+13
"Spela""""";44839199,38;11358303969;3375475541;1758655420;3980348642;20303794,1;1,18286E+12;1,05195E+12;367427138,7;50062992757;11767944328;26461873935;1,05001E+11;8166741220;;2,45718E+12
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
WO3;"Lsha""""";"Mpela""""";"MmesoPela""""";"Mdem""""";"Sdem""""";"Ray""""";"Zoopl""""";"Phyto""""";"Ocrus""""";"Penae""""";"Cepha""""";"Sdisc""""";"SmesoPela""""";"Spela""""";;SUM
"Cepha""""";0;0,07;0,04;0,04;0,04;0;0,07;0,07;0;0,07;0;0,07;0,07;0,04;;0,57
"Lsha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mdem""""";0;0,07;0,07;0;0,07;0;0,07;0,07;0;0,07;0,04;0,07;0,07;0,07;;0,68
"MmesoPela""""";0;0,07;0;0,07;0,07;0;0,07;0,07;0;0,07;0,04;0,07;0,07;0,07;;0,68
"Mpela""""";0;0;0,07;0,07;0,07;0;0,11;0,11;0;0,11;0,07;0,11;0,11;0,07;;0,89
"Ocrus""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Penae""""";0;0,11;0,07;0,07;0,07;0;0,21;0,18;0;0;0,07;0,11;0,18;0,07;;1,14
"Phyto""""";0;0,11;0,07;0,07;0,07;0;0,36;0;0;0,18;0,07;0,11;0,18;0,07;;1,29
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sdem""""";0;0,07;0,07;0,07;0;0;0,07;0,07;0;0,07;0,04;0,07;0,07;0,07;;0,68
"Sdisc""""";0;0,11;0,07;0,07;0,07;0;0,11;0,11;0;0,11;0,07;0;0,11;0,07;;0,89
"SmesoPela""""";0;0,11;0,07;0,07;0,07;0;0,18;0,18;0;0,18;0,07;0,11;0;0,07;;1,11
"Spela""""";0;0,07;0,07;0,07;0,07;0;0,07;0,07;0;0,07;0,04;0,07;0,07;0;;0,68
"Zoopl""""";0;0,11;0,07;0,07;0,07;0;0;0,36;0;0,21;0,07;0,11;0,18;0,07;;1,32
