Species                   Kbu       Ktd      Kdir    Kindir         K
Phyto                 4.63391   0.00000   2.00000   2.63391   4.63391
MicroZoopl            1.86101   1.20000   1.86667   1.19434   3.06101
Copyp                 2.14268   1.63333   2.10476   1.67125   3.77601
Mysid                 1.44034   1.95833   1.79921   1.59947   3.39868
UpoAfri               0.92421   0.53333   1.37698   0.08056   1.45754
FishLarv              0.14087   1.59792   0.77143   0.96736   1.73879
BenthMicroAl          5.85961   0.00000   3.25000   2.60961   5.85961
MeioFau               1.00579   0.25397   0.83730   0.42245   1.25976
Det                   1.49894   0.25397   1.43095   0.32196   1.75291
Graz                  0.25198   0.25397   0.42540   0.08056   0.50595
SuspFeed              0.67421   0.25397   0.84762   0.08056   0.92817
CalliaKra             0.92421   0.25397   1.09762   0.08056   1.17817
Sol                   0.50198   0.25397   0.67540   0.08056   0.75595
Herb                  0.72421   1.38095   1.89762   0.20754   2.10516
MacrophSal            0.11111   0.00000   0.11111   0.00000   0.11111
DuskyKob              0.00000   9.53262   3.21905   6.31358   9.53262
Epiph                 0.57192   0.00000   0.32143   0.25050   0.57192
BenthFeed             0.97222   7.79622   5.12460   3.64384   8.76844
FreeWat               1.43050   0.00000   0.50000   0.93050   1.43050
AttWat                2.81773   0.00000   1.16667   1.65107   2.81773
ZooplEater            1.42421   1.73125   2.17698   0.97847   3.15546
SedBaci               6.57521   0.00000   3.65476   2.92045   6.57521
CarnMac               0.72421   0.91723   1.39762   0.24382   1.64144
Pisci                 0.00000   5.08294   1.71905   3.36389   5.08294
CatFish               0.11111   5.38833   2.41349   3.08594   5.49944
Leer                  0.00000   3.44887   0.79286   2.65601   3.44887
Grunter               0.00000   1.06168   0.80952   0.25215   1.06168
Bird                  0.00000   1.28466   0.81905   0.46561   1.28466
SkipJack              0.00000   2.58923   0.39286   2.19638   2.58923
