TI3;"Phyto""""";"Zoopl""""";"SuspFeed""""";"PhytoBenth""""";"DepoFeed""""";"Fish""""";"Pred""""";"Bird""""";;SUM
"Phyto""""";0,12;0,25;0,12;0,03;0,03;0,06;0,04;0,03;;0,68
"Zoopl""""";0,25;0,13;0,05;0,04;0,03;0,14;0,04;0,03;;0,7
"SuspFeed""""";0,29;0,14;0,14;0,28;0,14;0,21;0,2;0,23;;1,63
"PhytoBenth""""";0,03;0,04;0,11;0,08;0,13;0,05;0,06;0,06;;0,56
"DepoFeed""""";0,07;0,05;0,11;0,27;0,14;0,18;0,19;0,22;;1,22
"Fish""""";0,13;0,28;0,16;0,09;0,18;0,12;0,17;0,1;;1,23
"Pred""""";0,07;0,08;0,16;0,12;0,19;0,17;0,13;0,22;;1,15
"Bird""""";0,04;0,05;0,14;0,09;0,17;0,08;0,16;0,1;;0,83
;;;;;;;;;;
;;;;;;;;;;
TO3;"Phyto""""";"Zoopl""""";"SuspFeed""""";"PhytoBenth""""";"DepoFeed""""";"Fish""""";"Pred""""";"Bird""""";;SUM
"Phyto""""";0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0;0;0;0;0;;0
"SuspFeed""""";0;0;0;0;0;0;0;0;;0
"PhytoBenth""""";0;0;0;0;0;0;0;0;;0
"DepoFeed""""";0;0;0;0;0;0;0;0;;0
"Fish""""";0;0;0;0;0;0;0;0;;0
"Pred""""";0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;;0
;;;;;;;;;;
;;;;;;;;;;
WI3;"Phyto""""";"Zoopl""""";"SuspFeed""""";"PhytoBenth""""";"DepoFeed""""";"Fish""""";"Pred""""";"Bird""""";;SUM
"Phyto""""";43414618,88;4,93907E+11;25346300086;439984,8;688045464,7;12416488,92;1869084,32;7396044;;5,20006E+11
"Zoopl""""";4,93907E+11;43141588,25;2213987,03;5005789722;142914,79;202847669,6;1659740831;62241077,73;;5,00883E+11
"SuspFeed""""";63365750215;5534967,58;3098999,62;4756313760;8732724,92;254242624,8;3290476859;139080561;;71823230711
"PhytoBenth""""";439984,8;5005789722;1902525504;1235010,18;2785832853;70771029,81;7309383,3;42184071,22;;9816087558
"DepoFeed""""";1376090929;285829,58;6986179,94;5571665707;24580530,45;343152591,3;4551090346;195476510,1;;12069328623
"Fish""""";24832977,83;405695339,2;203394099,9;141542059,6;343152591,3;19689515,75;129699487,3;11432101,5;;1279438172
"Pred""""";3738168,63;3319481661;2632381487;14618766,59;4551090346;129699487,3;26163467,99;77276210,05;;10754449594
"Bird""""";11094066;93361616,6;83448336,59;63276106,83;146607382,6;8574076,13;57957157,54;4974751,53;;469293493,8
;;;;;;;;;;
;;;;;;;;;;
WO3;"Phyto""""";"Zoopl""""";"SuspFeed""""";"PhytoBenth""""";"DepoFeed""""";"Fish""""";"Pred""""";"Bird""""";;SUM
"Bird""""";0;0;0;0;0;0;0;0;;0
"DepoFeed""""";0;0,13;0,13;0;0;0;0;0;;0,25
"Fish""""";0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0,13;0;0;0,13;0;;0,25
"PhytoBenth""""";0,13;0;0;0;0;0;0,19;0;;0,31
"Pred""""";0,13;0;0;0,19;0;0;0;0;;0,31
"SuspFeed""""";0;0,19;0;0;0,13;0;0;0;;0,31
"Zoopl""""";0;0;0,19;0;0,13;0;0;0;;0,31
