TI3;"Cepha""""";"Pisc""""";"Mcarni""""";"InvFeedOne""""";"InvFeedThree""""";"SuspFeed""""";"Deca""""";"Gastro""""";"Bird""""";"InvFeedTwo""""";"Dpunt""""";"HerbFish""""";"PlFish""""";"Mugil""""";"Blen""""";"Polych""""";"Crus""""";"Amph""""";"MacroAlga""""";"Echino""""";"InvFeedFour""""";"Zoopl""""";"Macropl""""";"Phyto""""";"PelBaci""""";"Proto""""";;SUM
"Phyto""""";0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,09;0,01;0,03;0,04;0,01;0,01;0,01;0,02;0,05;0,02;0,04;0,03;0,08;;0,6
"PelBaci""""";0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0;0,01;0,01;0,01;0;0,01;0,01;0,03;0,01;0,01;0,01;0,04;0,01;0,02;0,01;0,02;0,03;0,07;;0,45
"Proto""""";0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,03;0,01;0,01;0,02;0,02;0,05;0,02;0,08;0,09;0,04;;0,59
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Cepha""""";"Pisc""""";"Mcarni""""";"InvFeedOne""""";"InvFeedThree""""";"SuspFeed""""";"Deca""""";"Gastro""""";"Bird""""";"InvFeedTwo""""";"Dpunt""""";"HerbFish""""";"PlFish""""";"Mugil""""";"Blen""""";"Polych""""";"Crus""""";"Amph""""";"MacroAlga""""";"Echino""""";"InvFeedFour""""";"Zoopl""""";"Macropl""""";"Phyto""""";"PelBaci""""";"Proto""""";;SUM
"Amph""""";0;0,15;0,1;0,12;0,06;0,17;0,21;0,17;0,06;0;0;0;0;0;0,04;0,17;0,25;0;0,19;0,08;0;0,08;0,02;0;0;0;;1,87
"Bird""""";0;0,06;0,02;0;0;0,04;0,02;0,04;0;0;0;0;0;0;0;0,04;0,08;0,06;0,06;0,02;0;0,04;0,02;0,02;0;0;;0,5
"Blen""""";0;0,04;0,06;0,06;0,08;0,02;0,08;0,06;0;0,02;0;0;0;0;0;0,06;0,04;0,04;0,06;0;0;0,02;0;0;0;0;;0,62
"Cepha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Crus""""";0;0,15;0,12;0,15;0,1;0,29;0,31;0,25;0,08;0,04;0,02;0,02;0,02;0,04;0,04;0,29;0;0,25;0,27;0,1;0;0,19;0,02;0,04;0,02;0,02;;2,81
"Deca""""";0;0,13;0,13;0,19;0,13;0,31;0;0,27;0,02;0,04;0;0;0,02;0;0,08;0,31;0,31;0,21;0,27;0,1;0;0,17;0;0,02;0,02;0,02;;2,75
"Dpunt""""";0;0;0,02;0,02;0,02;0;0;0;0;0,02;0;0,02;0,02;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;;0,15
"Echino""""";0;0,06;0,02;0,04;0;0,12;0,1;0,08;0,02;0;0;0;0;0;0;0,1;0,1;0,08;0,08;0;0;0,02;0;0;0;0,02;;0,81
"Gastro""""";0;0,15;0,12;0,15;0,1;0,21;0,27;0;0,04;0,02;0;0;0;0;0,06;0,21;0,25;0,17;0,21;0,08;0;0,12;0,02;0;0;0;;2,17
"HerbFish""""";0;0;0,02;0,02;0,02;0;0;0;0;0,02;0,02;0;0,02;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;;0,15
"InvFeedFour""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"InvFeedOne""""";0;0,08;0,13;0;0,13;0,12;0,19;0,15;0;0,06;0,02;0,02;0,02;0,02;0,06;0,13;0,15;0,12;0,13;0,04;0;0,06;0;0;0;0;;1,63
"InvFeedThree""""";0;0,06;0,12;0,13;0;0,08;0,13;0,1;0;0,06;0,02;0,02;0,02;0,02;0,08;0,1;0,1;0,06;0,1;0;0;0,04;0;0;0;0;;1,21
"InvFeedTwo""""";0;0;0,04;0,06;0,06;0,02;0,04;0,02;0;0;0,02;0,02;0,02;0,02;0,02;0,04;0,04;0;0,02;0;0;0,02;0;0;0;0;;0,44
"MacroAlga""""";0;0,13;0,1;0,13;0,1;0,23;0,27;0,21;0,06;0,02;0;0;0,02;0;0,06;0,21;0,27;0,19;0;0,08;0;0,13;0;0,02;0;0;;2,23
"Macropl""""";0;0,02;0,02;0;0;0;0;0,02;0,02;0;0;0;0;0;0;0;0,02;0,02;0;0;0;0,02;0;0;0;0;;0,13
"Mcarni""""";0;0,1;0;0,13;0,12;0,1;0,13;0,12;0,02;0,04;0,02;0,02;0,02;0,02;0,06;0,12;0,12;0,1;0,1;0,02;0;0,06;0,02;0;0;0;;1,4
"Mugil""""";0;0;0,02;0,02;0,02;0,02;0;0;0;0,02;0,02;0,02;0,02;0;0;0,02;0,04;0;0;0;0;0,02;0;0;0;0,02;;0,25
"PelBaci""""";0;0;0;0;0;0,02;0,02;0;0;0;0;0;0;0;0;0,02;0,02;0;0;0;0;0,02;0;0,02;0;0;;0,12
"Phyto""""";0;0;0;0;0;0,02;0,02;0;0,02;0;0;0;0;0;0;0,02;0,04;0;0,02;0;0;0,04;0;0;0,02;0;;0,19
"Pisc""""";0;0;0,1;0,08;0,06;0,13;0,13;0,15;0,06;0;0;0;0;0;0,04;0,12;0,15;0,15;0,13;0,06;0;0,04;0,02;0;0;0;;1,42
"PlFish""""";0;0;0,02;0,02;0,02;0,02;0,02;0;0;0,02;0,02;0,02;0;0,02;0;0;0,02;0;0,02;0;0;0,02;0;0;0;0;;0,23
"Polych""""";0;0,12;0,12;0,13;0,1;0,29;0,31;0,21;0,04;0,04;0;0;0;0,02;0,06;0;0,29;0,17;0,21;0,1;0;0,15;0;0,02;0,02;0,04;;2,42
"Proto""""";0;0;0;0;0;0,04;0,02;0;0;0;0;0;0;0,02;0;0,04;0,02;0;0;0,02;0;0,02;0;0;0;0;;0,17
"SuspFeed""""";0;0,13;0,1;0,12;0,08;0;0,31;0,21;0,04;0,02;0;0;0,02;0,02;0,02;0,29;0,29;0,17;0,23;0,12;0;0,15;0;0,02;0,02;0,04;;2,38
"Zoopl""""";0;0,04;0,06;0,06;0,04;0,15;0,17;0,12;0,04;0,02;0;0;0,02;0,02;0,02;0,15;0,19;0,08;0,13;0,02;0;0;0,02;0,04;0,02;0,02;;1,42
