TI3;"Cepha""""";"Pisc""""";"Mcarni""""";"InvFeedOne""""";"InvFeedThree""""";"SuspFeed""""";"Deca""""";"Gastro""""";"Bird""""";"InvFeedTwo""""";"Dpunt""""";"HerbFish""""";"PlFish""""";"Mugil""""";"Blen""""";"Polych""""";"Crus""""";"Amph""""";"MacroAlga""""";"Echino""""";"InvFeedFour""""";"Zoopl""""";"Macropl""""";"Phyto""""";"PelBaci""""";"Proto""""";;SUM;;
"PlFish""""";0,02;0,05;0,05;0,02;0,02;0,02;0,02;0,04;0,06;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0,03;0,04;0,02;0,01;0,02;0,04;0,09;0,02;0,01;0,01;;0,75;;
"Polych""""";0,04;0,07;0,04;0,06;0,06;0,06;0,06;0,06;0,04;0,07;0,08;0,08;0,03;0,04;0,07;0,05;0,06;0,06;0,06;0,07;0,04;0,06;0,04;0,09;0,11;0,05;;1,54;;
"Proto""""";0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,03;0,01;0,01;0,02;0,02;0,05;0,02;0,08;0,09;0,04;;0,59;;
"SuspFeed""""";0,08;0,04;0,03;0,06;0,06;0,05;0,06;0,06;0,03;0,07;0,07;0,07;0,04;0,04;0,06;0,06;0,06;0,04;0,04;0,07;0,03;0,07;0,1;0,1;0,12;0,11;;1,64;;
"Zoopl""""";0,02;0,02;0,02;0,02;0,02;0,05;0,05;0,03;0,03;0,03;0,03;0,03;0,07;0,11;0,06;0,05;0,05;0,05;0,03;0,05;0,1;0,05;0,1;0,11;0,04;0,1;;1,32;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Cepha""""";"Pisc""""";"Mcarni""""";"InvFeedOne""""";"InvFeedThree""""";"SuspFeed""""";"Deca""""";"Gastro""""";"Bird""""";"InvFeedTwo""""";"Dpunt""""";"HerbFish""""";"PlFish""""";"Mugil""""";"Blen""""";"Polych""""";"Crus""""";"Amph""""";"MacroAlga""""";"Echino""""";"InvFeedFour""""";"Zoopl""""";"Macropl""""";"Phyto""""";"PelBaci""""";"Proto""""";;SUM;;
"Amph""""";97666617413;3063353403;7649219814;2,70861E+11;2,05395E+11;1,2955E+12;1,2365E+12;8,18883E+11;266678230;30017947305;7546345444;86439481376;29211022938;1227665435;42870633892;1,82729E+12;6,64532E+11;6,37644E+11;7,49387E+12;3,69268E+11;2993333825;9,99756E+11;34895439835;1,65325E+12;8,8879E+11;1,04417E+12;;19749554954542,10;thresold:;231961737887,10
"Bird""""";14922773,19;377582,64;1427633,01;27097882,27;12280934,72;87985970,85;46638023,46;186506795;15473,69;3238439,09;1777521,04;25314795,44;6364089,84;103605,91;2741087,86;132162158,8;164104844,6;152387560;256031289,8;78018492,17;68203,16;47231464,96;11506707,22;277665643,7;114929661,3;89096951,57;;1739995585,35;;231961737887,10
"Blen""""";1604100571;69310634,52;216126465,5;4368234192;2623027132;18593176491;14763182145;41827930778;3768995,81;543475427,7;293516665,1;7104065840;393842350,3;34869496,82;781316957,4;38264591464;41178570639;33684069486;80513224064;20577095050;31308439,69;20333978238;932197824,3;25544442887;15130901200;20615900735;;390026224167,58;;
"Cepha""""";4533413558;199417197,2;373092695,7;12043874573;7559922500;99828021382;19752498065;57798375577;13057426,54;801298380,7;440700703,9;6789897260;1310684800;213093684,9;1020791273;92676514112;56585331488;48833308707;1,49286E+11;25548878368;22630554,41;1,65029E+11;2297099212;1,20378E+11;1,01073E+11;1,53284E+11;;1127692712209,46;;
"Crus""""";1,53589E+11;4132439950;12681207880;4,69335E+11;3,5151E+11;2,21217E+12;2,05461E+12;1,10441E+12;389749005,9;48200874982;9919225962;84757666075;68265081119;1694027812;71126622012;2,83946E+12;8,33559E+11;9,01865E+11;1,28883E+13;4,74759E+11;5110303146;1,46747E+12;80241605428;3,45067E+12;1,71915E+12;1,70993E+12;;33017282018035,70;;
"Deca""""";56435708756;3248366587;13038792049;1,5566E+11;58102439644;5,75565E+11;2,98837E+11;2,12058E+12;116595058,6;18334951152;13908005813;3,74356E+11;9659616483;1708346646;26842149355;1,39141E+12;2,16274E+12;1,76643E+12;1,29352E+12;1,03407E+12;489160482,3;1,05213E+12;48244605367;9,8551E+11;8,07913E+11;6,84955E+11;;14953804683320,80;;
"Dpunt""""";503657947,4;24816764,38;57912838,36;2000523148;1434182581;14263153224;5563202325;4517026908;1777521,04;120953456,6;23891401,54;252916258,1;152874429,7;21955818,82;213466665,5;12520625349;4176516194;4312197396;41329787261;1942009220;12259118,9;18542492925;213692736,5;14878994046;12380194753;16381881213;;155842961502,55;;
"Echino""""";43798077203;1194658156;4139874815;1,48774E+11;1,10652E+11;6,62167E+11;6,20441E+11;3,83637E+11;117027738,3;14545696685;2913013831;34656334448;8697245981;270378228,9;22447740054;8,24306E+11;2,99848E+11;3,16515E+11;4,02223E+12;1,70663E+11;1552175920;3,49438E+11;10422941208;7,40509E+11;4,96796E+11;2,4812E+11;;9538853285376,87;;
"Gastro""""";1,23854E+11;4153390239;11044128319;3,89378E+11;2,96149E+11;2,01122E+12;1,59043E+12;1,06465E+12;349700240,7;37826587157;8469425452;99224281285;32471017152;1823392893;57038087425;2,44805E+12;8,719E+11;8,77375E+11;1,02633E+13;4,79546E+11;3858794896;1,58871E+12;40148915915;2,25916E+12;1,41187E+12;1,56179E+12;;27533831081151,10;;
"HerbFish""""";8729867906;268982709,5;1081623253;39138450787;29930343326;1,72944E+11;1,6846E+11;59534568771;28479144,87;3247265811;284530790,4;1740089787;1909421449;26546308,14;5812417505;1,92707E+11;40148368141;55568238027;1,11827E+12;25992250836;432574457,6;68920877149;1663171294;1,69047E+11;1,1581E+11;30330983763;;2312022750987,52;;
"InvFeedFour""""";16164681,72;1526631,16;6403477,28;69217425,79;18704796,57;219291515,1;122290120,6;1286264965;42626,97;7751695,07;7661949,31;240319143,1;4588491,36;972807,09;14231108,95;755326117,3;1344816617;1069047795;284822471,9;646739966,6;132934,21;532455967,7;23901385,67;398035316,9;344287958,7;305472736,1;;7720470702,62;;
"InvFeedOne""""";24087749146;899126335,4;1537801013;28801342193;19153837273;1,62961E+11;1,08962E+11;3,6342E+11;47421293,98;6078479445;3500915509;60882034558;6868503763;486914470,9;5559570789;3,85112E+11;3,45826E+11;2,70861E+11;4,82395E+11;1,7357E+11;193808792,2;2,48852E+11;13008762092;2,98746E+11;1,02822E+11;4,02756E+11;;3517389083420,30;;
"InvFeedThree""""";14039856071;254296505,3;788973190,1;17785706039;7994900577;57920115032;37766585769;2,56663E+11;19956518,93;3618955364;2330546695;43232718138;1093130630;148780331,3;3099941155;1,7363E+11;2,40507E+11;1,90723E+11;1,50623E+11;1,19873E+11;48632471,08;75925393314;4640818720;1,24205E+11;79981895231;85133153034;;1692048987661,01;;
"InvFeedTwo""""";1144711972;64740392,34;137207340,3;4341771032;2783811819;31507332607;9167475576;25217724771;4048048,86;289495261,9;151191820,8;3608073123;341280201;61494322,07;494068570,6;33380699902;25368881569;21441390932;65992000216;12121413904;15503390,15;46659717459;623696061,7;34327032017;29357924506;42393036701;;390995723517,98;;
"MacroAlga""""";3,41226E+11;11989760157;39982490436;5,51309E+11;1,85382E+11;1,26714E+12;1,03482E+12;1,09476E+13;512062579,6;1,05587E+11;82659574522;1,98803E+12;44296228559;5451887510;1,1711E+11;6,42168E+12;1,08533E+13;8,56442E+12;2,24868E+12;5,36298E+12;911431910;1,94224E+12;1,99821E+11;3,28987E+12;1,75719E+12;2,51883E+12;;59882951440046,80;;
"Macropl""""";1640785151;94109766;253335380,2;4645986461;1784930277;73007993945;12061151342;13382971972;7191692,01;311848030,9;133557960,3;923984052,5;823415725,3;290029786,6;423726283,8;65817336802;21116211955;12462657084;62444049456;4342892170;23901385,67;2,34617E+11;1411272257;99225390935;1,12306E+11;1,36118E+11;;859669684778,50;;
"Mcarni""""";639587478,3;26997462,14;44671741,17;1318115154;728282944,7;3267549838;7823275230;8835302655;2141449,51;164648808,4;86869257,54;1442164338;516012122,7;7124254,58;235774325,9;11634139071;8009183924;6556474127;29986867827;4139874815;15368345,47;2276135303;608004912,4;14890713379;3049729889;7123878559;;113428887211,65;;
"Mugil""""";152209774,9;795215,7;2968439,41;173898025,3;57223204,33;1245963053;427086661,6;607797630,9;64753,69;30747161,04;13722386,76;14747948,96;226542779,9;4782084,8;15849771,28;1412007529;445796792,6;438451941,2;1703714847;112657595,4;972807,09;3128127026;290029786,6;8536367529;3548241754;4118090505;;26708857004,29;;
"PelBaci""""";72195230746;1294860995;1270720787;36722200241;30762267396;8,32462E+11;2,01978E+11;4,70623E+11;71831038,32;14678962253;7737621721;64339123526;86572617126;3548241754;6877682364;1,46082E+12;4,52408E+11;3,17425E+11;5,49121E+11;2,06998E+11;344287958,7;1,68424E+12;1,12306E+11;2,48065E+12;2,64813E+11;4,03475E+12;;13395001886315,40;;
"Phyto""""";1,03181E+11;3372169448;7445356689;1,28034E+11;57325309082;2,47051E+12;2,95653E+11;9,03665E+11;208249232,8;20596219210;11159245535;1,12698E+11;79415500310;10243641035;13933332484;2,81412E+12;1,08969E+12;7,08535E+11;1,2337E+12;3,70255E+11;477642380,2;7,27976E+12;1,1907E+11;4,23091E+12;2,97678E+12;6,71274E+12;;31753467452160,10;;
"Pisc""""";313369881,3;7732216,88;24747673,63;706456406,4;215173966;1781420950;1786601623;3045819509;519176,13;71214431,58;34123051,02;328756644,9;130463625,7;1749474,55;69310634,52;2877850752;2392465234;2406920531;8242960108;1095103310;3358588,56;1263601298;207041485,2;6182310655;2848694188;1953257765;;37991023177,98;;
"PlFish""""";1497925486;94882636,89;344008081,8;3924859293;672695772,4;82964861854;3863846593;17317875815;6364089,84;273024160,8;152874429,7;1697263510;351535564;362468447,8;286430800,2;70475750697;28743192050;16692013108;22148114279;5798163987;7341586,18;2,95182E+11;1317465161;1,05887E+11;1,38516E+11;1,57672E+11;;956250658959,76;;
"Polych""""";2,25072E+11;4447587525;16481697018;4,67636E+11;2,27055E+11;2,39223E+12;1,1827E+12;2,77445E+12;280844587,5;56747189833;26606328867;3,64002E+11;1,49761E+11;4800825599;59136186808;3,06259E+12;2,54057E+12;2,21886E+12;6,82303E+12;1,16777E+12;2568108799;4,02878E+12;2,23779E+11;7,97333E+12;4,96679E+12;3,55075E+12;;44510221254133,90;;
"Proto""""";1,31386E+11;1065413326;3561939279;1,7261E+11;39292224477;1,53639E+12;2,05486E+11;6,24718E+11;66822713,67;25435822021;12286410910;20220655842;1,18254E+11;4941708606;11245036765;1,25321E+12;5,39977E+11;4,475E+11;9,4456E+11;1,2406E+11;366567283,3;4,60127E+12;1,63342E+11;6,71274E+12;4,8417E+12;3,3242E+12;;25859884880287,90;;
"SuspFeed""""";2,42439E+11;2753105104;4629028938;1,97881E+11;75741688888;1,11661E+12;4,8923E+11;2,27938E+12;186970188,1;53562465433;30309200602;3,26671E+11;1,763E+11;4236274379;28734909122;2,39223E+12;1,97931E+12;1,5731E+12;1,34634E+12;9,3807E+11;745591151,4;2,40225E+12;2,48227E+11;6,99977E+12;2,83037E+12;4,35311E+12;;30092196352523,00;;
"Zoopl""""";3,06483E+11;1493346988;2465813245;2,31077E+11;75925393314;1,83701E+12;6,83886E+11;1,37688E+12;76751130,56;60657632697;30131551003;99552378104;4,79672E+11;8133130267;24031065190;3,08083E+12;1,00406E+12;9,28345E+11;1,57807E+12;3,78558E+11;1384385516;3,73038E+12;6,10005E+11;1,57728E+13;4,37901E+12;9,96943E+12;;46650365515409,50;;
