"TI3";""RedGroup"";""Snap"";""Sha"";""Gru"";""KingMack"";""Mojar"";""Jack"";""Shri"";""Lobs"";""Crab"";""Octo"";""Herr"";""Trout"";""Zoopl"";""Porg"";""Omollu"";""MicroCrus"";""Anne"";""BenthProd"";""Phyto"";;SUM
""KingMack"";"94646,62";"111009,45";"19098,23";"5626567,87";"121617,65";"8741907,32";"389761,11";"24520125,51";"9269242,71";"11438661,11";"1249666,19";"8728520,82";"51152,48";"7662083,93";"101645,30";"13368126,40";"40198687,93";"57425308,94";"86304334,93";"966624795,71";;"1242046960,21"
""Mojar"";"6975954,72";"10589712,67";"1255210,44";"212538669,63";"12488439,03";"246796478,66";"24621263,92";"1270233322,22";"353643020,15";"440734904,06";"88820909,33";"203292284,78";"1031339,95";"171021291016,78";"4156066,38";"4271861689,21";"52625877448,30";"2709538303,04";"5135587952,96";"8489740095,65";;"247131074081,88"
""Jack"";"330517,98";"504597,83";"64058,03";"15712533,23";"445441,26";"19697011,14";"1083645,15";"78576006,15";"24407034,66";"30454918,09";"4838683,10";"20205522,46";"114021,19";"2086511924,97";"264540,40";"85194407,28";"751881931,77";"155139241,61";"301886711,69";"2062770455,41";;"5640083203,40"
""Shri"";"33000340,53";"30341010,43";"5891365,37";"1056002144,62";"63051751,32";"2286419980,00";"176796013,84";"5826615394,67";"2686672128,22";"3592860212,99";"343636777,06";"1958554175,65";"9781615,00";"607198245371,06";"43652198,62";"19431654902,23";"183476349319,08";"37041700924,03";"15294381326,09";"102908994941,97";;"983464601892,77"
""Lobs"";"7624111,45";"9811419,59";"1349603,30";"260000509,45";"13241775,29";"353643020,15";"30508793,32";"1492595626,79";"477082949,77";"617732591,16";"95744570,13";"319702997,54";"1602877,41";"136359069742,81";"6371274,26";"3921905327,18";"42511530532,77";"4805207530,49";"5527358105,11";"18454175019,59";;"215266258377,57"
""Crab"";"11203723,81";"14571354,30";"1988466,07";"420434843,12";"19609133,34";"528881884,87";"45682377,13";"2395240142,00";"741279109,40";"934323088,45";"162695096,74";"481778115,70";"2491299,51";"250537659743,03";"9438865,13";"6806598092,54";"77654667484,79";"6528158187,99";"9301718736,78";"30249790183,87";;"386848209928,56"
""Octo"";"1891293,81";"2489623,85";"479754,74";"62447444,71";"2320808,65";"115467182,13";"7862860,05";"248182116,77";"124467941,17";"176253021,47";"12054221,44";"105113653,68";"618846,24";"2343378298,92";"1671453,16";"269251017,24";"959353828,95";"1114772709,87";"753085326,14";"10249679606,59";;"16550841009,59"
""Herr"";"6229324,46";"9185933,57";"1191038,44";"201292931,98";"13716247,00";"223621513,26";"27782593,38";"1196894218,45";"351673297,30";"441629939,39";"88942322,35";"197143540,42";"994904,07";"342560205546,45";"4611122,31";"8067407372,46";"102407147858,87";"2996684226,13";"4921844527,12";"9251371513,47";;"472969569970,88"
""Trout"";"35130,49";"53700,07";"6781,15";"904594,78";"73074,97";"1031339,95";"142526,49";"5434230,55";"1602877,41";"2076082,92";"476035,57";"904458,25";"4484,57";"1843256302,11";"22084,41";"43160114,42";"548880189,15";"15264737,48";"21683069,69";"37005965,02";;"2522017779,47"
""Zoopl"";"7844476,09";"403213005,96";"1493810,32";"161476526020,30";"12040417,60";"188123420118,46";"2868953896,84";"371065594393,43";"149994976717,09";"229659521431,11";"1982858560,63";"342560205546,45";"2027581932,32";"29599989026,55";"1349680447,30";"523871994510,51";"16959932222,48";"717595901653,25";"1154662793972,99";"61441438355086,00";;"65335662877245,70"
""Porg"";"70338,56";"95472,87";"12574,67";"3487108,48";"116166,06";"3324853,11";"264540,40";"19400977,16";"5097019,41";"6292576,76";"1028586,56";"3353543,50";"17667,53";"981585779,86";"52682,28";"29532998,57";"327686163,23";"29394098,18";"83900536,95";"273655196,37";;"1768368880,51"
""Omollu"";"11434676,05";"23226473,11";"2231357,16";"5347135081,34";"26736252,80";"5980606364,90";"149090212,73";"15113509368,40";"5490667458,06";"7941031107,96";"289962633,95";"10267609383,13";"60424160,18";"666746174831,55";"51682747,50";"30875993937,96";"205045265374,25";"26345340870,11";"54169691666,47";"1768223980385,87";;"2802161794343,47"
""MicroCrus"";"38978922,23";"152343665,13";"6783305,88";"52214584035,31";"68912036,46";"63151052937,96";"1127822897,66";"122317566212,72";"51013836639,32";"77654667484,79";"885557380,57";"111716888573,31";"658656226,98";"18501744242,71";"491529244,84";"175753084606,50";"5219277801,49";"286842229297,20";"366155175963,99";"19685306313748,30";;"21019277005223,30"
""Anne"";"50302251,71";"69917808,36";"8901448,03";"4061955375,56";"90239771,19";"2980492133,35";"213316457,21";"22636595009,13";"5285728283,53";"5984145005,66";"943269216,04";"2996684226,13";"16791211,23";"717595901653,25";"40416885,00";"20699910683,66";"262938710189,10";"7377456820,05";"108522419434,80";"274645820107,11";;"1437158973970,09"
""BenthProd"";"51373991,61";"36919134,17";"8999068,83";"1257110757,13";"98633525,63";"4108470362,37";"301886711,69";"6797502811,60";"4421886484,09";"6201145824,52";"463437123,78";"3579523292,45";"17346455,75";"839754759253,08";"83900536,95";"30954109523,69";"244103450642,66";"78925395952,58";"5018603886,13";"183701205777,40";;"1409885661116,12"
""Phyto"";"149666264,55";"235745875,31";"31740607,15";"2629680461,59";"414267769,59";"2546922028,69";"773538920,78";"17151499156,99";"5536252505,88";"7562447545,97";"2365310678,44";"2523101321,86";"11101789,51";"16756755915023,50";"102620698,64";"378905138654,12";"4921326578437,08";"74903405483,76";"68887952166,52";"29507694919,78";;"22272320580309,70"

