TI3;"Intpred""""";"Lpred""""";"Sdemzoob""""";"Sdemzoop""""";"Pela""""";"Lcrus""""";"Hetbent""""";"Scrus""""";"Lzoob""""";"Smollworm""""";"Zoopl""""";"Phyto""""";;SUM
WI3;"Intpred""""";"Lpred""""";"Sdemzoob""""";"Sdemzoop""""";"Pela""""";"Lcrus""""";"Hetbent""""";"Scrus""""";"Lzoob""""";"Smollworm""""";"Zoopl""""";"Phyto""""";;SUM
"Intpred""""";26262384,73;11334298,47;2144530045;19976904,33;82097799,29;165905342,5;324886591,8;447094330;44907447,03;597306106,7;3821764253;4335853438;;12021918941
"Lpred""""";9715112,97;2993538,93;390762885,7;10843093,36;51459175,19;30287776,86;94742852,49;235237417,8;8174298,02;277257372,6;1366464759;2966012576;;5443950859
"Sdemzoob""""";2757252916;586144328,5;4820369681;1897459358;9562702248;796812552,6;13435503173;50062741060;83502036,33;49587195818;2,6044E+11;5,22862E+11;;9,16892E+11
"Sdemzoop""""";17123060,86;10843093,36;1264972905;13283470,07;971178035,6;136483481,7;2310834071;4484860285;25135751,89;5338813810;1,88074E+11;2801308452;;2,05449E+11
"Pela""""";70369542,25;51459175,19;6375134832;971178035,6;8362647627;674224178,8;12807397732;34800658000;121776221,7;41601333445;8,35941E+11;3,07165E+11;;1,24894E+12
"Lcrus""""";189606105,8;40383702,48;708277824,5;181977975,6;898965571,8;80140558,27;1132663668;4328721822;13779116,73;4522167925;21055524729;52419327421;;85571536421
"Hetbent""""";417711332,3;142114278,7;13435503173;3466251106;19211096598;1274246626;20459365743;76311740711;255138012,3;90537327237;8,05297E+11;1,09893E+12;;2,12974E+12
"Scrus""""";638706185,8;392062363;55625267845;7474767142;58001096667;5410902278;84790823013;2,39208E+11;1087469566;2,86599E+11;5,15755E+12;2,35865E+12;;8,25543E+12
"Lzoob""""";32076747,88;6811915,02;46390020,18;20946459,91;101480184,8;8611947,96;141743340,2;543734783,2;743041,75;528089090,4;2077823495;5720260024;;9228711050
"Smollworm""""";682635550,5;369676496,8;44077507394;7118418413;55468444593;4522167925;80477624211;2,29279E+11;844942544,6;2,73552E+11;4,9411E+12;2,24878E+12;;7,88627E+12
"Zoopl""""";4367730575;1821953013;2,31502E+11;2,50766E+11;1,11459E+12;21055524729;7,15819E+11;4,12604E+12;3324517592;4,9411E+12;5,23517E+11;8,08227E+13;;9,27566E+13
"Phyto""""";3716445804;2966012576;3,48575E+11;2801308452;3,07165E+11;39314495566;7,3262E+11;1,41519E+12;6864312029;1,68658E+12;6,0617E+13;5,16278E+11;;6,56791E+13
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
WO3;"Intpred""""";"Lpred""""";"Sdemzoob""""";"Sdemzoop""""";"Pela""""";"Lcrus""""";"Hetbent""""";"Scrus""""";"Lzoob""""";"Smollworm""""";"Zoopl""""";"Phyto""""";;SUM
"Hetbent""""";0;0;0,08;0,04;0,08;0;0;0,17;0;0,17;0,17;0,17;;0,88
"Intpred""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lcrus""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lpred""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lzoob""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"Pela""""";0;0;0,08;0,04;0;0;0,08;0,08;0;0,08;0,08;0,08;;0,54
"Phyto""""";0;0;0,08;0,04;0,08;0;0,17;0,29;0;0,21;0,29;0;;1,17
"Scrus""""";0;0;0,08;0,04;0,08;0;0,17;0;0;0,21;0,29;0,29;;1,17
"Sdemzoob""""";0;0;0;0,04;0,08;0;0,08;0,08;0;0,08;0,08;0,08;;0,54
"Sdemzoop""""";0;0;0,04;0;0,04;0;0,04;0,04;0;0,04;0,04;0,04;;0,29
"Smollworm""""";0;0;0,08;0,04;0,08;0;0,17;0,21;0;0;0,21;0,21;;1
"Zoopl""""";0;0;0,08;0,04;0,08;0;0,17;0,29;0;0,21;0;0,29;;1,17
