TI3;"Cet""""";"Cape""""";"PiscSPela""""";"Shri""""";"Lzoopl""""";"Dolph""""";"Lcod""""";"Scod""""";"RedFish""""";"Ldem""""";"Sdem""""";"Lpela""""";"PlankSPela""""";"HarpSeal""""";"LGreenHal""""";"SGreenHal""""";"Plai""""";"Flou""""";"SCrus""""";"OBenthInv""""";"HoodSeal""""";"GreySeal""""";"Skate""""";"Bird""""";"Lcrus""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"Skate""""";0,02;0,04;0,04;0,04;0,02;0,03;0,02;0,04;0,04;0,04;0,04;0,05;0,04;0,02;0,02;0,02;0,02;0,02;0,03;0,05;0,02;0,05;0,03;0,05;0,07;0,02;0,06;0,05;0,02;0,03;;1,05
"Bird""""";0,02;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,04;0,04;0,04;0,01;0,04;0,02;0,02;0,04;0,03;0,02;0,01;0,02;0,02;0,02;0,01;;0,73
"Lcrus""""";0;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,07;0,04;0,01;0,01;0,04;0,01;0,04;0,07;0,05;0,05;0,01;0,02;;0,63
"Echino""""";0;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,06;0,02;0,01;0,01;0,01;0,01;0,06;0,03;0,02;0,02;0,01;0,01;;0,52
"Mollu""""";0,01;0,01;0,03;0,01;0,02;0,01;0,03;0,01;0,01;0,03;0,03;0,01;0,02;0,01;0,01;0,01;0,03;0,03;0,06;0,02;0,01;0,01;0,04;0,01;0,07;0,03;0,03;0,03;0,02;0,08;;0,77
"Polych""""";0,01;0,02;0,02;0,02;0,02;0,02;0,04;0,04;0,02;0,03;0,03;0,04;0,03;0,02;0,01;0,02;0,04;0,04;0,07;0,02;0,01;0,02;0,04;0,02;0,07;0,03;0,03;0,03;0,02;0,09;;0,9
"Szoopl""""";0,02;0,03;0,03;0,03;0,04;0,02;0,02;0,04;0,04;0,04;0,03;0,02;0,04;0,02;0,02;0,05;0,04;0,02;0,06;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,09;;0,92
"Phyto""""";0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,04;0,04;0,03;0,03;;0,37
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Cet""""";"Cape""""";"PiscSPela""""";"Shri""""";"Lzoopl""""";"Dolph""""";"Lcod""""";"Scod""""";"RedFish""""";"Ldem""""";"Sdem""""";"Lpela""""";"PlankSPela""""";"HarpSeal""""";"LGreenHal""""";"SGreenHal""""";"Plai""""";"Flou""""";"SCrus""""";"OBenthInv""""";"HoodSeal""""";"GreySeal""""";"Skate""""";"Bird""""";"Lcrus""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cape""""";0;0;0,18;0,27;0,15;0;0,07;0,1;0,05;0,12;0,27;0,02;0,25;0,05;0;0,02;0,07;0,07;0;0,02;0,02;0;0,03;0;0;0;0;0;0;0;;1,73
"Cet""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Dolph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Echino""""";0;0;0;0;0,02;0;0,02;0;0;0;0,02;0;0;0,02;0;0;0;0;0,02;0,03;0;0;0,02;0;0,02;0;0,03;0,03;0,02;0;;0,23
"Flou""""";0;0,07;0,1;0,08;0,05;0;0,07;0,02;0,03;0,08;0,13;0;0,08;0,05;0;0,02;0,08;0;0,03;0,02;0,02;0;0,08;0;0,03;0;0;0;0;0;;1,05
"GreySeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HarpSeal""""";0;0,05;0,05;0,07;0,07;0;0;0,02;0,02;0,03;0,07;0;0,07;0;0;0;0,03;0,05;0;0,02;0,02;0;0,03;0;0,02;0,02;0,02;0,02;0,02;0;;0,67
"HoodSeal""""";0;0,02;0,02;0,02;0,02;0;0;0;0,02;0;0,02;0;0,02;0,02;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;;0,15
"Lcod""""";0;0,07;0,07;0,07;0;0;0;0,05;0,03;0,1;0,13;0,02;0,07;0;0;0;0,07;0,07;0,05;0,02;0;0;0,05;0;0,03;0,02;0,02;0,02;0;0;;0,93
"Lcrus""""";0;0;0,02;0;0,02;0;0,03;0;0;0,03;0,03;0;0;0,02;0;0;0,03;0,03;0,03;0,02;0;0;0,02;0;0;0,02;0,02;0,02;0,02;0;;0,35
"Ldem""""";0;0,12;0,13;0,15;0,05;0;0,1;0,1;0,03;0;0,2;0,02;0,15;0,03;0;0;0,12;0,08;0,03;0;0;0;0,05;0;0,03;0;0;0;0;0;;1,4
"LGreenHal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lpela""""";0;0,02;0,02;0,02;0;0;0,02;0,02;0,02;0,02;0,02;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,15
"Lzoopl""""";0;0,15;0,12;0,17;0;0;0;0,05;0,02;0,05;0,15;0;0,15;0,07;0;0,02;0,05;0,05;0;0,03;0,02;0;0,03;0;0,02;0,02;0,03;0,03;0,03;0;;1,25
"Mollu""""";0;0;0;0;0,03;0;0,02;0;0;0;0,02;0;0,02;0,02;0;0;0;0;0,02;0,03;0;0;0,02;0;0,02;0,03;0;0,05;0,03;0;;0,3
"OBenthInv""""";0;0,02;0,02;0,02;0,03;0;0,02;0;0;0;0,03;0;0,02;0,02;0;0,02;0,02;0,02;0,02;0;0;0;0,03;0;0,02;0,03;0,03;0,03;0,02;0;;0,4
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PiscSPela""""";0;0,18;0;0,2;0,12;0;0,07;0,08;0,05;0,13;0,22;0,02;0,17;0,05;0;0,02;0,08;0,1;0,02;0,02;0,02;0;0,07;0;0,02;0;0;0;0;0;;1,62
"Plai""""";0;0,07;0,08;0,08;0,05;0;0,07;0,05;0;0,12;0,13;0;0,1;0,03;0;0,02;0;0,08;0,03;0,02;0;0;0,07;0;0,03;0;0;0;0;0;;1,03
"PlankSPela""""";0;0,25;0,17;0,28;0,15;0;0,07;0,08;0,03;0,15;0,32;0,02;0;0,07;0;0,02;0,1;0,08;0;0,02;0,02;0;0,07;0;0;0;0,02;0,02;0,02;0;;1,93
"Polych""""";0;0;0;0;0,03;0;0,02;0;0;0;0,02;0;0,02;0,02;0;0;0;0;0,02;0,03;0;0;0,02;0;0,02;0,03;0,05;0;0,03;0;;0,3
"RedFish""""";0;0,05;0,05;0,05;0,02;0;0,03;0,03;0;0,03;0,05;0,02;0,03;0,02;0;0;0;0,03;0;0;0,02;0;0;0;0;0;0;0;0;0;;0,43
"Scod""""";0;0,1;0,08;0,1;0,05;0;0,05;0;0,03;0,1;0,1;0,02;0,08;0,02;0;0;0,05;0,02;0;0;0;0;0;0;0;0;0;0;0;0;;0,8
"SCrus""""";0;0;0,02;0;0;0;0,05;0;0;0,03;0,05;0;0;0;0;0;0,03;0,03;0;0,02;0;0;0,03;0;0,03;0,02;0,02;0,02;0;0;;0,35
"Sdem""""";0;0,27;0,22;0,35;0,15;0;0,13;0,1;0,05;0,2;0;0,02;0,32;0,07;0;0,02;0,13;0,13;0,05;0,03;0,02;0;0,1;0;0,03;0,02;0,02;0,02;0;0;;2,43
"SGreenHal""""";0;0,02;0,02;0,02;0,02;0;0;0;0;0;0,02;0;0,02;0;0;0;0,02;0,02;0;0,02;0;0;0,02;0;0;0;0;0;0;0;;0,17
"Shri""""";0;0,27;0,2;0;0,17;0;0,07;0,1;0,05;0,15;0,35;0,02;0,28;0,07;0;0,02;0,08;0,08;0;0,02;0,02;0;0,05;0;0;0;0;0;0;0;;1,98
"Skate""""";0;0,03;0,07;0,05;0,03;0;0,05;0;0;0,05;0,1;0;0,07;0,03;0;0,02;0,07;0,08;0,03;0,03;0;0;0;0;0,02;0,02;0,02;0,02;0;0;;0,78
"Szoopl""""";0;0;0;0;0,03;0;0;0;0;0;0;0;0,02;0,02;0;0;0;0;0;0,02;0;0;0;0;0,02;0,02;0,03;0,03;0;0;;0,18
