TI3;"Tibur""""";"Zalo""""";"AvesMar""""";"Odon""""";"Merlu""""";"Sciae""""";"Rhino""""";"Serran""""";"Ray""""";"OtroPec""""";"Haemu""""";"Pela""""";"Cepha""""";"PecPla""""";"Mycto""""";"Mojar""""";"JTotoa""""";"ATotoa""""";"CDeRo""""";"Jaib""""";"CAA""""";"Polique""""";"CCA""""";"Vaqu""""";"Esto""""";"InvBenth""""";"CCPL""""";"Zoopl""""";"Myst""""";"CAPL""""";"AvesCos""""";"Macroph""""";"Phyto""""";;SUM;;
"Mycto""""";0,04;0,05;0,02;0,04;0,05;0,03;0,02;0,01;0,02;0,03;0,02;0,03;0,05;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,04;0,05;0,02;0,02;0,05;0,04;0,06;0,04;0,02;0,02;0,04;;0,99;;
"Myst""""";0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,03;0,01;0,01;0,03;0,04;0,03;0,02;0,04;0,02;0,01;0,02;;0,64;;
"Odon""""";0,05;0,03;0,02;0,03;0,05;0,03;0,04;0,02;0,04;0,03;0,04;0,04;0,04;0,02;0,04;0,03;0,05;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,02;;0,90;;
"OtroPec""""";0,06;0,07;0,07;0,06;0,07;0,05;0,06;0,06;0,05;0,04;0,06;0,06;0,06;0,06;0,06;0,06;0,07;0,08;0,06;0,04;0,05;0,05;0,03;0,07;0,05;0,05;0,06;0,05;0,04;0,06;0,03;0,06;0,06;;1,85;;
"PecPla""""";0,04;0,06;0,02;0,02;0,02;0,03;0,02;0,02;0,04;0,03;0,04;0,02;0,04;0,03;0,02;0,04;0,02;0,02;0,04;0,02;0,03;0,03;0,02;0,02;0,02;0,03;0,04;0,04;0,02;0,04;0,02;0,05;0,02;;1,00;;
"Pela""""";0,04;0,06;0,06;0,04;0,05;0,03;0,02;0,01;0,01;0,03;0,02;0,03;0,03;0,02;0,03;0,02;0,05;0,07;0,02;0,02;0,02;0,02;0,02;0,05;0,01;0,02;0,05;0,04;0,05;0,04;0,01;0,01;0,04;;1,04;;
"Phyto""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,04;0,04;0,04;0,02;0,04;0,02;0,02;0,02;0,04;0,04;0,03;0,03;0,04;0,02;0,04;0,03;0,04;0,04;0,03;0,05;0,03;0,02;0,03;;0,94;;
"Polique""""";0,02;0,02;0,06;0,03;0,05;0,04;0,05;0,05;0,05;0,04;0,03;0,02;0,02;0,04;0,02;0,04;0,06;0,03;0,05;0,05;0,04;0,04;0,05;0,02;0,05;0,05;0,03;0,05;0,06;0,03;0,08;0,05;0,05;;1,37;;
"Ray""""";0,04;0,02;0,02;0,04;0,02;0,04;0,05;0,05;0,03;0,03;0,04;0,02;0,02;0,04;0,02;0,03;0,02;0,02;0,04;0,04;0,04;0,04;0,04;0,05;0,04;0,04;0,02;0,02;0,02;0,02;0,03;0,05;0,02;;1,06;;
"Rhino""""";0,04;0,02;0,02;0,04;0,02;0,03;0,03;0,04;0,04;0,03;0,03;0,01;0,01;0,02;0,01;0,04;0,02;0,02;0,02;0,03;0,03;0,03;0,02;0,02;0,04;0,03;0,01;0,01;0,01;0,01;0,02;0,02;0,01;;0,79;;
