Species               Kbu       Ktd      Kdir    Kindir         K
Tibur             0.28254   5.93341   2.63773   3.57821   6.21595
Zalo              0.00000   6.36447   1.86353   4.50094   6.36447
AvesMar           0.00000   4.49594   1.17235   3.32359   4.49594
Odon              0.00000   7.67460   2.57742   5.09718   7.67460
JTotoa            0.17143   1.76669   0.97358   0.96454   1.93812
Merlu             0.17831   1.01549   0.84941   0.34439   1.19380
Sciae             0.75334   3.81214   2.68519   1.88029   4.56549
ATotoa            0.00000   1.55636   0.65999   0.89637   1.55636
Vaqu              0.00000   4.04261   1.54408   2.49852   4.04261
Rhino             0.49689   1.29484   1.07305   0.71869   1.79174
Serran            0.19779   2.05841   1.32239   0.93381   2.25620
Haemu             0.57774   2.34924   1.83149   1.09548   2.92698
Ray               0.89372   1.14004   1.39296   0.64080   2.03376
PecPla            0.42565   1.43981   1.26522   0.60024   1.86546
OtroPec           1.71918   1.56455   2.50378   0.77995   3.28374
CDeRo             1.68082   0.33822   1.35681   0.66223   2.01904
Mojar             1.17769   0.91895   1.58397   0.51268   2.09665
Jaib              1.12173   1.04488   1.71369   0.45292   2.16661
Pela              1.27590   0.34363   1.35289   0.26664   1.61953
Myst              0.00000   1.04299   0.78988   0.25310   1.04299
CCPL              2.66812   0.19735   1.53688   1.32859   2.86547
Cepha             1.52524   0.34363   1.43378   0.43509   1.86887
Mycto             0.89177   0.64146   1.21003   0.32320   1.53323
CAPL              2.84930   0.19735   1.55077   1.49588   3.04665
Esto              1.49684   0.63293   1.44024   0.68953   2.12978
AvesCos           0.00000   0.82304   0.54493   0.27810   0.82304
Polique           4.16733   0.26387   2.28218   2.14902   4.43120
CAA               2.85549   0.33822   2.15487   1.03884   3.19371
CCA               1.95141   0.33822   1.51003   0.77960   2.28963
InvBenth          5.46942   0.19735   2.44244   3.22433   5.66677
Zoopl            10.63536   0.06667   3.36109   7.34094  10.70202
Phyto            21.77813   0.00000   3.85712  17.92101  21.77813
Macroph           9.22187   0.00000   2.52623   6.69564   9.22187
