TI3;"Seamm""""";"CarnFish""""";"DemFish""""";"OmnFish""""";"MicroNekt""""";"MacroBenth""""";"Bird""""";"MeioBenth""""";"MacroZoopl""""";"MesoZoopl""""";"Phyto""""";"BenthProd""""";"Baci""""";"MicroZoopl""""";"Sphyto""""";;SUM
"MacroBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MesoZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthProd""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Baci""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MicroZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sphyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
WI3;"Seamm""""";"CarnFish""""";"DemFish""""";"OmnFish""""";"MicroNekt""""";"MacroBenth""""";"Bird""""";"MeioBenth""""";"MacroZoopl""""";"MesoZoopl""""";"Phyto""""";"BenthProd""""";"Baci""""";"MicroZoopl""""";"Sphyto""""";;SUM
"Seamm""""";1028509891;1954598510;4597332659;8,8219E+11;1,93377E+11;32941308651;212805181,2;62712313715;1,55146E+12;2,70131E+12;2,56187E+12;11543572237;1271021235;1,34284E+12;1,00713E+12;;1,03564E+13
"CarnFish""""";2345518212;3556295472;7828406121;3,18291E+12;6,93321E+11;1,25092E+11;424898998,2;2,26398E+11;5,59715E+12;9,80967E+12;9,19021E+12;18039284169;3316951563;4,86742E+12;3,65057E+12;;3,73783E+13
"DemFish""""";6436265723;9133140474;27860915947;6,64445E+12;1,44409E+12;5,03959E+11;974504858,9;5,35214E+11;1,20887E+13;2,09413E+13;1,91575E+13;1,20536E+11;17251699632;1,1644E+13;7,77467E+12;;8,09161E+13
"OmnFish""""";1,23507E+12;3,71339E+12;6,64445E+12;4,46724E+14;8,60696E+13;1,75403E+13;3,6317E+11;4,17718E+13;1,31996E+15;1,71508E+15;1,89122E+15;1,77686E+12;1,10114E+15;2,30376E+15;3,10372E+15;;1,20407E+16
"MicroNekt""""";2,70728E+11;8,08874E+11;1,44409E+12;8,60696E+13;1,61545E+13;3,4743E+12;79358793007;8,5785E+12;2,56473E+14;3,6051E+14;3,39998E+14;4,21962E+11;2,22367E+14;4,37557E+14;6,06033E+14;;2,34024E+15
"MacroBenth""""";46117832111;1,45941E+11;5,03959E+11;1,75403E+13;3,4743E+12;6,60108E+11;11101265493;1,83422E+12;4,61437E+13;7,15267E+13;6,69304E+13;2,88559E+12;5,51293E+13;9,73852E+13;1,40892E+14;;5,05109E+14
"Bird""""";170244145;283265998,8;556859919,3;2,07526E+11;45347881718;6343580282;32743358,7;14548909288;3,62293E+11;6,35905E+11;5,99493E+11;1403225713;114259605,1;3,1547E+11;2,36603E+11;;2,42609E+12
"MeioBenth""""";62712313715;1,88665E+11;3,82296E+11;2,9837E+13;6,1275E+12;1,31016E+12;18186136610;2,36671E+12;8,67108E+13;1,20797E+14;1,47705E+14;2,68353E+11;2,25223E+14;1,5901E+14;5,21316E+14;;1,30132E+15
"MacroZoopl""""";1,24117E+12;3,73143E+12;6,90783E+12;7,5426E+14;1,46556E+14;2,63678E+13;3,62293E+11;6,93687E+13;1,74158E+15;3,64128E+15;2,15046E+15;3,0793E+12;2,83169E+15;4,05613E+15;6,58083E+15;;2,20138E+16
"MesoZoopl""""";4,3221E+12;1,30796E+13;2,39329E+13;1,96009E+15;4,12012E+14;8,17448E+13;1,27181E+12;1,93275E+14;7,28255E+15;8,20128E+15;1,42836E+16;7,36791E+12;1,57466E+16;6,22513E+16;3,88157E+16;;1,49278E+17
"Phyto""""";3,07424E+12;9,19021E+12;1,64207E+13;1,62104E+15;2,91427E+14;5,73689E+13;8,99239E+11;1,77246E+14;3,22569E+15;1,07127E+16;1,86792E+15;5,64747E+12;8,66018E+15;9,30817E+15;1,78037E+16;;5,37606E+16
"BenthProd""""";2308714447;3006547361;17219433145;2,53837E+11;60280340808;4,12228E+11;350806428,3;53670573868;7,69825E+11;9,20989E+11;9,41245E+11;66728778,86;24305957699;6,6097E+11;4,95728E+11;;4,61603E+12
"Baci""""";508408494;1105650521;4929057038;3,14611E+14;6,35335E+13;1,57512E+13;57129802,57;9,00892E+13;1,41584E+15;3,93665E+15;2,88673E+15;48611915397;44153702788;6,77008E+16;1,57467E+15;;7,79988E+16
"MicroZoopl""""";8,05701E+11;2,43371E+12;4,9903E+12;9,87327E+14;1,87525E+14;4,17365E+13;2,36602E+11;9,54061E+13;3,0421E+15;2,33443E+16;4,65408E+15;1,98291E+12;1,01551E+17;6,29792E+15;2,05462E+17;;3,45674E+17
"Sphyto""""";4,02851E+11;1,21686E+12;2,22134E+12;8,86778E+14;1,73152E+14;4,02548E+13;1,18301E+11;2,08526E+14;3,29042E+15;9,70393E+15;5,93456E+15;9,91456E+11;1,57467E+15;1,36975E+17;6,29787E+15;;1,6509E+17
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
WO3;"Seamm""""";"CarnFish""""";"DemFish""""";"OmnFish""""";"MicroNekt""""";"MacroBenth""""";"Bird""""";"MeioBenth""""";"MacroZoopl""""";"MesoZoopl""""";"Phyto""""";"BenthProd""""";"Baci""""";"MicroZoopl""""";"Sphyto""""";;SUM
"Baci""""";0;0;0;0,2;0,17;0;0;0,03;0,2;0,2;0,2;0;0;0,2;0,2;;1,4
"BenthProd""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CarnFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroZoopl""""";0;0;0;0,23;0,17;0;0;0,03;0;0,23;0,23;0;0,2;0,23;0,23;;1,57
"MeioBenth""""";0;0;0;0,03;0,03;0;0;0;0,03;0,03;0,03;0;0,03;0,03;0,03;;0,27
"MesoZoopl""""";0;0;0;0,23;0,17;0;0;0,03;0,23;0;0,27;0;0,2;0,23;0,23;;1,6
"MicroNekt""""";0;0;0;0,17;0;0;0;0,03;0,17;0,17;0,17;0;0,17;0,17;0,17;;1,2
"MicroZoopl""""";0;0;0;0,23;0,17;0;0;0,03;0,23;0,23;0,23;0;0,2;0;0,23;;1,57
"OmnFish""""";0;0;0;0;0,17;0;0;0,03;0,23;0,23;0,23;0;0,2;0,23;0,23;;1,57
"Phyto""""";0;0;0;0,23;0,17;0;0;0,03;0,23;0,27;0;0;0,2;0,23;0,23;;1,6
"Seamm""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sphyto""""";0;0;0;0,23;0,17;0;0;0,03;0,23;0,23;0,23;0;0,2;0,23;0;;1,57
