TI3;"Lpred""""";"IntMedPred""""";"Carang""""";"FlatFishSole""""";"Sciae""""";"Spela""""";"EngraClup""""";"Squid""""";"DemZooBenthFeed""""";"Leio""""";"Mullid""""";"Nemi""""";"Bali""""";"Lact""""";"ReefFish""""";"OctoSep""""";"Tuna""""";"CrabLobs""""";"Shri""""";"Scrus""""";"LzooBenthFeed""""";"MacroBenth""""";"MeioBenth""""";"Lutja""""";"Serra""""";"Zoopl""""";"Phyto""""";"MacroBenthFlo""""";;SUM
"Nemi""""";0,05;0,04;0,04;0,06;0,03;0,04;0,03;0,05;0,04;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,03;0,02;0,04;0,04;0,02;0,04;0,04;0,05;0,05;0,04;0,02;0,02;;0,99
"Bali""""";0,04;0,04;0,04;0,02;0,03;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,04;0,04;0,04;0,02;0,03;0,04;0,04;0,05;0,04;0,02;0,02;;0,85
"Lact""""";0,04;0,04;0,04;0,06;0,02;0,04;0,02;0,02;0,04;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,02;0,04;0,04;0,05;0,05;0,04;0,05;0,02;;0,92
"ReefFish""""";0,03;0,03;0,03;0,01;0,01;0,02;0,02;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,04;0,04;0,03;0,04;0,13;;0,67
"OctoSep""""";0,03;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,03;0,01;0,04;0,02;0,03;0,08;0,03;0,04;0,04;0,01;0,04;0,04;0,02;;0,68
"Tuna""""";0,02;0,03;0,04;0,01;0,02;0,03;0,05;0,05;0,03;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,03;0,04;0,04;0,03;0,02;0,02;0,01;0,01;0,02;0,02;0,02;0,01;;0,64
"CrabLobs""""";0,02;0,04;0,05;0,02;0,06;0,04;0,03;0,02;0,03;0,03;0,03;0,03;0,06;0,03;0,04;0,07;0,06;0,04;0,05;0,05;0,09;0,05;0,05;0,05;0,05;0,05;0,03;0,14;;1,3
"Shri""""";0,03;0,05;0,05;0,03;0,06;0,05;0,06;0,06;0,03;0,03;0,03;0,05;0,06;0,03;0,03;0,03;0,07;0,06;0,04;0,05;0,09;0,05;0,05;0,05;0,06;0,03;0,05;0,03;;1,27
"Scrus""""";0,04;0,05;0,04;0,07;0,07;0,05;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,03;0,07;0,07;0,06;0,06;0,04;0,09;0,04;0,04;0,06;0,03;0,06;0,06;0,02;;1,51
"LzooBenthFeed""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,03;0,03;0,03;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,02;;0,44
"MacroBenth""""";0,04;0,06;0,06;0,07;0,07;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,07;0,06;0,05;0,08;0,04;0,07;0,06;0,04;0,1;0,05;0,06;0,06;0,07;0,06;0,07;0,15;;1,81
"MeioBenth""""";0,03;0,04;0,03;0,06;0,06;0,03;0,03;0,03;0,05;0,05;0,05;0,05;0,06;0,05;0,03;0,07;0,02;0,05;0,05;0,03;0,09;0,05;0,04;0,06;0,03;0,05;0,05;0,03;;1,28
