TI3;"PrimProd""""";"MicroZoopl""""";"MesoZoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scalo""""";"Lobs""""";"Ogado""""";"Cepha""""";"SMDem""""";"Sgado""""";"Lemsole""""";"Awhit""""";"Herr""""";"Sprat""""";"Pil""""";"Mack""""";"Scad""""";"MacroZoopl""""";"Acod""""";"Ray""""";"Sande""""";"BaskSha""""";"Bird""""";"DepoFeed""""";"Whelk""""";"RedMull""""";"Jsole""""";"Asole""""";"Jplai""""";"Aplai""""";"Dab""""";"LFlatFish""""";"Gurna""""";"Jwhit""""";"Jcod""""";"DogFish""""";"Bream""""";"Bass""""";"SMCrab""""";"Lcrab""""";"Lbott""""";"JohnDo""""";"AngFish""""";"Seal""""";"Hake""""";"ToothCet""""";"Sha""""";;SUM
"Sande""""";0;0,05;0,11;0,04;0,1;0,03;0,05;0;0;0,1;0,11;0,09;0,11;0,04;0,05;0,03;0,1;0,05;0,09;0,1;0;0,08;0,02;0;0;0,02;0,13;0;0;0;0;0;0,01;0,01;0,01;0,02;0,02;0,03;0,04;0;0;0,1;0,01;0,04;0,01;0,04;0,05;0;0;0;;1,89
"Scad""""";0,01;0,06;0,14;0,03;0,13;0,02;0,06;0;0;0,13;0,14;0,13;0,14;0,07;0,08;0,03;0,13;0,09;0,13;0;0;0,09;0,02;0,1;0,02;0,04;0,12;0;0;0;0;0;0,01;0;0,02;0,04;0,01;0,02;0,1;0,01;0;0,1;0;0,07;0,02;0,05;0,04;0,03;0,04;0;;2,47
"Scalo""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,21
"Seal""""";0;0,02;0,03;0,01;0,04;0,02;0,02;0;0;0,03;0,05;0,05;0,04;0,04;0,01;0,04;0,04;0,02;0,04;0,04;0;0,02;0,02;0,05;0;0,01;0,07;0;0;0;0;0;0,01;0,01;0,01;0;0,01;0,02;0,01;0;0;0,04;0;0,03;0,01;0,03;0;0;0;0;;0,89
"Sgado""""";0,02;0,05;0,12;0,06;0,18;0,07;0,1;0;0,01;0,17;0,16;0,16;0;0,07;0,08;0,05;0,11;0,05;0,11;0,14;0;0,09;0,04;0,11;0;0,02;0,18;0,01;0,01;0;0;0,01;0;0,02;0;0,03;0,03;0,03;0,13;0;0;0,17;0,01;0,03;0,01;0,02;0,04;0,01;0,01;0;;2,72
"Sha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ShriPrawn""""";0,04;0,06;0,12;0,09;0;0,13;0,22;0,02;0,03;0,16;0,2;0,21;0,18;0,04;0,06;0,05;0,1;0,05;0,06;0,13;0;0,09;0,04;0,1;0;0,01;0,27;0,01;0,01;0;0;0,01;0;0,01;0;0,03;0,03;0,02;0,14;0;0;0,25;0,01;0,02;0,01;0,04;0,04;0,01;0,01;0;;3,11
"SMCrab""""";0,03;0,03;0,09;0,09;0,25;0,12;0,23;0;0,02;0,13;0,21;0,2;0,17;0,04;0,05;0,05;0,08;0,02;0,07;0,1;0;0,09;0,04;0,1;0;0,01;0,32;0,01;0,01;0,01;0;0,01;0;0,03;0;0,02;0,04;0,04;0,17;0;0;0;0,01;0,01;0,01;0,04;0,04;0,01;0,01;0;;3,01
"SMDem""""";0,04;0,03;0,09;0,06;0,21;0,1;0,16;0;0,02;0,15;0,14;0;0,16;0,07;0,05;0,04;0,08;0,05;0,09;0,13;0;0,04;0,02;0,09;0;0,01;0,22;0,01;0,01;0,01;0;0,01;0,01;0,03;0,01;0,02;0,03;0,03;0,1;0;0;0,2;0,01;0,02;0,01;0,02;0,05;0,01;0;0;;2,64
"Sprat""""";0,01;0,07;0,15;0,05;0,1;0,02;0,03;0;0;0,09;0,09;0,08;0,11;0,05;0,06;0,05;0;0,1;0,11;0,13;0;0,06;0,01;0,1;0,02;0,02;0,09;0;0;0;0;0;0;0,01;0;0,02;0,02;0,02;0,04;0,01;0;0,08;0;0,04;0,02;0,02;0,04;0,02;0,04;0;;1,98
"SuspFeed""""";0,06;0,06;0,08;0;0,09;0,08;0,11;0,02;0,04;0,08;0,07;0,06;0,06;0,04;0,04;0,02;0,05;0,03;0,02;0,03;0;0,04;0,01;0,04;0;0;0,11;0,01;0,01;0,01;0;0,01;0;0,01;0;0;0,01;0;0,06;0;0;0,09;0;0,02;0;0,02;0,01;0;0;0;;1,5
"ToothCet""""";0;0,02;0,04;0;0,01;0;0,01;0;0;0,01;0,03;0;0,01;0,02;0,01;0;0,04;0,03;0,03;0,04;0;0,01;0;0;0,02;0,02;0,01;0;0;0;0;0;0;0;0;0;0;0;0,02;0,01;0;0,01;0;0,02;0,01;0;0;0,02;0;0;;0,45
"Whelk""""";0,01;0;0;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0,01;0;0;0,01;0;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0;;0,16
