TI3;"PrimProd""""";"MicroZoopl""""";"MesoZoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scalo""""";"Lobs""""";"Ogado""""";"Cepha""""";"SMDem""""";"Sgado""""";"Lemsole""""";"Awhit""""";"Herr""""";"Sprat""""";"Pil""""";"Mack""""";"Scad""""";"MacroZoopl""""";"Acod""""";"Ray""""";"Sande""""";"BaskSha""""";"Bird""""";"DepoFeed""""";"Whelk""""";"RedMull""""";"Jsole""""";"Asole""""";"Jplai""""";"Aplai""""";"Dab""""";"LFlatFish""""";"Gurna""""";"Jwhit""""";"Jcod""""";"DogFish""""";"Bream""""";"Bass""""";"SMCrab""""";"Lcrab""""";"Lbott""""";"JohnDo""""";"AngFish""""";"Seal""""";"Hake""""";"ToothCet""""";"Sha""""";;SUM
"SMCrab""""";0,02;0,02;0,02;0,03;0,05;0,03;0,06;0,01;0,07;0,04;0,04;0,05;0,04;0,02;0,05;0,03;0,02;0,02;0,04;0,02;0,02;0,05;0,06;0,03;0,01;0,06;0,04;0,09;0,08;0,09;0,12;0,03;0,03;0,07;0,07;0,07;0,07;0,06;0,05;0,09;0,1;0,05;0,1;0,05;0,02;0,06;0,03;0,02;0,02;0,03;;2,35
"Lcrab""""";0;0;0;0;0,02;0,01;0,02;0;0,01;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0,04;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0;0;0;0;0;0;0;;0,36
"Lbott""""";0,01;0,02;0,02;0,01;0,02;0,01;0,01;0;0,01;0,03;0,03;0,03;0,03;0,04;0,02;0,04;0,04;0,05;0,02;0,02;0,01;0,01;0,01;0,04;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,08;0,02;0,05;0,02;0,02;0,02;;1
"JohnDo""""";0,01;0,01;0,01;0;0,02;0;0;0;0;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,04;0;0,03;0,01;0;0;0,01;0,01;0,01;0;0;0,01;0;0;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,04;0,02;0;0,01;0,01;0,01;0;;0,45
"AngFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,03;0,02;0,03;0,04;0,01;0,04;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,02;0,02;0,05;0,04;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,03;0,05;0,01;0,01;0,02;;0,84
"Seal""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,03;0,03;0,03;0,01;0,04;0,01;0,02;0,01;0,01;0,03;0,03;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,08;0,01;0,06;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,02;0,05;0,03;0,01;0,01;0,02;;0,88
"Hake""""";0;0,01;0,01;0;0,01;0;0;0;0;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,04;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0,01;0,04;0,01;0,01;0,01;0;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,02;0;;0,53
"ToothCet""""";0;0,01;0,02;0;0,01;0;0;0;0;0,01;0,02;0;0,01;0,01;0,01;0,01;0,03;0,05;0,03;0,03;0,02;0,01;0,01;0,01;0,2;0,01;0,01;0;0;0;0;0;0;0;0,01;0,01;0;0,01;0,01;0,07;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,05;0,02;;0,74
"Sha""""";0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;;0,08
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
