dl
n=33
format=fullmatrix
labels:	Tibur	Zalo	ATotoa	AvesMar	Odon	Vaqu	JTotoa	Merlu	Myst	AvesCos	Sciae	Rhino	Serran	Ray	OtroPec	Haemu	CDeRo	Pela	CCPL	CAPL	Cepha	PecPla	Mycto	Mojar	Jaib	Polique	Esto	CAA	InvBenth	CCA	Zoopl	Phyto	Macroph
data:
0	0.01	0	0.002	0.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.003	0.00	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.252	0.023	0.005	0.002	0.102	0.005	0.036	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	0	0	0	0.023	0	0	0	0	0	0.003	0	0.002	0	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0
0.004	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	0	0	0	0.023	0.001	0	0	0	0	0.102	0.046	0.004	0	0	0.005	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0
0.839	0.204	0.003	0.007	0.962	0.007	0.013	0.075	0	0	0.625	0.069	0.012	0.153	0	0.191	0	0	0	0	0	0.157	0	0	0	0	0	0	0	0	0	0	0
0.01	0.005	0.000	0.003	0.005	0.001	0	0	0	0	0.012	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.002	0	0	0	0.001	0.003	0	0	0.003	0	0.002	0.002	0.002	0.001	0	0	0	0	0	0.003	0	0.002	0.029	0	0	0	0	0	0	0	0
0.46	0.117	0.019	0.012	0.953	0.008	0.053	0.041	0.065	0	0.025	0	0	0	3.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.006	0.001	0	0.003	0	0	0	0.015	0.006	0	0.018	0	0	0.014	0.027	0.01	0.011	0.052	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.001	0	0.003	0	0	0	0.015	0.006	0	0.018	0	0	0.014	0.027	0.01	0.011	0.104	0	0.026	0	0	0	0	0	0
0.041	0.036	0.003	0.003	1.489	0.005	0	0	0.003	0	0.117	0	0	0	0.718	0.002	0	0	0	0	0	0.003	0.566	0	0	0	0	0	0	0	0	0	0
0.01	0.003	0	0	0	0	0	0	0	0	0.003	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
