TI3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"ADicLab""""";"Grass""""";"MacroAlga""""";"AMugi""""";"Epiph""""";"MicroMeioBenth""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"JDicLab""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;;;
"JSparAur""""";0,01;0;0,02;0,02;0;0,01;0,02;0,02;0,06;0,01;0,05;0,01;0,01;0,01;0,01;0,06;0,07;0,02;0,06;0,03;0,06;0,02;0,02;0,02;0,16;;0,79;0,0316253;;
"JTPhil""""";0,02;0;0,02;0,06;0;0,01;0,01;0,01;0,01;0,13;0,07;0,04;0,06;0,06;0,13;0,02;0,02;0,03;0,01;0,05;0,02;0,07;0,02;0,07;0,01;;0,95;0,038030424;;
"MacroAlga""""";0,04;0,14;0,04;0,02;0,08;0,06;0,11;0,04;0,02;0;0;0,01;0;0;0;0;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;;0,64;0,025620496;;
"MacroBenthDet""""";0,02;0,02;0,07;0,05;0;0,05;0,13;0,04;0,1;0,02;0,04;0,04;0,03;0,03;0,02;0,16;0,09;0,08;0,12;0,02;0,07;0,08;0,09;0,08;0,08;;1,52;0,060848679;;
"MacroBenthHerbDet""""";0,18;0,17;0,03;0,02;0,5;0,18;0,03;0,18;0,02;0;0;0;0;0;0;0;0,01;0,01;0;0;0,01;0;0,01;0;0;;1,35;0,054043235;;
"MacroBenthOmn""""";0,02;0,01;0,06;0,03;0;0,02;0,03;0,03;0,07;0,05;0,04;0,08;0,09;0,1;0,05;0,03;0,06;0,07;0,03;0,02;0,07;0,05;0,04;0,05;0,02;;1,13;0,045236189;;
"MacroBenthOmnFiltFeed""""";0,02;0,01;0,06;0,03;0;0,01;0,02;0,02;0,03;0,13;0,07;0,06;0,06;0,07;0,13;0,02;0,03;0,08;0,02;0,05;0,03;0,08;0,08;0,08;0,01;;1,18;0,04723779;;
"MacroBenthOmnMixFeed""""";0,18;0,09;0,08;0,11;0,08;0,18;0,08;0,18;0,1;0,04;0,07;0,09;0,05;0,04;0,04;0,04;0,09;0,1;0,05;0,04;0,09;0,09;0,11;0,1;0,04;;2,13;0,085268215;;
"MicroMeioBenth""""";0,03;0,04;0,07;0,04;0,03;0,06;0,13;0,15;0,07;0,01;0,03;0,03;0,02;0,02;0,01;0,04;0,08;0,08;0,11;0,01;0,09;0,08;0,08;0,04;0,05;;1,40;0,056044836;;
"NektCarnBenth""""";0,03;0,01;0,07;0,08;0;0,03;0,04;0,03;0,08;0,04;0,06;0,08;0,04;0,04;0,04;0,03;0,05;0,06;0,03;0,04;0,08;0,08;0,09;0,09;0,02;;1,23;0,049239392;;
"Phyto""""";0,01;0;0,01;0,02;0;0;0;0;0,01;0,05;0,06;0,07;0,09;0,1;0,05;0,01;0,01;0,02;0,01;0,04;0,01;0,02;0,01;0,02;0,01;;0,63;0,025220176;;
"TPhilCom""""";0;0;0,02;0,02;0;0;0;0;0,01;0,13;0,06;0,04;0,05;0,06;0,13;0,02;0,02;0,02;0,01;0,04;0,01;0,06;0,02;0,06;0,01;;0,80;0,03202562;;
"UlvRig""""";0,05;0,13;0,04;0,06;0,08;0,04;0,02;0,04;0,01;0;0,01;0,01;0,01;0;0;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0;;0,59;0,023618895;;
"Zoopl""""";0,03;0,01;0,06;0,09;0;0,02;0,03;0,02;0,03;0,17;0,1;0,1;0,13;0,15;0,17;0,17;0,08;0,08;0,12;0,41;0,04;0,05;0,04;0,06;0,08;;2,24;0,089671737;;
"ZosOph""""";0,03;0,01;0,07;0,08;0;0,02;0,04;0,03;0,08;0,02;0,03;0,08;0,03;0,02;0,02;0,03;0,07;0,08;0,04;0,01;0,07;0,04;0,05;0,08;0,03;;1,07;0,042834267;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;24,98;1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"ADicLab""""";"Grass""""";"MacroAlga""""";"AMugi""""";"Epiph""""";"MicroMeioBenth""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"JDicLab""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;;;
"ADicLab""""";77567679967;2144018209;1,05357E+12;7877986441;183731,17;82056285890;1,77223E+11;5,9588E+11;5,00564E+11;8,0182E+11;7,78481E+11;3,46041E+11;3,11003E+11;1,10822E+12;6,53581E+11;1252013575;48428694371;33395954913;370628953,9;2661881,49;8,25203E+11;1,53991E+11;22900951823;1690843848;89503383,42;;7583351576778,67;0,00;;2150609823946,87
"AMugi""""";1,73371E+12;1458972536;1,02628E+12;88611297150;1017657,67;1,87296E+12;2,28095E+11;1,43629E+12;4,12452E+12;26450118,55;1,99944E+11;2,60363E+11;54366410942;53855566971;38000645,55;4809994663;2,07493E+11;82054730079;565540213,2;169,84;1,31344E+12;4,99823E+11;1,50846E+11;9551066764;200675054,6;;13349295909156,00;0,00;;2150609823946,87
"ASparAur""""";26093908785;69176541,03;93218704671;1690843848;0;28048712922;19102133528;98751141636;40311963824;2,21598E+11;1,79024E+12;9,46696E+11;7,60704E+11;2,85246E+12;3,11356E+11;363509002,6;10147693487;4915274928;84702583,23;1464023,34;1,33896E+11;20508016423;1961616446;86423070,84;13478598,96;;7362321260206,08;0,00;;
"AtherBoy""""";1,08565E+12;2401663851;2,44826E+12;60535867963;0;1,1696E+12;5,18733E+11;2,62581E+12;2,45463E+12;4,31349E+12;2,23359E+13;8,44473E+12;8,72379E+12;3,30476E+13;2,35692E+12;3122908551;1,87898E+11;1,42631E+11;1191451539;2053816,68;3,31452E+12;7,54483E+11;1,20243E+11;12684616858;746361521;;94125549340033,50;0,00;;
"Bacipl""""";5,51715E+12;0;3,70043E+12;3,26791E+11;0;5,86988E+12;38000645,55;2,733E+12;5,37878E+12;1,09049E+14;1,02084E+15;4,23653E+14;4,09853E+14;1,55514E+15;7,70176E+13;42731322412;9,42767E+11;4,38412E+11;6204732063;181835414,5;2,3652E+12;2,78345E+12;5,0242E+11;1,55678E+11;8537800652;;3626333359584020,00;0,16;;
"Bird""""";558875935,6;0;720963475,9;33563768,78;0;593770272,2;150506290,9;682705505,4;1930072728;4371346738;62643570,67;805824586,1;234307067,8;329064304;6403350489;10067988,76;223908456,3;52185409,12;1293591,49;30235,79;759775050,1;270603995;80074221,28;5054474,61;1180,54;;18279989334,59;0,00;;
