TI3;"MarMamm""""";"Cepha""""";"LBenthCarn""""";"SBenthCarn""""";"Clup""""";"Anch""""";"Shri""""";"BenthOmn""""";"Lzoopl""""";"Sha""""";"Lpela""""";"LBenthPela""""";"MBenthCarn""""";"MeioBenth""""";"RaySkate""""";"SBenthPela""""";"CrabLobs""""";"HetBenth""""";"MicroNekt""""";"Mack""""";"Tuna""""";"MicroZoopl""""";"Phyto""""";;SUM
"RaySkate""""";1827,7;23969,51;43549,86;776564,87;1598561;6306748,02;1873474,07;911282,61;121529844;1031,9;2543,33;9695,3;149675,82;800675,23;657,11;184166,65;424483,34;30735631,59;16984110,39;5135187,54;3504,29;626620565,1;400447866,5;;1214565616
"SBenthPela""""";282190,17;9916799,86;9306026,52;261370937,2;532435548,4;1518151536;177193083,2;49831524,04;87062481273;99991,8;389154,98;1880308,53;20993302,84;698718240;368333,29;30934384,53;3771396,49;5468204738;5304796019;1936862172;1217502,03;2,07054E+11;3,64644E+11;;6,74787E+11
"CrabLobs""""";139391,33;2322939,32;1717617,93;8507731,75;14681237,25;53321029,79;16745452,22;38343665,73;1735735542;35606,54;114477,74;283623,19;1393470,43;871057617;471648,15;2095220,27;8773818,16;311206265,2;137524573,7;59586576,96;309040,55;6981699638;4511374636;;14757440818
"HetBenth""""";22065205,04;608977500,4;503672502,8;50838036560;97146104190;2,88836E+11;30343442327;8513906540;1,71131E+13;5352070,68;31266013,42;118191997,5;3262729302;1,37271E+11;51226052,65;4556837281;466809397,9;9,95462E+11;1,03065E+12;3,2297E+11;68654602;3,4577E+13;7,59448E+13;;1,30607E+14
"MicroNekt""""";19459832,28;702160176,6;703432618,4;23383005176;79830422869;1,30912E+11;18769533107;6964486111;1,036E+13;6409363,89;24735660,45;155567156;2202692484;55734969747;24532603,9;3831241570;178781945,8;8,93232E+11;5,08871E+11;4,83679E+11;90584663,73;4,97967E+13;2,53962E+13;;8,77622E+13
"Mack""""";1557625,83;37779775,88;11007933,1;11422761599;14198419036;64796007443;5564545167;716812140,4;3,31972E+12;148422,38;3984055,49;5288087;565676658,4;17185692490;3423458,36;645620724,1;35751946,18;1,29188E+11;2,23236E+11;110076655,6;1786833,95;4,21245E+11;1,92088E+13;;2,34175E+13
"Tuna""""";6483,26;80549,78;213830,61;1769788,97;3451849,71;20054130,96;5040495,1;896179,25;121590256,3;2279,57;9059,64;44270,99;516079,87;4387261,13;2725,56;473473,01;216328,39;32038814,27;48776357,4;2084639,61;4745,29;588804876;783540735,4;;1614005210
"MicroZoopl""""";453828259,8;13468737511;7624764535;2,5588E+12;3,25928E+12;1,43794E+13;1,21606E+12;1,70121E+11;7,52838E+14;81377286;1030614747;2242026406;1,25932E+11;3,9918E+12;905118594;1,49539E+11;9076209529;2,99667E+13;4,97967E+13;9,12697E+11;1093494770;1,80448E+14;4,28807E+15;;5,32792E+15
"Phyto""""";600481076,8;11617108166;14752371053;8,94187E+11;5,64485E+12;6,42514E+12;1,57616E+12;5,42847E+11;5,36038E+14;119969559,5;485215961,6;3788475841;1,65041E+11;1,94587E+12;578424696;2,63354E+11;5864787027;6,58189E+13;2,53962E+13;4,16191E+13;1455147080;4,28807E+15;1,80268E+14;;5,15471E+15
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"MarMamm""""";"Cepha""""";"LBenthCarn""""";"SBenthCarn""""";"Clup""""";"Anch""""";"Shri""""";"BenthOmn""""";"Lzoopl""""";"Sha""""";"Lpela""""";"LBenthPela""""";"MBenthCarn""""";"MeioBenth""""";"RaySkate""""";"SBenthPela""""";"CrabLobs""""";"HetBenth""""";"MicroNekt""""";"Mack""""";"Tuna""""";"MicroZoopl""""";"Phyto""""";;SUM
"Anch""""";0;0,04;0,04;0,15;0,17;0;0,13;0,11;0,22;0;0;0;0,07;0,15;0;0,07;0;0,22;0,22;0,2;0;0,22;0,22;;2,22
"BenthOmn""""";0;0,04;0,04;0,11;0,11;0,11;0,11;0;0,11;0;0;0;0,07;0,11;0;0,07;0;0,11;0,11;0,11;0;0,11;0,11;;1,41
"Cepha""""";0;0;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0;0;0,04;0,04;0;0,04;0;0,04;0,04;0,04;0;0,04;0,04;;0,65
"Clup""""";0;0,04;0,04;0,15;0;0,17;0,13;0,11;0,17;0;0;0;0,07;0,15;0;0,07;0;0,17;0,17;0,15;0;0,17;0,17;;1,96
