TI3;"MarMamm""""";"SerLal""""";"Bran""""";"TriLepTwo""""";"Tham""""";"PriMac""""";"Spar""""";"Ljelly""""";"Cepha""""";"Argentin""""";"Shri""""";"SDemFish""""";"Strom""""";"SetTat""""";"ShaRay""""";"Saur""""";"LophLit""""";"PenArg""""";"Crab""""";"EngJap""""";"SPelaFish""""";"Zoopl""""";"Sphyr""""";"ScomberJap""""";"DecaMar""""";"Sard""""";"TriLepOne""""";"ChampCap""""";"MacroBenth""""";"MicroBenth""""";"ScoNiph""""";"NibAlb""""";"LarPoly""""";"TraJap""""";"AciSin""""";"LarCroOne""""";"Bird""""";"HarNeh""""";"Phyto""""";"Pleuron""""";"HetBaci""""";"Coilia""""";;SUM;;;
"HetBaci""""";283515,78;2799658,63;1977952,65;12810248,68;157026958;29270824,5;18840582,86;179225488,1;23099754,36;908118,55;37700886,53;66622723,58;68413179,81;8238471,93;135116,78;502176,65;1039769,94;25059114,85;220168384,5;356635692,6;611554529,9;939207440,1;4377158,47;11402187,15;29558081,89;122364969;27647498,39;40890496,66;7820070188;34865337482;2082659,8;356144,76;26065941,37;24201753,4;5661798,38;409531,35;1634,7;16093560,39;955332511,7;11720988,04;2437897494;2166983,6;;49165159652,80;0,01;;
"LarCroOne""""";1317,44;106610,2;253,5;37777,75;44018,46;406086,79;158922,99;7419810,04;152812,54;45214,78;9834,4;229667;8274954,29;830263,99;34,84;738,88;3738,39;44119,11;6398,66;753132,76;11760134,34;129341290,7;482,99;1031568,61;2974807,23;12389454,43;2779690,26;28253,22;1740823,77;52700,93;81758,33;56,48;374867,04;2318472,03;10668,27;19527,59;2275,41;44750,53;33437160,31;355,24;341276,12;75449,53;;217331530,19;0,00;;
"LarPoly""""";29125,2;2075078,86;33960,95;1730366,71;3675777,36;11943212;4896783,46;624817335,3;12619319,59;1611459,47;987986,54;5928538,19;193391413,9;23295627,88;2326,24;64332,8;243819,72;1522411,86;2527217,31;25279890,92;325463923,2;2160878931;66308,48;29607379,58;83474472,01;347630573,6;77996560,97;2597209,38;130412142,5;359344597,7;3338890,18;5980,9;10866946,74;64662192,73;796986,72;1049627,7;73203,02;1590557,4;2996426564;146332,71;60820529,87;6847306,39;;7580773200,46;0,00;;
"Ljelly""""";1995761,22;160687764,8;279461,24;38642897,42;37866309,58;527173704,1;203696063,6;1983664312;53438966,23;53075088,81;7970464,95;326269503,1;11611518145;1089993603;51651,17;269048,86;2573429,33;57052869,12;7354089,28;978606477;15651253921;1,97219E+11;635964,69;1342170907;3905228295;16265262093;3649223563;12024597,14;2288524171;90929191,95;89742757,98;63600,38;490927906,3;3052807290;5535487,06;16323582,08;2755859,66;56434213,92;5608629609;377458,14;328580061,5;11101149,79;;267229486664,06;0,04;;
"LophLit""""";1064,52;85076,96;907,21;25947,85;101233,68;222633,13;91896,76;2807377,45;76781,56;23031,41;27222,48;163506,88;4619986,72;433992,65;31,94;395,75;1486,67;35590,55;24962,2;398863,08;6422176;72052930,04;469,04;538121,41;1555006,87;6477172,42;1453227,98;34351,07;1094153,15;707705,49;54225,93;185,9;208988,34;1223873,1;7208,62;8972,12;918,19;30884,51;12393196,68;1811,4;2079539,88;27710,24;;115514817,82;0,00;;
"MacroBenth""""";233842,12;16548559,9;6111769,25;33044001,84;409552793,3;136334990,2;103121948,8;4993143646;399295382,3;14811344,45;224071247,1;456190843,8;1533399510;184850639;24748,66;698413,94;2188306,3;86974596,71;185706675,5;227112793,9;2621107398;17199057751;738231,02;235539747,3;662488593,5;2758324351;618902541,2;208578889,9;2821034523;5875201508;26841908,04;1092337,24;223563672,9;514230030;15579067,4;8355954,08;780451,49;100150015,3;24049876826;20444010,84;31280280754;54567955,07;;98310152568,96;0,01;;
"MarMamm""""";135,85;6104,59;235,78;5802,74;28088,6;29341,41;13444,87;2358626,9;49477,7;4342,94;7933,51;19241,48;366985,76;51194,32;9,78;255,15;1153,23;6180,49;5642,52;49065,6;717065,93;1630139,18;104,17;67385,51;183415,35;765513,71;171634,92;13782,42;126664,48;34422,75;11275,89;47,55;27044,82;142880,3;3257,03;3425,36;597,92;5444,11;11227311,82;461,72;614284,18;25561,37;;18774983,69;0,00;;
"MicroBenth""""";47662,27;464377,78;19396984,67;59315247,93;1211362848;131904229,8;211368598;148793223,2;1020331530;7014102,81;721306834,4;1371064587;35585193;4421617,16;12788,27;593986,97;1061558,24;243420735,9;508150278,4;16463768,42;75643271,38;825575735,3;388725,89;7401638,13;16185548,65;66325278,09;14858152,31;623906041,6;4406401131;2445841410;1054185,37;3425286,23;462014482,8;15972700,41;28584851,25;189723,35;654185,89;294539638,9;1017778595;63041821,31;1,04596E+11;1139120,17;;120679014122,57;0,02;;
"NibAlb""""";18,29;226,14;108,7;518,13;5570,12;1517,65;1056,01;28909,26;3460,49;109,73;2394,82;4775,3;10765,09;1323,81;6,02;25,63;77,46;1101,28;6904,42;10744,57;31024,85;142520,12;185,01;1727,16;4746,29;19829,09;4447,98;2393,28;227570,26;951468,4;194,43;16,94;2136,04;3737,34;209,14;56,48;1,39;1187,26;142306,35;461,6;296787,3;328,76;;1912948,37;0,00;;
"PenArg""""";5705,07;219337,62;18124,4;205017,59;855228,74;1292999,61;582347,31;62239493,59;1703774,33;165686,57;398402,92;1188516,26;19550919,17;2362353,44;1146,28;9811,95;35590,55;262783,67;1147294,7;3825142,45;34647447,88;222083472;34822,5;3009023,68;8464576,57;35267013,09;7912002,25;542356,04;43487298,35;162280490,6;333344,37;2643,07;1304924,45;6565699,08;92957,14;105885,86;6748,27;315934,86;298811641,7;77848,59;50118229,7;684231,75;;972218268,05;0,00;;
"Phyto""""";18136426,79;1458098279;2650068;344709648,7;335328306,3;4820870164;1860844914;10707383799;351722140,5;479697156,7;71726550,6;3016969168;1,06735E+11;9976677974;488568,36;1841957,6;21688094,19;522920373;70704744,06;8949731532;1,43139E+11;1,83056E+12;6032544,5;12273998934;35744603054;1,48878E+11;33401511430;89566866,44;21043642223;1187408361;787157778,2;597686,69;4494639846;27937809150;43067567,93;140436073,3;25271590,48;515962118,3;14448276682;3763943,25;3343663791;16770924,71;;2427827760710,87;0,34;;
"Pleuron""""";213,1;1990,08;3155,84;13626,81;211172,4;32538,01;32626,74;205886,26;115887,63;1487,89;93071,54;175059,32;76148,7;9391,06;91,15;400,9;905,7;38924,3;180937,56;217870,64;423273,41;1074675,6;2903,78;12722,39;33688,24;140200,05;31544,37;85990,05;5111002,71;21013940,44;1667,46;553,93;62714,02;27268,04;6258,33;426,29;60,94;39033,99;1075412,36;13212,08;11720988,04;2359,1;;42291281,23;0,00;;
"PriMac""""";29341,41;2167999,02;24108,36;1666260,87;2587682,45;12094333,72;4919677,32;623023468,5;12666264,65;1640814,46;824222,92;5893101,54;200923881;23982719,55;1538,69;61592,73;241185,89;1400749,58;940841,74;23248895,32;331511360,4;2295157239;40247,08;30445787,85;85936654,7;357907983,8;80299539,62;2403004,45;73848119,71;95264165,96;3377728,44;3945,89;11090125,42;66583407,3;757365,46;1055825,66;74777,31;1568886,04;2984348197;70499,03;63420119,74;6818962,63;;7410322621,82;0,00;;
"Sard""""";353314,02;29013468,55;108935,34;22861566,66;29458673,49;165188300,2;66409597,16;8871961142;172235344,7;22736936,71;6629178,52;70274384,77;2732384744;329313522,1;8842,67;825042,26;3238586,21;17633506,55;2626946,46;306762877,7;4529764345;30415867452;174112,07;418400858,1;1180021249;4914097997;1102545953;29358627,18;689581087,6;22108426,03;47235643,41;23794,91;148984531,5;913825159,4;10566149,48;14867345,31;1045683,73;19131465,65;42536694768;140200,05;122364969;97191722,54;;100064016448,37;0,01;;
"Saur""""";196,27;13994,07;273,39;6095,77;22998,12;47379,03;19853,86;244589,87;13749,72;4610,4;7939,1;40708,28;968848,07;92052,3;14,5;78,44;329,79;8176,63;7820,07;85796,5;1318629,18;16379041,33;231,98;114206,48;329939,19;1375070,43;308445,95;8505,41;291005,81;329992,76;8036,26;51,26;45952;257823,89;1327,38;1477,77;245,2;7662,21;877122,67;668,17;836961,08;1818,93;;24079719,49;0,00;;
"ScomberJap""""";77752,51;6402579,45;23888,15;4819562,18;6203454,66;35129755,21;14109560,91;1830233055;35589389,96;4792919,4;1404281,46;15201899,95;587404934,8;70096302,37;2067,82;171309,71;672651,76;3761279,6;581980,68;65233919,15;966024492,2;6681065007;39075,45;88970571,17;251176209,6;1046002145;234685283,9;6091139,74;147212342,1;6168031,78;9950693,89;5181,47;31722192,4;194593226,7;2188245,21;3094705,84;222197,54;4067463,45;8767142096;31805,98;28505467,88;20027497;;21170897615,56;0,00;;
"ScoNiph""""";13010,64;776666,55;2550,51;340276,49;478534,49;3897378,96;1538334,11;122376488,2;2407805,39;470088,82;118257,67;2024782,12;73744209,96;7904972,59;496,2;12054,39;67782,42;416680,47;60876,72;7239589,01;110251695,4;1057558828;3811,65;9950693,89;28320598,47;118089108,5;26478460,91;421483,25;16776192,53;878487,81;829316,37;583,28;3577382,33;22021760,06;148298,49;245274,98;40103,83;437163,61;562255555,8;4168,65;5206649,51;1274750,55;;2188661203,39;0,00;;
"SDemFish""""";37002,84;1352810;144925,47;2252791,57;10397523,54;11332887,58;5111022,22;741521597,9;16811784,25;1554659,47;3180509,39;8338759,99;142234058,6;19619076,13;9402,87;101770,69;340639,34;2476075,55;12549711,57;37626257,63;291468680,8;1058950234;300945,51;25336499,92;70304552,16;292809936,5;65699795,95;5139166,1;475198795,6;1904256371;3374636,86;23876,51;10586675,34;54321327,44;1127055,04;1148335,01;63819,31;2433170,98;3591629962;729413,82;277594681,6;8225584,44;;9157716782,79;0,00;;
"SerLal""""";6104,59;11223,28;2618,86;267273,89;588178,25;2167999,02;896589,36;189903722;3617314,65;348453,93;148237,71;703461,2;27368611,84;4197667,95;485,55;18192,3;92166,71;237615,75;53368,73;4004978,44;55172441,94;131212043,4;1730,16;5548902,19;15037108,64;62862515,19;14078590,3;628261,64;8963803,28;335383,95;673111,01;587,95;1926858,94;11570958,11;207434,59;277186,51;43451,49;268868,84;902632268,2;4311,83;6065927,03;2060064,56;;1454206073,73;0,00;;
"SetTat""""";39380,25;3228975,34;12111,59;2543527,09;3284073,26;18448245,81;7416765,1;990903275,3;19237472,26;2539453,67;739710,54;7847630,45;305151645,3;36781079,69;970,57;92052,3;361660,54;1968627,87;292404,13;34262054,33;505894285,9;3396982962;19213,99;46730868,25;131796016,7;548855870,1;123143291,9;3277735,19;77021099,59;2456453,98;5269981,73;2647,62;16639734,2;102063605,6;1179044,65;1660527,99;116643,07;2136370,93;4750799035;15651,77;13730786,56;10855300,3;;11175798243,06;0,00;;
"ShaRay""""";3,76;186,75;33,21;261,78;2708,78;591,8;459,11;23477,81;1523,61;50,89;1005,92;1880,57;3669,38;485,28;0,58;7,25;13,31;477,62;762,68;473,6;7192,99;11211,03;13,53;689,27;1746,39;7368,89;1646,46;1043,47;5155,97;3552,3;165,4;6,02;830,8;1403,71;106,56;34,84;2,68;407,83;116325,8;75,96;112597,32;262,92;;309913,82;0,00;;
"Shri""""";13425,95;250863,82;66350,67;338465,86;3714883,65;1394838,78;784950,36;15940929,9;1638356;103011,82;1296855,03;2798848,26;15663410,59;1627363,18;4426,06;17466,01;49907,88;730405,36;5762898,99;10311610,1;35208069,56;246752283,9;139696,73;2059612,81;5830149,34;24306987,89;5454866,28;1346384,79;205398643,1;881597242,1;173444,59;10537,21;1552550,28;4582285,37;139789,03;43271,37;2513,2;692428,06;75142100,63;341262,3;138236583,9;173423,67;;1691693394,37;0,00;;
"Spar""""";10342,21;689684,12;13339,78;523219,47;1071300,52;3784367,17;1555291,27;185178239,7;3888967,83;502497,86;356795,62;2044408,89;62785461,95;7416765,1;918,21;19853,86;76580,64;485289,42;847209,3;8062029,84;103905385,7;735946062;26157,67;9406373,94;26575691,16;110682661,9;24832861,42;823858,2;42967478,66;117426998,9;1025556,07;2112,03;3497702,47;20600860,12;235189,97;317845,98;22730,17;536163,3;886116625,7;54377,9;31400971,43;2024750,12;;2397740977,45;0,00;;
"SPelaFish""""";386112,42;29708237,97;219066,74;24811970,45;38513102,03;178506117,1;72733769,96;9959888859;198353742,2;24806020,58;11202567,59;81611230,61;2900845594;354126000,1;10070,18;923040,42;3746269,33;20211011,26;5488316,18;330400469,6;4861111422;31324943440;176269,15;450811429,7;1268887971;5284725069;1185659107;36073204,05;764489657,8;29416827,76;51450791,2;43434,79;162731961,6;982278297,9;11885436,58;16464188,08;1298357,65;22242558,41;47712847182;493818,98;713480284,9;108995046,6;;109226997323,47;0,02;;
"Sphyr""""";16,03;266,18;385,77;2409,79;33069,97;6191,86;5231,53;115629,94;15977,63;385,71;12699,7;24075,64;28898,16;3842,8;5,41;46,4;78,17;5803,75;9613,67;3659,4;50362,61;310636,17;82,83;5210,06;13771,45;58037,36;13017,36;12425,84;61519,25;43191,77;508,22;74;9472,64;10810,92;1146,64;193,19;10,8;4995,39;574528,05;967,93;1459052,82;1282,1;;2899584,90;0,00;;
"Strom""""";225837,39;16842222,67;79322,53;18843264,89;25076396,86;123645465,3;50228369,56;8444740469;162491096,3;18348962,76;5695785,67;45514898,77;1853820522;244121316,2;5871,01;775078,45;3079991,15;13033946,11;1888752,93;229897426,2;3315252108;16053916774;115592,65;313282631,9;874738778,1;3643179658;817364206,1;27296847,16;511133170;15815641,34;39330245,31;17224,15;110509379,4;675602363;9757547,64;13239926,87;969927,06;14575078,42;40660948868;101531,6;91217573,08;92983434,14;;78539703500,56;0,01;;
"Tham""""";21606,61;452444,8;83843,38;264211,91;2302455,34;1990524,96;1071300,52;34423917,8;3370856,02;200898,74;1688583,48;4159009,42;31345496,07;3284073,26;5417,55;22998,12;84361,4;712690,62;4796521,6;9746702,94;55018717,18;487512542,5;165349,85;4135636,44;11763284,93;49097789,16;11009935,29;1661015,16;170646997,2;672979360,3;319022,99;11140,23;2625555,26;9212467,37;96506,79;88036,92;5020,76;1067905,87;159680145,9;351953,99;261711596,7;371730,61;;1999559625,87;0,00;;
"TraJap""""";142880,3;11570958,11;44719,32;9231192,12;11976207,59;66583407,3;26781118,15;3607863161;70017523,47;9186461,56;2707714,08;28247090,27;1097853840;132682687,3;3649,66;335171,06;1325862,52;7112840,66;1088086,05;123664829,3;1824231125;12144724978;70270,95;168647463,1;475436434,9;1979954512;444227025,4;11944232;278541266,2;11535839,19;19085525,38;9717,09;60043464,68;368149995,2;4293285,82;6028027,27;434976,58;7723913,06;17294834236;59080,76;52437132,37;39514917,37;;40400346816,79;0,01;;
"TriLepOne""""";118824,18;9746716,36;36668,38;7676314,29;9908941,76;55591988,97;22349575,28;2985728369;57966491,71;7651909,83;2231536,2;23651926,54;919534731,9;110828962,7;2963,62;277601,36;1089920,99;5934001,68;883826,41;103238997,2;1524418852;10236297098;58578,12;140811170,3;397129488,1;1653818929;371056829,9;9880183,7;232088453;7429076,16;15887076,55;8006,36;50140646,34;307541786,9;3553887,37;5003442,47;351669,96;6438983,64;14314933470;47316,56;41471247,59;32708507,58;;33675524968,53;0,00;;
"TriLepTwo""""";12051,84;555107,3;18472,54;257207,25;713372,16;3460695,66;1412692,56;94850748,21;2499482,46;404531,87;415389,92;2433014,9;63596019,01;6867523,15;1413,59;16458,57;58382,66;461289,57;743126,24;7162960,52;95703314,61;940646929;32532,22;8675211,92;24615368,77;102877050;23028942,86;663068,69;37174502,07;88972871,9;612497,69;2797,9;3337135,79;19172475,94;121135,17;203999,84;11686,41;552572,94;443198119,7;61320,64;57646119,07;1014187,82;;2034263780,88;0,00;;
"Zoopl""""";3761859,64;302797023,3;4060518,09;1045163254;1462537628;5296516705;2207838186;5,37869E+11;10296103095;916757785,1;336480387,1;1270740281;60202187901;10190948887;67266,15;49137123,98;180132325,1;555208679,9;95617047,88;9856065603;1,3425E+11;15021803292;4659542,57;13362130014;36520556172;1,52079E+11;34120990326;1722512474;21498822189;1375959559;2115117656;855120,75;4630454851;28026288410;607496599,5;776047744,2;40737316,49;657234858,7;2,61508E+12;5373378,02;4696037201;5991477248;;3714730052420,78;0,52;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7193787300224,60;1,00;;
