TI3;"MarMamm""""";"SerLal""""";"Bran""""";"TriLepTwo""""";"Tham""""";"PriMac""""";"Spar""""";"Ljelly""""";"Cepha""""";"Argentin""""";"Shri""""";"SDemFish""""";"Strom""""";"SetTat""""";"ShaRay""""";"Saur""""";"LophLit""""";"PenArg""""";"Crab""""";"EngJap""""";"SPelaFish""""";"Zoopl""""";"Sphyr""""";"ScomberJap""""";"DecaMar""""";"Sard""""";"TriLepOne""""";"ChampCap""""";"MacroBenth""""";"MicroBenth""""";"ScoNiph""""";"NibAlb""""";"LarPoly""""";"TraJap""""";"AciSin""""";"LarCroOne""""";"Bird""""";"HarNeh""""";"Phyto""""";"Pleuron""""";"HetBaci""""";"Coilia""""";;SUM;;;
"LophLit""""";0,02;0,04;0,05;0,03;0,05;0,01;0,02;0,02;0,01;0,01;0,03;0,03;0,06;0,01;0,02;0,01;0,03;0,04;0,03;0,03;0,06;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,02;;0,95;0,022619048;;
"MacroBenth""""";0,03;0,02;0,07;0,04;0,06;0,06;0,06;0,02;0,05;0,07;0,05;0,05;0,02;0,03;0,03;0,06;0,03;0,06;0,06;0,03;0,02;0,04;0,03;0,03;0,03;0,02;0,03;0,06;0,04;0,06;0,05;0,1;0,06;0,06;0,06;0,03;0,02;0,07;0,04;0,1;0,09;0,03;;1,96;0,046666667;;
"MarMamm""""";0,03;0,04;0,05;0,03;0,05;0,04;0,05;0,05;0,03;0,05;0,03;0,03;0,06;0,05;0,03;0,02;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,02;;1,05;0,025;;
"MicroBenth""""";0,02;0,02;0,06;0,02;0,06;0,05;0,06;0,01;0,04;0,06;0,04;0,04;0,01;0,02;0,02;0,02;0,02;0,05;0,05;0,02;0,02;0,02;0,03;0,04;0,01;0,01;0,02;0,05;0,05;0,04;0,01;0,09;0,05;0,02;0,02;0,02;0,01;0,06;0,02;0,09;0,09;0,02;;1,50;0,035714286;;
"NibAlb""""";0,01;0;0,01;0,02;0,01;0,01;0,01;0;0,01;0,01;0,02;0,02;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0;0;0;0,01;0,02;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;;0,35;0,008333333;;
"PenArg""""";0,02;0,01;0,02;0,03;0,02;0,02;0,02;0,01;0,03;0,02;0,03;0,03;0,02;0,05;0,01;0,01;0,04;0,02;0,03;0,03;0,02;0,03;0,02;0,02;0,01;0,01;0,01;0,02;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;;0,87;0,020714286;;
"Phyto""""";0,03;0,03;0,02;0,03;0,02;0,05;0,05;0,06;0,04;0,06;0,03;0,04;0,07;0,06;0,02;0,02;0,02;0,05;0,02;0,05;0,08;0,04;0,03;0,05;0,06;0,08;0,07;0,03;0,04;0,02;0,04;0,02;0,05;0,05;0,03;0,09;0,04;0,07;0,04;0,02;0,02;0,02;;1,74;0,041428571;;
"Pleuron""""";0,01;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,02;0,02;0;0;0;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0;0;0;0,01;0,02;0,03;0;0,02;0,01;0,01;0,01;0,01;0;0,01;0;0,03;0,07;0,01;;0,47;0,011190476;;
"PriMac""""";0,04;0,02;0,02;0,03;0,02;0,03;0,02;0,01;0,03;0,02;0,02;0,03;0,01;0,02;0,01;0,02;0,01;0,02;0,03;0,03;0,01;0,03;0,02;0,02;0,02;0,01;0,06;0,05;0,03;0,04;0,02;0,02;0,04;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,02;0,01;;0,95;0,022619048;;
"Sard""""";0,01;0,04;0;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0;0,01;0,04;0,02;0,01;0,01;0,01;0;0,03;0;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0;0;0,01;;0,44;0,01047619;;
"Saur""""";0,01;0,04;0,01;0,02;0,02;0,01;0,02;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,09;0,03;0,01;0,01;0,01;0,03;0,01;0,02;0,02;0,04;0,01;0,01;0,02;0,04;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,78;0,018571429;;
"ScomberJap""""";0,02;0,05;0,01;0,03;0,02;0,02;0,02;0,02;0,04;0,02;0,03;0,03;0,02;0,02;0,02;0,05;0,02;0,02;0,03;0,04;0,07;0,03;0,02;0,03;0,02;0,02;0,06;0,02;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,07;0,02;0,03;0,02;0,02;0,02;;1,18;0,028095238;;
"ScoNiph""""";0,02;0,02;0,01;0,03;0,01;0,02;0,01;0,05;0,03;0,02;0,02;0,03;0,02;0,05;0,01;0,02;0,01;0,02;0,02;0,04;0,02;0,03;0,02;0,04;0,05;0,08;0,02;0,02;0,03;0,01;0,04;0,02;0,04;0,05;0,06;0,09;0,03;0,02;0,03;0,01;0,01;0,02;;1,20;0,028571429;;
"SDemFish""""";0,06;0,06;0,07;0,04;0,07;0,06;0,03;0,03;0,06;0,03;0,05;0,05;0,03;0,03;0,04;0,07;0,06;0,06;0,03;0,03;0,02;0,04;0,2;0,05;0,03;0,03;0,03;0,06;0,05;0,06;0,05;0,1;0,06;0,05;0,02;0,1;0,02;0,07;0,04;0,09;0,03;0,03;;2,16;0,051428571;;
"SerLal""""";0,04;0,04;0,02;0,03;0,06;0,02;0,02;0,05;0,04;0,01;0,01;0,03;0,02;0,01;0,1;0,06;0,04;0,01;0,01;0,02;0,02;0,02;0,02;0,04;0,05;0,08;0,06;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;1,09;0,025952381;;
"SetTat""""";0,04;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,03;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,03;0,01;0,04;0,02;0,02;0,02;0,06;0,01;0,03;0,01;0,01;0,02;;0,77;0,018333333;;
"ShaRay""""";0,01;0,04;0,01;0,01;0,04;0,01;0,04;0,01;0,02;0,01;0;0,01;0;0;0,03;0,04;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;;0,41;0,009761905;;
"Shri""""";0,05;0,02;0,06;0,04;0,03;0,03;0,03;0,02;0,04;0,03;0,05;0,04;0,07;0,06;0,02;0,02;0,06;0,06;0,05;0,02;0,02;0,04;0,03;0,04;0,05;0,02;0,02;0,02;0,04;0,05;0,03;0,1;0,05;0,05;0,07;0,09;0,03;0,02;0,03;0,09;0,03;0,2;;1,93;0,045952381;;
"Spar""""";0,04;0,02;0,05;0,02;0,02;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,08;0,02;0,01;0,01;0,03;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,01;;0,77;0,018333333;;
"SPelaFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0,04;0,01;0,01;0,02;0,03;0,02;0;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,06;0,01;0,03;0,01;0,07;0,01;;0,60;0,014285714;;
"Sphyr""""";0;0;0;0;0;0;0;0;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,15;0,003571429;;
"Strom""""";0,04;0,01;0,01;0,02;0,01;0,01;0,01;0,04;0,01;0,01;0,03;0,01;0,03;0,02;0,01;0,01;0,04;0,01;0,01;0,01;0,02;0,02;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,06;0,01;0,03;0;0,01;0,02;;0,63;0,015;;
"Tham""""";0,04;0,04;0,05;0,01;0,03;0,01;0,02;0,01;0,02;0,01;0,01;0,03;0,01;0,01;0,09;0,02;0,04;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,02;0,01;0,01;;0,80;0,019047619;;
"TraJap""""";0,02;0,01;0,01;0,03;0,01;0,01;0,02;0,05;0,01;0,06;0,03;0,03;0,02;0,02;0,01;0,01;0,02;0,02;0,03;0,04;0,02;0,03;0,01;0,02;0,02;0,02;0,01;0,01;0,03;0,01;0,04;0,02;0,02;0,03;0,06;0,02;0,07;0,01;0,03;0,02;0,02;0,02;;1,00;0,023809524;;
"TriLepOne""""";0,01;0,04;0,01;0,02;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,04;0,02;0,03;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,03;0;0,01;0,01;;0,68;0,016190476;;
"TriLepTwo""""";0,06;0,07;0,07;0,04;0,04;0,06;0,06;0,06;0,05;0,03;0,05;0,05;0,08;0,07;0,04;0,07;0,06;0,06;0,05;0,05;0,03;0,05;0,03;0,05;0,06;0,09;0,07;0,06;0,05;0,03;0,06;0,1;0,06;0,06;0,03;0,03;0,03;0,03;0,04;0,03;0,02;0,03;;2,17;0,051666667;;
"Zoopl""""";0,04;0,04;0,03;0,05;0,06;0,06;0,06;0,07;0,05;0,07;0,06;0,05;0,08;0,07;0,04;0,07;0,06;0,06;0,04;0,06;0,08;0,05;0,03;0,06;0,07;0,09;0,08;0,07;0,05;0,03;0,07;0,03;0,06;0,06;0,07;0,11;0,05;0,08;0,06;0,03;0,03;0,2;;2,59;0,061666667;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,00;1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"MarMamm""""";"SerLal""""";"Bran""""";"TriLepTwo""""";"Tham""""";"PriMac""""";"Spar""""";"Ljelly""""";"Cepha""""";"Argentin""""";"Shri""""";"SDemFish""""";"Strom""""";"SetTat""""";"ShaRay""""";"Saur""""";"LophLit""""";"PenArg""""";"Crab""""";"EngJap""""";"SPelaFish""""";"Zoopl""""";"Sphyr""""";"ScomberJap""""";"DecaMar""""";"Sard""""";"TriLepOne""""";"ChampCap""""";"MacroBenth""""";"MicroBenth""""";"ScoNiph""""";"NibAlb""""";"LarPoly""""";"TraJap""""";"AciSin""""";"LarCroOne""""";"Bird""""";"HarNeh""""";"Phyto""""";"Pleuron""""";"HetBaci""""";"Coilia""""";;SUM;;;
"AciSin""""";2254,86;143608,56;2693,31;40378,39;86856,11;524329,93;211670,98;4529034,87;186845,67;54311,77;57186,42;405739,81;10977241,09;1061140,19;191,81;1194,64;5406,46;69717,86;116343;1099142,42;15281275,6;182248979,8;5159,88;1312947,13;3802601,41;15849224,21;3553887,37;65053,24;5842150,27;14292425,62;88979,09;376,45;512348,61;2972274,8;8800,71;19202,88;2341,88;82133,84;18457529,11;9387,49;8492697,57;41157,59;;292516222,73;0,00;;35346558,07
"Argentin""""";3006,65;241237,33;958,14;134843,96;180808,86;1135948,48;452248,07;43425072,66;858060,51;143137,92;42141,2;559677,41;20642583,11;2285508,3;91,59;4149,36;17273,56;124264,93;39577,02;2138009,5;31893455,04;275027335,5;1735,67;2875751,64;8189253,92;34105405,06;7651909,83;152733,48;5554254,17;3507051,41;282053,29;197,51;1035938,23;6359858,01;54311,77;81386,6;6847,07;130608,77;205584495,7;2231,84;1362177,83;468595,07;;656756185,99;0,00;;35346558,07
"Bird""""";321,95;23396,96;18,73;3029,81;3514,53;40264,71;15911,12;1753728,87;34773,03;5325,5;799,65;17869,41;848686,17;81650,15;3,76;171,64;535,61;3936,49;1423,55;78520,9;1298357,65;9505373,85;37,79;103692,19;292402,14;1219964,35;273521,08;5347,67;227631,69;254405,62;18715,12;1,95;36601,51;234218,16;1821,46;3185,58;11,24;4417,74;8423863,49;71,1;1907,15;19345,72;;24838776,78;0,00;;
"Bran""""";181,37;2014,51;1289,32;6841,68;83843,38;18544,89;13339,78;254055,67;36090,2;1064,6;30159,39;57970,19;99153,16;12111,59;66,41;273,39;756,01;15103,67;81167,31;118708,33;312952,48;1353506,03;1928,85;15925,43;43434,14;181558,89;40742,65;30403,74;2546570,52;10776102,59;1700,34;217,39;24257,82;34399,47;2992,56;507;26,76;13606,24;1261937,14;5259,73;3296587,74;2882,2;;20780234,57;0,00;;
"Cepha""""";76119,53;5565099,46;72180,39;1851468,49;6741712,04;19486561;7777935,66;97161756,78;2875487,63;1906801,13;1489414,54;13449427,4;406227740,7;38474944,52;6094,45;27499,43;127969,26;2839623,88;7397991,78;45888114,18;566724977,8;6864068730;159776,31;47452519,95;137853091,4;574117815,6;128814426;1807869,8;332746151,9;1133701700;3210407,19;13841,94;18027599,41;107719266,9;415212,6;611250,17;99351,52;2476841,35;334973467,1;386292,09;76999181,19;703922,51;;10992527634,98;0,00;;
"ChampCap""""";11662,04;531606;33444,11;270139,1;1827116,68;2033311,46;906244,02;12024597,14;994328,39;186674,25;673192,4;2261233,08;37533164,84;3605508,71;2295,63;9355,95;31488,48;497159,71;2573398,5;7060682,52;56686463,5;631587907,1;68342,1;4466835,81;12918541,04;53824149,83;12075780,08;699468,96;95598657,85;381275914,3;309087,72;5265,22;2040664,51;10106657,84;79509,52;62157,08;8403,48;497938,53;46915977,66;157648,42;74965910,55;103370,1;;1457521254,21;0,00;;
"Coilia""""";3932,52;316933,01;576,44;75125,02;74346,12;1049071,17;404950,02;2018390,87;70392,25;104132,24;15765,79;658046,75;23245858,53;2171060,06;105,17;363,79;4618,37;114038,62;14954,38;1945757,25;31141441,9;399431816,6;1282,1;2670332,93;7778510,31;32397240,85;7268557,24;18794,56;4547329,59;126568,91;169966,74;131,5;978186,63;6079218,06;9146,13;30179,81;5527,35;112233,99;1597230,92;786,37;722327,87;69,32;;527375298,03;0,00;;
"Crab""""";8680,8;82105,74;162334,62;550463,88;9593043,2;1447448,83;1694418,61;13371071,42;7397991,78;87948,93;5238999,08;10039769,26;4721882,33;584808,25;3050,71;15640,15;41603,67;1912157,84;6705779,02;6126746,68;15680903,38;63744698,59;96136,71;775974,24;2096925,42;8756488,19;1964058,69;4678906,36;154755562,9;564611420,4;81168,95;27617,67;3610310,44;1673978,54;258539,99;25594,65;4067,28;2234985,74;67337851,48;603125,19;733894615,1;149543,85;;1696848418,56;0,00;;
"DecaMar""""";169306,47;13880407,97;52120,97;10940163,9;14115941,91;79326142,8;31890829,39;4260249049;82711854,85;10919005,23;3180081,46;33746185,04;1312108167;158155220,1;4191,34;395927,02;1555006,87;8464576,57;1258155,25;147325397,1;2175236521;14608222469;82628,69;200940967,7;566711461,8;2360042498;529505984,1;14092953,86;331244296,8;10790365,77;22656478,78;11391,1;71549547,43;438864401,4;5070135,21;7139537,35;501260,81;9186165,04;20425487459;67376,49;59116163,79;46671061,88;;48053638855,70;0,01;;
"EngJap""""";67936,98;5545354,77;213674,99;4775307,01;17544065,29;32190778,14;14511653,72;1601356053;41299302,76;4276019;8436771,9;27090905,5;517269209;61671697,8;1704,96;154433,71;598294,61;5737713,67;5514072,01;57366578,81;849601207,5;5913639362;32934,59;78280702,98;220988095,7;920288633;206477994,4;11553844,13;170334595,4;16463768,42;8687506,81;38680,44;32502716,9;171228225,2;2198284,83;2711277,93;201910,87;6510399,82;7671198456;653611,91;1069907078;17511815,26;;19776632630,04;0,00;;
"HarNeh""""";3769;186139,97;12245,62;184190,98;961115,28;1086151,87;482546,97;46173447,75;1114578,61;130608,77;283266,02;875941,55;16396963,22;1922733,83;734,09;6895,99;23163,38;236951,15;1005743,58;3255199,91;28597575,1;197170457,6;22479,24;2440478,07;6889623,78;28697198,48;6438983,64;407404,25;37556255,73;147269819,5;262298,17;2137,06;1022501,18;5347324,43;82133,84;80550,96;5679,95;217093,15;221126622,1;58550,98;24140340,58;505052,94;;782682948,31;0,00;;
