TI3;"MarMamm""""";"SerLal""""";"Bran""""";"TriLepTwo""""";"Tham""""";"PriMac""""";"Spar""""";"Ljelly""""";"Cepha""""";"Argentin""""";"Shri""""";"SDemFish""""";"Strom""""";"SetTat""""";"ShaRay""""";"Saur""""";"LophLit""""";"PenArg""""";"Crab""""";"EngJap""""";"SPelaFish""""";"Zoopl""""";"Sphyr""""";"ScomberJap""""";"DecaMar""""";"Sard""""";"TriLepOne""""";"ChampCap""""";"MacroBenth""""";"MicroBenth""""";"ScoNiph""""";"NibAlb""""";"LarPoly""""";"TraJap""""";"AciSin""""";"LarCroOne""""";"Bird""""";"HarNeh""""";"Phyto""""";"Pleuron""""";"HetBaci""""";"Coilia""""";;SUM;
"Saur""""";0,01;0,04;0,01;0,02;0,02;0,01;0,02;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,09;0,03;0,01;0,01;0,01;0,03;0,01;0,02;0,02;0,04;0,01;0,01;0,02;0,04;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,78;
"LophLit""""";0,02;0,04;0,05;0,03;0,05;0,01;0,02;0,02;0,01;0,01;0,03;0,03;0,06;0,01;0,02;0,01;0,03;0,04;0,03;0,03;0,06;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,02;;0,95;
"PenArg""""";0,02;0,01;0,02;0,03;0,02;0,02;0,02;0,01;0,03;0,02;0,03;0,03;0,02;0,05;0,01;0,01;0,04;0,02;0,03;0,03;0,02;0,03;0,02;0,02;0,01;0,01;0,01;0,02;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;;0,87;
"Crab""""";0,03;0,02;0,06;0,04;0,06;0,05;0,06;0,02;0,04;0,06;0,04;0,03;0,02;0,02;0,03;0,02;0,05;0,05;0,04;0,03;0,03;0,02;0,02;0,04;0,05;0,02;0,02;0,05;0,05;0,05;0,02;0,03;0,05;0,05;0,06;0,02;0,02;0,02;0,02;0,09;0,09;0,02;;1,62;
"EngJap""""";0,02;0,02;0,02;0,03;0,02;0,04;0,05;0,05;0,02;0,02;0,02;0,02;0,03;0,03;0,02;0,05;0,05;0,05;0,02;0,04;0,04;0,04;0,01;0,05;0,05;0,03;0,03;0,02;0,02;0,02;0,05;0,01;0,05;0,05;0,07;0,02;0,08;0,06;0,04;0,02;0,07;0,02;;1,46;
"SPelaFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0,04;0,01;0,01;0,02;0,03;0,02;0;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,06;0,01;0,03;0,01;0,07;0,01;;0,6;
"Zoopl""""";0,04;0,04;0,03;0,05;0,06;0,06;0,06;0,07;0,05;0,07;0,06;0,05;0,08;0,07;0,04;0,07;0,06;0,06;0,04;0,06;0,08;0,05;0,03;0,06;0,07;0,09;0,08;0,07;0,05;0,03;0,07;0,03;0,06;0,06;0,07;0,11;0,05;0,08;0,06;0,03;0,03;0,2;;2,59;
"Sphyr""""";0;0;0;0;0;0;0;0;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,15;
"ScomberJap""""";0,02;0,05;0,01;0,03;0,02;0,02;0,02;0,02;0,04;0,02;0,03;0,03;0,02;0,02;0,02;0,05;0,02;0,02;0,03;0,04;0,07;0,03;0,02;0,03;0,02;0,02;0,06;0,02;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,07;0,02;0,03;0,02;0,02;0,02;;1,18;
"DecaMar""""";0,01;0,04;0,01;0,03;0,01;0,02;0,01;0,02;0,03;0,01;0,03;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,03;0,03;0,01;0,03;0,01;0,02;0,03;0,08;0,05;0,01;0,01;0,01;0,04;0,01;0,02;0,02;0,06;0,02;0,02;0,02;0,03;0,01;0,01;0,02;;0,93;
