TI3;"MarMamm""""";"SerLal""""";"Bran""""";"TriLepTwo""""";"Tham""""";"PriMac""""";"Spar""""";"Ljelly""""";"Cepha""""";"Argentin""""";"Shri""""";"SDemFish""""";"Strom""""";"SetTat""""";"ShaRay""""";"Saur""""";"LophLit""""";"PenArg""""";"Crab""""";"EngJap""""";"SPelaFish""""";"Zoopl""""";"Sphyr""""";"ScomberJap""""";"DecaMar""""";"Sard""""";"TriLepOne""""";"ChampCap""""";"MacroBenth""""";"MicroBenth""""";"ScoNiph""""";"NibAlb""""";"LarPoly""""";"TraJap""""";"AciSin""""";"LarCroOne""""";"Bird""""";"HarNeh""""";"Phyto""""";"Pleuron""""";"HetBaci""""";"Coilia""""";;SUM;
"Saur""""";0,02;0,05;0;0,06;0,02;0,02;0,01;0,01;0,05;0;0,02;0,06;0;0,01;0,02;0;0,01;0,01;0,04;0,01;0,01;0,06;0;0,04;0,02;0,01;0,04;0;0,04;0,04;0,02;0;0,01;0;0;0;0,01;0,01;0,02;0;0;0;;0,77;0,011705686
"ScomberJap""""";0,05;0,07;0,02;0,17;0,02;0,07;0,01;0,06;0,13;0;0,11;0,14;0,01;0,02;0,02;0,04;0,06;0,06;0,07;0,1;0,04;0,18;0;0;0,07;0,02;0,02;0,04;0,12;0,07;0,07;0;0,1;0,07;0,04;0;0,05;0,02;0,11;0,01;0,01;0;;2,27;0,034508969
"ScoNiph""""";0,05;0,07;0;0,18;0;0,04;0;0,05;0,1;0,02;0,14;0,12;0,01;0,02;0;0,02;0,01;0,04;0,08;0,12;0,02;0,18;0;0,07;0,07;0,02;0,02;0,01;0,12;0,05;0;0;0,06;0,06;0,05;0;0,06;0,01;0,15;0;0;0;;2,04;0,031012466
"SDemFish""""";0,13;0,12;0,07;0,38;0,08;0,11;0,05;0,07;0,25;0,02;0,26;0;0,02;0,06;0,06;0,06;0,08;0,07;0,23;0,17;0,04;0,39;0;0,14;0,06;0,02;0,06;0,07;0,32;0,23;0,12;0;0,13;0,07;0,02;0;0,04;0,05;0,2;0,02;0,02;0;;4,31;0,065521435
"SerLal""""";0,07;0;0,04;0,15;0,06;0,04;0,02;0,04;0,11;0,02;0,07;0,12;0,04;0,01;0,05;0,05;0,04;0,02;0,07;0,07;0,04;0,15;0;0,07;0,06;0,02;0,04;0,02;0,06;0,04;0,07;0;0,01;0,01;0,01;0;0,01;0,01;0,07;0;0;0;;1,79;0,027211919
"SetTat""""";0,01;0,01;0,01;0,07;0,01;0,04;0,01;0,02;0,05;0,01;0,06;0,06;0,02;0;0;0,01;0,01;0;0,04;0,05;0,01;0,07;0;0,02;0,01;0,01;0,01;0;0,05;0,04;0,02;0;0,01;0,02;0,02;0;0,01;0,02;0,05;0;0;0;;0,89;0,013529948
"ShaRay""""";0,04;0,05;0,02;0,06;0,04;0;0,01;0,01;0,05;0;0;0,06;0;0;0;0,02;0,02;0;0,02;0,02;0;0,06;0;0,02;0,01;0,01;0,01;0,01;0,05;0,02;0;0;0;0;0;0;0;0;0,01;0;0;0;;0,64;0,009729401
"Shri""""";0,08;0,07;0,05;0,29;0,05;0,07;0,04;0,05;0,17;0,02;0;0,26;0,04;0,06;0;0,02;0,07;0,07;0,19;0,14;0,05;0,3;0;0,11;0,05;0,02;0,02;0,02;0,21;0,15;0,14;0;0,1;0,07;0,05;0;0,07;0,02;0,17;0,02;0,02;0;;3,35;0,050927334
"Spar""""";0,02;0,02;0,02;0,05;0,05;0,02;0;0,01;0,04;0,01;0,04;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0;0;0,05;0;0,01;0;0;0;0,01;0,04;0,02;0;0;0,01;0;0;0;0;0,01;0;0,01;0;0;;0,6;0,009121313
"SPelaFish""""";0,01;0,04;0,01;0,05;0,01;0;0;0,02;0,01;0,01;0,05;0,04;0,04;0,01;0;0,01;0,02;0,01;0,04;0,07;0;0,07;0;0,04;0;0;0,01;0;0,01;0,02;0,02;0;0;0,02;0,01;0;0,04;0;0,05;0,01;0,02;0;;0,79;0,012009729
"Sphyr""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Strom""""";0,02;0,04;0,02;0,05;0,02;0,01;0,01;0,02;0,01;0,02;0,04;0,02;0;0,02;0;0;0,01;0,01;0,01;0,04;0,04;0,05;0;0,01;0;0;0;0;0;0;0,01;0;0;0,02;0,01;0;0,01;0;0,02;0;0;0;;0,57;0,008665248
"Tham""""";0,05;0,06;0,05;0,08;0;0,02;0,05;0,02;0,06;0,01;0,05;0,08;0,02;0,01;0,04;0,02;0,05;0,02;0,05;0,01;0,01;0,08;0;0,02;0,01;0,01;0,01;0,01;0,05;0,04;0;0;0,01;0;0;0;0;0,01;0;0,01;0;0;;1,05;0,015962299
"TraJap""""";0,04;0,01;0,01;0,12;0;0,04;0;0,07;0,06;0,02;0,07;0,07;0,02;0,02;0;0;0,04;0,04;0,06;0,08;0,02;0,12;0;0,07;0,05;0,01;0;0;0,1;0,04;0,06;0;0,06;0;0,05;0;0,05;0;0,08;0;0;0;;1,48;0,02249924
"TriLepOne""""";0,02;0,04;0;0,07;0,01;0,01;0;0,01;0,05;0;0,02;0,06;0;0,01;0,01;0,04;0,01;0;0,05;0,05;0,01;0,07;0;0,02;0,02;0,02;0;0,02;0,04;0,05;0,02;0;0,02;0;0,01;0;0,01;0,01;0,05;0;0;0;;0,86;0,013073883
"TriLepTwo""""";0,15;0,15;0,07;0;0,08;0,12;0,05;0,11;0,26;0,04;0,29;0,38;0,05;0,07;0,06;0,06;0,11;0,08;0,23;0,21;0,05;0,46;0;0,17;0,11;0,04;0,07;0,07;0,32;0,2;0,18;0;0,14;0,12;0,06;0;0,08;0,05;0,27;0,01;0;0;;4,98;0,075706902
"Zoopl""""";0,15;0,15;0,07;0,46;0,08;0,12;0,05;0,12;0,26;0,04;0,3;0,39;0,05;0,07;0,06;0,06;0,12;0,08;0,24;0,24;0,07;0;0;0,18;0,11;0,04;0,07;0,07;0,33;0,21;0,18;0;0,14;0,12;0,06;0;0,1;0,05;0,29;0,02;0,02;0;;5,18;0,07874734
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65,78;1
