TI3;"Phyto""""";"MicroZoopl""""";"MesoZoopl""""";"MacroZoopl""""";"Jelly""""";"SupBenth""""";"OSPelaFish""""";"Shri""""";"BenthPelaCepha""""";"Mull""""";"FlatFish""""";"Gadi""""";"DemFishOne""""";"DemFishTwo""""";"DemFishFour""""";"BepeFish""""";"PicaBog""""";"Janch""""";"Aanch""""";"Jsard""""";"Asard""""";"HorMack""""";"Mack""""";"Crab""""";"NorLobs""""";"BenthCepha""""";"Hake""""";"DemFishThree""""";"Sha""""";"RaySkate""""";"MPelaFish""""";"LogTurtle""""";"Polych""""";"BenthInv""""";"AngFish""""";"LPelaFish""""";"Dolph""""";"Bird""""";;SUM
"Janch""""";0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,02;0,03;0,01;0,03;0,03;0,01;0,03;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,03;0,01;0,01;0,01;0,03;0,03;0,03;0,03;0,03;0,01;0,01;0,01;0,03;0,05;0,04;0,01;;0,8
"Aanch""""";0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,03;0,01;0,03;0,02;0,01;0,02;0,01;0,01;0,01;0,02;0,03;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,02;0,03;0,01;0,01;0,01;0,02;0,05;0,04;0,1;;0,77
"Jsard""""";0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,02;0,03;0,01;0,03;0,03;0,01;0,03;0,01;0,02;0,02;0,02;0,03;0,03;0,02;0,03;0,03;0,01;0,01;0,01;0,03;0,03;0,03;0,03;0,04;0,01;0,01;0,01;0,03;0,05;0,04;0,1;;0,92
"Asard""""";0,01;0,01;0,03;0,03;0,01;0,03;0,02;0,01;0,03;0,02;0,03;0,03;0,01;0,03;0,01;0,01;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,03;0,01;0,03;0,03;0,03;0,01;0,01;0,01;0,03;0,05;0,04;0,1;;0,87
"HorMack""""";0,03;0,03;0,04;0,03;0,05;0,03;0,05;0,03;0,04;0,02;0,04;0,03;0,02;0,03;0,02;0,04;0,02;0,05;0,02;0,05;0,02;0,03;0,04;0,03;0,02;0,03;0,03;0,04;0,02;0,03;0,05;0,02;0,02;0,02;0,03;0,06;0,05;0,02;;1,27
"Mack""""";0,03;0,03;0,04;0,03;0,05;0,03;0,05;0,03;0,03;0,02;0,02;0,03;0,02;0,02;0,04;0,04;0,02;0,04;0,02;0,04;0,02;0,04;0,03;0,02;0,02;0,02;0,03;0,02;0,02;0,03;0,04;0,02;0,02;0,03;0,03;0,06;0,04;0,02;;1,12
"Crab""""";0,01;0,01;0,02;0,03;0,02;0,03;0,01;0,04;0,03;0,04;0,04;0,03;0,05;0,03;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,03;0,06;0,04;0,02;0,04;0,04;0,03;0,02;0,13;0,04;0,04;0,04;0,01;0,02;0,01;;1,19
"NorLobs""""";0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0;0,01;0;;0,46
"BenthCepha""""";0,01;0,01;0,02;0,03;0,02;0,04;0,02;0,04;0,03;0,02;0,04;0,03;0,05;0,04;0,04;0,04;0,05;0,02;0,02;0,02;0,02;0,03;0,02;0,04;0,06;0,03;0,04;0,04;0,04;0,04;0,04;0,02;0,04;0,04;0,04;0,02;0,04;0,01;;1,21
"Hake""""";0,02;0,01;0,03;0,04;0,02;0,04;0,05;0,04;0,04;0,05;0,04;0,04;0,05;0,04;0,05;0,04;0,05;0,05;0,05;0,05;0,05;0,04;0,04;0,03;0,06;0,04;0,03;0,04;0,03;0,04;0,03;0,02;0,04;0,04;0,04;0,03;0,05;0,03;;1,46
