TI3;"Cet""""";"Sha""""";"Cod""""";"Jcod""""";"NseaMack""""";"Wmack""""";"Hadd""""";"Jhadd""""";"Herr""""";"Sprat""""";"Sande""""";"Sole""""";"OpredFish""""";"OpreyFish""""";"Cepha""""";"Zoopl""""";"Eupha""""";"Ocrus""""";"Seal""""";"Whit""""";"Jwhit""""";"Saithe""""";"NorPout""""";"Plai""""";"Brill""""";"SalTrout""""";"OMacroBenth""""";"Bird""""";"Jsaithe""""";"Gurna""""";"Jsha""""";"Polych""""";"HalTur""""";"RaySkate""""";"JraySkate""""";"BlueTuna""""";"HorMack""""";"Stur""""";"Echino""""";"EdiCrabLobs""""";"Phyto""""";"PlankMicroFlo""""";"MeioFau""""";"BenthMicroFlo""""";;SUM
"SalTrout""""";0,01;0;0;0;0,02;0,02;0,01;0;0,02;0,02;0,02;0;0;0;0,02;0;0,01;0,02;0;0,01;0,01;0;0,02;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0,02;0;0;0;0,01;0,01;0;0;;0,3
"Sande""""";0,05;0,14;0,2;0,24;0,09;0,11;0,15;0,19;0,28;0,2;0;0;0,24;0,2;0,18;0,08;0,16;0,31;0,06;0,11;0,27;0,06;0,27;0,07;0;0,02;0,15;0,05;0,05;0,08;0,06;0,13;0,01;0;0;0,01;0,11;0;0,02;0,01;0,01;0,01;0;0;;4,39
"Seal""""";0,02;0,05;0,06;0,05;0,02;0,02;0,02;0,05;0,07;0,05;0,06;0;0,06;0,06;0,03;0,03;0,05;0,09;0;0,03;0,07;0,03;0,05;0,01;0;0;0,05;0,03;0,03;0,01;0,02;0,05;0,01;0,01;0,01;0,01;0,05;0;0,02;0;0;0;0;0;;1,27
"Sha""""";0,03;0;0,13;0,14;0,05;0,05;0,09;0,13;0,13;0,09;0,14;0;0,13;0,13;0,1;0,06;0,08;0,17;0,05;0,03;0,16;0,01;0,14;0;0;0;0,1;0,02;0,02;0,05;0,05;0,1;0;0;0;0;0,08;0;0,02;0;0;0;0;0;;2,44
"Sole""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sprat""""";0,05;0,09;0,14;0,14;0,09;0,11;0,09;0,14;0,2;0;0,2;0;0,13;0,14;0,11;0,08;0,15;0,19;0,05;0,07;0,18;0,03;0,17;0,05;0;0,02;0,06;0,05;0,05;0,03;0,05;0,08;0,01;0;0;0,01;0,1;0;0,01;0;0,01;0,01;0;0;;3,08
"Stur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Whit""""";0,02;0,03;0,1;0,13;0,05;0,06;0,09;0,08;0,11;0,07;0,11;0;0,15;0,08;0,13;0,03;0,06;0,15;0,03;0;0,13;0,07;0,11;0,05;0;0,01;0,08;0,01;0,03;0,06;0,03;0,06;0;0;0;0;0,05;0;0,02;0,01;0;0;0;0;;2,19
"Wmack""""";0,03;0,05;0,05;0,06;0,1;0;0,05;0,05;0,13;0,11;0,11;0;0,08;0,05;0,11;0,06;0,1;0,13;0,02;0,06;0,1;0,02;0,08;0,01;0;0,02;0,03;0;0,03;0,02;0,02;0,03;0;0;0;0,01;0,05;0;0;0;0,01;0,01;0;0;;1,8
"Zoopl""""";0,03;0,06;0,05;0,07;0,06;0,06;0,01;0,06;0,1;0,08;0,08;0;0,05;0,05;0,06;0;0,11;0,11;0,03;0,03;0,08;0,01;0,06;0,01;0;0;0,01;0,01;0,02;0;0,03;0,03;0;0;0;0,01;0,06;0;0;0;0,02;0,02;0,01;0,02;;1,51
