TI3;"Cet""""";"Sha""""";"Cod""""";"Jcod""""";"NseaMack""""";"Wmack""""";"Hadd""""";"Jhadd""""";"Herr""""";"Sprat""""";"Sande""""";"Sole""""";"OpredFish""""";"OpreyFish""""";"Cepha""""";"Zoopl""""";"Eupha""""";"Ocrus""""";"Seal""""";"Whit""""";"Jwhit""""";"Saithe""""";"NorPout""""";"Plai""""";"Brill""""";"SalTrout""""";"OMacroBenth""""";"Bird""""";"Jsaithe""""";"Gurna""""";"Jsha""""";"Polych""""";"HalTur""""";"RaySkate""""";"JraySkate""""";"BlueTuna""""";"HorMack""""";"Stur""""";"Echino""""";"EdiCrabLobs""""";"Phyto""""";"PlankMicroFlo""""";"MeioFau""""";"BenthMicroFlo""""";;SUM
"Plai""""";0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,02;0,01;0,01;0,02;0,03;0,01;0,01;0,03;0,01;0,02;0,02;0,01;0,03;0,03;0,03;0,02;0,01;0,03;0,01;0,04;0,05;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;;0,79
"Brill""""";0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0;0,01;0,02;0,03;0,02;0,01;0,03;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0;0,01;0,01;0,01;;0,47
"SalTrout""""";0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,02;0,03;0,02;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0;0;0;0,01;0,01;0,01;0,01;;0,57
"OMacroBenth""""";0,02;0,03;0,03;0,03;0,01;0,01;0,04;0,03;0,02;0,01;0,02;0,05;0,03;0,04;0,02;0,01;0,02;0,03;0,04;0,03;0,03;0,02;0,02;0,05;0,06;0,01;0,04;0,02;0,02;0,04;0,04;0,04;0,05;0,05;0,05;0,01;0,01;0,14;0,06;0,07;0,03;0,08;0,08;0,08;;1,59
"Bird""""";0,01;0,01;0,03;0,03;0,01;0,01;0,03;0,03;0,03;0,03;0,02;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,02;0,03;0,03;0,04;0,01;0,01;0,01;0,02;0,03;0,03;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;;0,78
"Jsaithe""""";0,02;0,02;0,03;0,03;0,02;0,02;0,01;0,03;0,03;0,03;0,03;0,01;0,03;0,03;0,03;0,04;0,03;0,02;0,02;0,03;0,03;0,02;0,03;0,04;0,01;0,02;0,01;0,04;0,02;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;0,89
"Gurna""""";0,02;0,03;0,03;0,03;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,02;0,01;0,01;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,01;0,03;0,04;0,02;0,02;0,04;0,03;0,02;0,05;0,05;0,01;0,01;0,02;0,03;0,02;0,01;0,01;0,01;0,01;;1,02
"Jsha""""";0,02;0,03;0,02;0,02;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,02;0,03;0,02;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,02;0,03;0,01;0,01;0,03;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,9
"Polych""""";0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,01;0,01;0,02;0,05;0,03;0,03;0,03;0,01;0,02;0,03;0,02;0,02;0,03;0,02;0,02;0,04;0,06;0,01;0,04;0,02;0,02;0,03;0,04;0,03;0,02;0,02;0,02;0,01;0,03;0,03;0,04;0,06;0,01;0,02;0,06;0,02;;1,21
"HalTur""""";0,01;0,01;0,03;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,02;0,03;0,02;0,01;0,01;0,02;0,01;0,03;0,01;0,03;0,02;0,01;0,02;0,01;0,03;0,01;0,01;0,01;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,03;0,05;0,01;0,01;0,02;0,02;;0,78
