Species                   Kbu       Ktd      Kdir    Kindir         K
BalWhale              0.06250   1.44103   0.81357   0.68996   1.50353
ToothWhale            0.00000  20.77911   6.33343  14.44568  20.77911
WalrBSeal             0.06250   1.91188   1.23802   0.73636   1.97438
Seal                  0.06250   2.45950   1.42142   1.10058   2.52200
StLion                0.06250   5.66133   2.47926   3.24457   5.72383
Apoll                 1.53642   0.50399   1.60942   0.43099   2.04041
PacCod                0.68095   3.17012   2.55003   1.30104   3.85107
Phal                  0.14423   2.95723   1.55548   1.54598   3.10146
GreenTur              0.25000   2.46754   1.45654   1.26100   2.71754
ArrTooFlo             0.39423   0.44365   0.71263   0.12526   0.83789
Skate                 0.00000   1.64097   0.95965   0.68132   1.64097
SculRockFish          0.44706   2.06556   1.81190   0.70072   2.51262
Zoar                  0.69555   0.69083   1.03660   0.34979   1.38639
Jpoll                 2.36793   0.27064   1.91879   0.71978   2.63857
Bird                  0.00000   1.92647   1.29298   0.63349   1.92647
SFlatFish             0.61292   1.30590   1.46964   0.44918   1.91882
Jelly                 0.22917   0.61412   0.76438   0.07891   0.84329
SpeWhale              0.00000   4.65344   1.72222   2.93122   4.65344
MacroUri              0.46875   0.89039   1.10121   0.25792   1.35914
TanCrab               0.59076   0.31813   0.78318   0.12572   0.90890
SnowCrab              0.65566   0.31813   0.79716   0.17663   0.97380
KingCrab              0.44924   0.31813   0.65477   0.11261   0.76738
Shri                  3.68052   0.25946   2.65064   1.28934   3.93998
PacHerr               0.69987   0.51185   1.02125   0.19047   1.21172
PacSal                0.37340   0.58641   0.83177   0.12804   0.95980
EpiFau                2.60061   0.14835   1.87362   0.87534   2.74896
InFAu                 5.59268   0.00000   2.36019   3.23249   5.59268
BenthAmph             8.44157   0.00000   2.91694   5.52464   8.44157
Cepha                 3.87274   0.34207   2.62877   1.58604   4.21480
ForFish               3.72274   0.26751   2.20328   1.78697   3.99025
Lzoopl                6.59786   0.44444   3.15860   3.88371   7.04231
Copep                10.85952   0.33333   3.12266   8.07020  11.19285
Phyto                15.96574   0.00000   1.75000  14.21574  15.96574
