Species                Kbu       Ktd      Kdir    Kindir         K
RedGroup           0.09091   8.25023   3.11228   5.22886   8.34114
Sha                0.00000  16.37237   3.68803  12.68434  16.37237
Snap               0.21212   3.46748   1.83450   1.84510   3.67960
Gru                0.89123   1.31380   1.57180   0.63323   2.20503
KingMack           0.21212   1.53674   0.97339   0.77547   1.74886
Porg               0.00000   1.62763   0.95748   0.67015   1.62763
Jack               0.12121   1.70472   1.01026   0.81568   1.82593
Herr               0.92532   0.67895   1.32180   0.28247   1.60427
Trout              0.24242   1.59362   1.15950   0.67655   1.83605
Mojar              0.60606   0.99921   1.13728   0.46799   1.60527
Shri               3.35782   0.75273   2.55996   1.55059   4.11055
Lobs               1.00973   0.88755   1.20117   0.69612   1.89729
Crab               1.44387   0.88755   1.48688   0.84454   2.33142
Octo               1.58439   1.12991   1.83410   0.88020   2.71430
Omollu             3.23826   0.87745   2.25516   1.86055   4.11571
MicroCrus          3.82488   0.44583   2.06905   2.20166   4.27071
Zoopl              3.69122   0.45833   1.95119   2.19836   4.14955
Anne               6.07714   0.12500   2.11786   4.08429   6.20214
Phyto              5.60570   0.00000   1.20000   4.40570   5.60570
BenthProd         12.39430   0.00000   2.55833   9.83597  12.39430
