0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.53,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0
1.53,0.186,2.625,0,0,0,0,0,0,0,0,0,0,0,0
3.06,0.744,11.811,22.136,0,0,0,0,0,0,0,0,0,0,0
3.57,0.744,9.186,22.136,0,0,0,0,0,0,0,0,0,0,0
0.51,0,2.625,26.563,0,0,0,0,0,0,0,0,0,0,0
0,0,0,17.708,0,0,18.717,0,0,0,0,0,0,0,0
0,0,0,0,249.303,67.129,0,0,0,0,0,0,0,0,0
0,0,0,0,249.303,50.347,12.478,14.57,641.193,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,713.183,0,0,0,0,0
0,0,0,0,0,0,0,7.285,0,0,891.479,0,0,0,0
0,0,0,0,0,0,0,0,0,356.592,1782.958,0,0,0,0
0,0,0,0,249.303,33.565,12.478,29.14,349.742,1961.253,0,0,0,0,0
0,0,0,0,0,0,37.434,0,0,0,0,0,0,0,0
