TI3;"Cet""""";"Jcod""""";"JSilvHake""""";"RedFish""""";"TranMack""""";"DemPisc""""";"JDemPisc""""";"LDemFish""""";"JLDemFish""""";"Sandl""""";"SPela""""";"Squid""""";"LZP""""";"SZP""""";"GreySeal""""";"Acod""""";"ASilvHake""""";"Hadd""""";"Plai""""";"Flou""""";"Skate""""";"Poll""""";"SDemFish""""";"Cape""""";"SCrab""""";"Polych""""";"BivalvMollu""""";"OBI""""";"Bird""""";"SMesoPel""""";"Shri""""";"Echino""""";"AHal""""";"DogFish""""";"LCrab""""";"TranPel""""";"JHal""""";"Phyto""""";;SUM;;;
"LCrab""""";0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,04;0,02;0,01;0;0,02;0,04;0,01;0,01;0,02;0,01;0,01;0,01;;0,51;0,01342812;;
"LDemFish""""";0,04;0,03;0,02;0,02;0,02;0,04;0,03;0,02;0,02;0,03;0,02;0,03;0,03;0,01;0,03;0,02;0,01;0,02;0,04;0,02;0,02;0,01;0,03;0,02;0,03;0,04;0,04;0,03;0,02;0,01;0,03;0,04;0,02;0,02;0,02;0,04;0,02;0,02;;0,97;0,025539758;;
"LZP""""";0,06;0,04;0,04;0,04;0,08;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,06;0,03;0,05;0,05;0,04;0,04;0,04;0,06;0,05;0,04;0,05;0,04;0,03;0,03;0,03;0,05;0,06;0,04;0,03;0,03;0,03;0,06;0,03;0,05;0,1;;1,71;0,045023697;;
"OBI""""";0,02;0,04;0,04;0,04;0,02;0,05;0,04;0,04;0,04;0,04;0,04;0,02;0,02;0,02;0,04;0,05;0,02;0,04;0,04;0,04;0,06;0,04;0,03;0,02;0,04;0,03;0,02;0,03;0,04;0,02;0,03;0,03;0,03;0,05;0,06;0,02;0,02;0,02;;1,26;0,033175355;;
"Phyto""""";0;0;0;0;0,01;0;0;0,01;0,01;0;0,01;0;0,02;0,02;0;0;0,01;0,01;0;0,01;0,01;0,01;0,02;0,01;0;0;0,03;0;0,01;0,01;0,02;0;0;0;0,01;0;0,01;0,02;;0,29;0,007635598;;
"Plai""""";0,02;0,02;0,03;0,02;0,01;0,02;0,03;0,04;0,04;0,03;0,02;0,02;0,03;0,01;0,03;0,04;0,01;0,02;0,03;0,02;0,02;0,02;0,02;0,04;0,04;0,04;0,05;0,03;0,02;0,01;0,03;0,05;0,04;0,04;0,02;0,02;0,05;0,02;;1,04;0,027382833;;
"Poll""""";0,02;0,03;0,03;0,03;0,02;0,02;0,02;0,01;0,01;0,03;0,03;0,03;0,03;0,04;0,03;0,04;0,04;0,03;0,01;0,02;0,02;0,03;0,03;0,02;0,03;0,02;0,01;0,03;0,02;0,05;0,03;0,01;0,02;0,02;0,01;0,02;0,01;0,02;;0,94;0,024749868;;
"Polych""""";0,01;0,03;0,01;0,03;0,01;0,02;0,03;0,04;0,04;0,02;0,01;0,02;0,02;0,01;0,03;0,04;0,01;0,03;0,04;0,03;0,05;0,02;0,03;0,04;0,04;0,03;0,02;0,02;0,04;0,01;0,03;0,02;0,02;0,02;0,06;0,02;0,02;0,02;;0,98;0,025803054;;
"RedFish""""";0,05;0,03;0,02;0,03;0,03;0,05;0,04;0,02;0,02;0,03;0,02;0,04;0,03;0,04;0,03;0,02;0,05;0,04;0,02;0,04;0,02;0,04;0,03;0,03;0,02;0,04;0,02;0,03;0,02;0,06;0,03;0,02;0,02;0,05;0,02;0,05;0,04;0,02;;1,21;0,031858873;;
"Sandl""""";0,05;0,04;0,04;0,04;0,03;0,05;0,04;0,04;0,03;0,03;0,03;0,03;0,04;0,05;0,04;0,05;0,05;0,04;0,05;0,04;0,06;0,04;0,04;0,05;0,03;0,03;0,02;0,04;0,05;0,03;0,04;0,05;0,05;0,05;0,02;0,03;0,05;0,02;;1,51;0,039757767;;
"SCrab""""";0,02;0,04;0,03;0,02;0,01;0,02;0,04;0,04;0,04;0,02;0,02;0,04;0,03;0,02;0,04;0,05;0,02;0,04;0,04;0,04;0,06;0,04;0,04;0,02;0,03;0,05;0,06;0,04;0,05;0,02;0,02;0,06;0,05;0,02;0,07;0,02;0,02;0,02;;1,28;0,033701948;;
"SDemFish""""";0,03;0,04;0,04;0,04;0,02;0,05;0,04;0,05;0,05;0,04;0,04;0,04;0,04;0,03;0,04;0,03;0,05;0,04;0,03;0,04;0,02;0,04;0,03;0,05;0,04;0,05;0,06;0,04;0,05;0,03;0,04;0,05;0,03;0,03;0,03;0,03;0,05;0,09;;1,52;0,040021064;;
"Shri""""";0,03;0,04;0,04;0,04;0,07;0,05;0,04;0,05;0,05;0,04;0,05;0,03;0,04;0,05;0,03;0,05;0,05;0,04;0,05;0,05;0,07;0,05;0,04;0,05;0,03;0,05;0,03;0,05;0,05;0,03;0,04;0,03;0,05;0,06;0,06;0,03;0,05;0,1;;1,76;0,046340179;;
"Skate""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,03;0,01;0,02;0,01;0,01;0,02;0,01;0,03;0,01;0,01;0,01;0,01;0,01;;0,50;0,013164824;;
"SMesoPel""""";0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,03;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;;0,58;0,015271195;;
"SPela""""";0,05;0,04;0,04;0,02;0,08;0,04;0,03;0,02;0,02;0,02;0,03;0,02;0,03;0,04;0,03;0,04;0,04;0,04;0,02;0,02;0,02;0,04;0,03;0,02;0,02;0,02;0,02;0,04;0,04;0,02;0,03;0,02;0,04;0,05;0,02;0,05;0,04;0,02;;1,24;0,032648763;;
"Squid""""";0,05;0,04;0,04;0,04;0,02;0,05;0,04;0,04;0,04;0,02;0,02;0,03;0,03;0,04;0,03;0,02;0,04;0,04;0,02;0,02;0,02;0,04;0,03;0,02;0,03;0,02;0,02;0,02;0,04;0,06;0,02;0,02;0,04;0,05;0,02;0,02;0,04;0,02;;1,21;0,031858873;;
"SZP""""";0,05;0,02;0,03;0,03;0,07;0,02;0,01;0,01;0,01;0,03;0,04;0,03;0,03;0,03;0,02;0,04;0,04;0,03;0,01;0,01;0,05;0,04;0,02;0,04;0,01;0,01;0,01;0,01;0,02;0,06;0,03;0,01;0,02;0,02;0,01;0,02;0,02;0,08;;1,06;0,027909426;;
"TranMack""""";0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,02;0;0,01;0,01;0;0,04;0,01;0,01;;0,41;0,010795155;;
"TranPel""""";0,02;0,01;0,03;0,03;0,06;0,01;0,03;0,03;0,03;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,04;0,01;0,01;0,03;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,04;0,01;0,03;0,01;0,01;;0,73;0,019220642;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,98;1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Cet""""";"Jcod""""";"JSilvHake""""";"RedFish""""";"TranMack""""";"DemPisc""""";"JDemPisc""""";"LDemFish""""";"JLDemFish""""";"Sandl""""";"SPela""""";"Squid""""";"LZP""""";"SZP""""";"GreySeal""""";"Acod""""";"ASilvHake""""";"Hadd""""";"Plai""""";"Flou""""";"Skate""""";"Poll""""";"SDemFish""""";"Cape""""";"SCrab""""";"Polych""""";"BivalvMollu""""";"OBI""""";"Bird""""";"SMesoPel""""";"Shri""""";"Echino""""";"AHal""""";"DogFish""""";"LCrab""""";"TranPel""""";"JHal""""";"Phyto""""";;SUM;;;
"Acod""""";186922,46;10579,36;281099,48;66730,14;99550,45;941,23;3114,9;1089,32;10849,44;2150239,25;2898894,26;104754,77;141009964;980906915,9;9144,1;1738,65;45020,18;41264,37;16539,69;55851,39;15167,86;52390,26;81497,99;1135692,31;70326,05;79829,45;245680020,8;43206,82;30741,67;344665,4;9725669,99;5104,16;228,65;1909,29;10692,73;167,31;6939,99;612633082,2;;1997818536,28;0,0000;;70333904,99
"AHal""""";24671,29;1493,35;41451,9;9961,03;10814,61;93,34;446,45;164,26;1610,1;279831,51;280502,95;11272,2;2435255,11;9886158,52;578,7;198,17;5573,33;5335,8;2330,97;7925,84;2088,25;6992,1;10006,92;125733,58;10272,79;8404,71;1672248,5;4427,75;4120,82;33489,2;368204,27;273,8;19,46;190,98;1592,05;10,61;862,62;47607696,61;;62862304,43;0,0000;;70333904,99
