TI3;"Cet""""";"Jcod""""";"JSilvHake""""";"RedFish""""";"TranMack""""";"DemPisc""""";"JDemPisc""""";"LDemFish""""";"JLDemFish""""";"Sandl""""";"SPela""""";"Squid""""";"LZP""""";"SZP""""";"GreySeal""""";"Acod""""";"ASilvHake""""";"Hadd""""";"Plai""""";"Flou""""";"Skate""""";"Poll""""";"SDemFish""""";"Cape""""";"SCrab""""";"Polych""""";"BivalvMollu""""";"OBI""""";"Bird""""";"SMesoPel""""";"Shri""""";"Echino""""";"AHal""""";"DogFish""""";"LCrab""""";"TranPel""""";"JHal""""";"Phyto""""";;SUM;;;
"RedFish""""";3956581,7;197071,26;5468413,68;1235325,24;4588586,48;55442,55;99281,01;23736,76;170966,38;54072764,17;170687893;4935819,98;6902156728;40062695661;686591,97;93422,19;1114790,09;1158933,12;317044,93;794629,67;270909,84;1118933,16;1890347,9;53802164,66;942394,36;3623643,62;10207891483;2529231,22;570977,35;19915564,76;506621913,7;436109,18;16090,9;96753,5;152140,78;10601,61;215377,3;47954367939;;105968982259,73;0,0000;;
"Sandl""""";187215939,8;10046475,92;294570604,2;66947231,83;179752421,7;1926642,11;4366882,21;1097616,29;8860099,21;2449650892;6394199365;190696571,8;4,37457E+11;2,99094E+12;21509685,6;3727081,37;45282609,75;46240024,34;14590533,48;39543590,32;13304813,97;52807815,28;94980041,91;2075418608;39632111,2;116109049,8;7,63227E+11;107695462;28150252,57;742991413,6;27898809056;13612530,13;559663,02;2992233,51;7191556,02;341100,93;8784281,29;1,73207E+12;;5964851388423,44;0,0019;;
"SCrab""""";1988788,99;123831,49;4495605,61;987270,28;3796884,78;63677,44;111220,82;22274,98;86747,63;33534863,32;149768277,6;4042777,24;7341464922;44293108948;666346,44;103144,87;841217,8;688744,49;176871,41;108110,28;115350,62;689889,65;1163416,5;45051187,49;20776,18;5361100,75;11357229824;4562341,84;261146;17239671,82;508928982,9;781156,27;17384,72;103440,15;45832,55;14160,56;188968,61;44460731447;;108238686603,14;0,0000;;
"SDemFish""""";6721474,03;336804,68;10137063,8;2340430,73;7746604,22;68511,13;156600,42;40113,62;320151,21;94980041,91;285750480,6;8285633,94;9752929698;52831260657;790069,67;141263,18;1556611,39;1825340,38;505339,25;1288347,27;462621,59;1868710,56;2850153,73;89901742,43;1374946,78;4564037,55;13418614445;3589799,35;926159,49;33146348,97;752681891;511148,03;20013,84;103945,85;249902;11555,51;310751,08;80423485918;;157741855326,30;0,0000;;
"Shri""""";2354702700;107607975,9;2875256355;699620737,9;1974669144;3894874,94;23990816,12;10355610,31;131596868,4;31117902409;66961456114;2099339123;2,37518E+12;1,39453E+13;20205999,48;18802961,99;411553678,4;560495754,2;166503752,5;592086601,6;175997569;624784639,8;839529801,5;22131173559;670860932;298246229,8;3,51119E+12;296646809,1;333948562,2;7813046238;1,79521E+11;10580820,19;821378,76;6366675,13;104637908,8;606371,48;60144282,76;1,79462E+13;;38100917312069,50;0,0119;;
"Skate""""";316449,2;16496,31;518013,09;116104,22;421149,57;4890,69;9603,12;2104,04;13135,59;4605512,53;15966496,68;450286,03;791760883,6;4893624826;59143,14;9100,72;88558,72;91041,61;24346,49;48642,03;20521,6;90744,6;160138,24;4926145,61;47188,89;351100,16;1250848687;266617,01;43416,97;1847272,22;54619935,21;39587,17;1445,71;7504,29;9924,77;919,28;18900,36;4567658106;;11589104938,62;0,0000;;
"SMesoPel""""";25512968,16;1483267,08;40836876,11;9483602,27;11760036,83;109092,33;418108,21;139492,8;1481374,38;285765928,3;310446922,1;12069792,92;48028134863;3,77318E+11;763746,82;229776,93;5723558,4;4949779,48;2154761,03;7423892;2052524,69;7200674,66;12748595,76;130425450,5;7836214,46;7400919,18;95976244731;7693529,28;4306138,82;36888255,64;2694153875;448281,2;25760,92;179882,18;1295961,38;19332,96;891270,92;57367121414;;582323494232,52;0,0002;;
"SPela""""";462603546,4;26830358,45;734715121,6;170687893;209864266,6;1940979,19;7446433,66;2507009,68;26811825,87;5164545641;5478684372;215183283,8;8,66388E+11;6,82228E+12;13300879,99;4058451,96;103733654,4;89379609,56;38991003,88;135118651,3;37255158,93;130526285,3;230798465,1;2320243986;142960628,6;130609338,1;1,73524E+12;138393127,3;78216734,6;651938536,4;48489330290;8196927,95;453120,15;3249488,2;23550174,94;350778,85;16010425,13;9,92658E+11;;10481853870984,40;0,0033;;
"Squid""""";13344181,56;765614,86;21334836,42;4935819,98;7350772,11;71434,56;235845,71;73953,28;748638,8;154024154,1;215183283,8;7621785,69;26347746600;2,01313E+11;599381,37;146656,67;3029622,64;2709461,53;1110184,57;3684634,71;1050667,41;3766590,08;6692242,8;82528487,87;3859014,64;4634343,98;51240524482;4704225,34;2207983,98;25346565,13;1520211089;366100,78;18208,94;115018,71;647571,37;12626,02;494567,37;46823821032;;327818342833,08;0,0001;;
"SZP""""";1,32355E+11;4866943600;1,27176E+11;32431706011;1,51682E+11;61711984,49;881585794;488823408,8;7038200360;1,95561E+12;5,5228E+12;1,62967E+11;6,3832E+13;2,51436E+13;311552129,6;1111694505;18824657920;36069960731;8004388249;28542148713;9243513561;33589601811;34543516584;1,70894E+12;34226493278;5809009795;3,2254E+12;4591101470;16097383049;6,4144E+11;8,17483E+12;115181880,5;12928053,45;80037509,27;5120897136;2505098,49;2686756605;1,58629E+15;;1697353029446220,00;0,5284;;
"TranMack""""";4174599,04;237856,81;6606660;1529528,83;2359335,04;22633,22;73335;22972,73;231729,48;48394882,77;69954755,54;2450257,37;8214938160;62457175300;194768,29;46456,88;946922,96;854593,68;345373,09;1144233,2;327560,77;1175989,71;2085624,21;26491935,99;1208099,7;1453666,03;15897474357;1473449,75;687825,31;8232025,78;476644276;119151,94;5823,25;36783,75;201690,87;4032,67;154818,25;15481981014;;102711462478,67;0,0000;;
"TranPel""""";13177,86;852,73;24220,59;6058,07;6913,15;51,01;292,61;122,3;1132,36;157431,2;200445,05;7214,87;1499496,99;1768304,82;213,41;133,85;2900,16;4181,97;1557,5;5350,53;1225,71;3803,04;5333,31;92607,76;7723,94;5589,67;3,31;3258,37;2145,44;23199,55;250912,34;80,85;9,79;134,27;1107,46;8,37;468,31;40169834,87;;44267497,40;0,0000;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3212483233253940,00;1,00;;
