Species                  Kbu       Ktd      Kdir    Kindir         K
PelaMPred            0.11111   6.47396   1.99488   4.59019   6.58507
Sha                  0.00000  14.00000   2.91786  11.08214  14.00000
DemMPred             0.36364   3.20226   1.96079   1.60511   3.56589
PelaSPred            0.25000   4.76968   2.36988   2.64980   5.01968
DemSPred             0.51515   1.60085   1.28856   0.82743   2.11600
DemSOmn              0.76768   1.58404   1.75523   0.59648   2.35172
PonyFish             1.06229   1.52631   1.75523   0.83337   2.58860
Squid                1.40600   0.67784   1.47904   0.60480   2.08385
Pelapl               1.11665   0.27273   0.94571   0.44367   1.38938
MacroEpiFau          2.19039   0.26515   1.47904   0.97650   2.45554
DemHerb              0.60887   1.08996   1.37626   0.32257   1.69883
BenthInFau           3.67447   0.27273   1.90960   2.03761   3.94720
Zoopl                7.20893   0.16667   2.94369   4.43191   7.37559
Phyto               12.38361   0.00000   2.45758   9.92604  12.38361
Macroph              0.61639   0.00000   0.36667   0.24972   0.61639
