"TI3";""Phyto"";""MicroZoopl"";""Copyp"";""Mysid"";""UpoAfri"";""FishLarv"";""ZooplEater"";""BenthMicroAl"";""MeioFau"";""Det"";""Graz"";""SuspFeed"";""CalliaKra"";""Sol"";""Herb"";""MacrophSub"";""Grunter"";""MacrophSal"";""Epiph"";""BenthFeed"";""FreeWat"";""AttWat"";""SedBaci"";""CarnMac"";""Pisci"";""SkipJack"";""CatFish"";""DuskyKob"";""Bird"";""Leer"";;SUM
""MacrophSal"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,01";"0,01";"0,00";"0,04";"0,05";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";;"0,20"
""Epiph"";"0,00";"0,00";"0,00";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,00";"0,00";"0,04";"0,00";"0,00";"0,00";"0,02";"0,02";"0,00";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,00";"0,01";;"0,24"
""BenthFeed"";"0,06";"0,04";"0,10";"0,10";"0,09";"0,14";"0,09";"0,06";"0,11";"0,10";"0,16";"0,09";"0,06";"0,05";"0,08";"0,06";"0,09";"0,06";"0,22";"0,08";"0,02";"0,06";"0,10";"0,10";"0,10";"0,12";"0,11";"0,10";"0,06";"0,14";;"2,76"
""FreeWat"";"0,02";"0,11";"0,02";"0,01";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,08";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,26"
""AttWat"";"0,04";"0,03";"0,08";"0,06";"0,05";"0,03";"0,05";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,01";"0,02";"0,04";"0,00";"0,00";"0,02";"0,02";"0,01";"0,01";"0,02";"0,01";;"0,57"
""SedBaci"";"0,00";"0,00";"0,01";"0,01";"0,02";"0,01";"0,01";"0,07";"0,09";"0,08";"0,16";"0,07";"0,11";"0,16";"0,07";"0,03";"0,04";"0,03";"0,04";"0,05";"0,00";"0,00";"0,07";"0,08";"0,03";"0,02";"0,03";"0,03";"0,02";"0,03";;"1,38"
""CarnMac"";"0,01";"0,00";"0,01";"0,01";"0,02";"0,01";"0,02";"0,04";"0,08";"0,07";"0,04";"0,07";"0,04";"0,03";"0,07";"0,01";"0,02";"0,01";"0,04";"0,05";"0,00";"0,01";"0,07";"0,05";"0,07";"0,03";"0,04";"0,07";"0,03";"0,03";;"1,03"
""Pisci"";"0,03";"0,02";"0,03";"0,06";"0,07";"0,03";"0,06";"0,03";"0,03";"0,03";"0,02";"0,07";"0,10";"0,02";"0,06";"0,01";"0,02";"0,01";"0,03";"0,05";"0,01";"0,03";"0,03";"0,08";"0,05";"0,04";"0,03";"0,09";"0,04";"0,03";;"1,19"
""SkipJack"";"0,03";"0,02";"0,02";"0,06";"0,06";"0,02";"0,05";"0,01";"0,02";"0,02";"0,01";"0,05";"0,01";"0,01";"0,05";"0,01";"0,01";"0,01";"0,03";"0,04";"0,01";"0,03";"0,01";"0,02";"0,03";"0,04";"0,03";"0,02";"0,03";"0,02";;"0,77"
""CatFish"";"0,01";"0,01";"0,01";"0,02";"0,06";"0,01";"0,05";"0,03";"0,07";"0,07";"0,02";"0,06";"0,02";"0,02";"0,06";"0,02";"0,02";"0,02";"0,03";"0,04";"0,00";"0,02";"0,03";"0,03";"0,02";"0,03";"0,04";"0,03";"0,04";"0,03";;"0,91"
