"TI3";""Phyto"";""MicroZoopl"";""Copyp"";""Mysid"";""UpoAfri"";""FishLarv"";""ZooplEater"";""BenthMicroAl"";""MeioFau"";""Det"";""Graz"";""SuspFeed"";""CalliaKra"";""Sol"";""Herb"";""MacrophSub"";""Grunter"";""MacrophSal"";""Epiph"";""BenthFeed"";""FreeWat"";""AttWat"";""SedBaci"";""CarnMac"";""Pisci"";""SkipJack"";""CatFish"";""DuskyKob"";""Bird"";""Leer"";;SUM
""Det"";"3437329472172690,00";"213376521614,52";"741839299459656,00";"412737373181500,00";"1648016356154860,00";"6259006570,25";"14408473801529,90";"948795079077185000,00";"314742617048186,00";"904469022927188,00";"60066069981405,90";"3026124540499960,00";"2207266262299,63";"44512688078141,90";"885444026262107,00";"42807754170,28";"283528029047962,00";"6755490996,28";"10115291982287600,00";"10827318121017500,00";"0,00";"76446537996681,00";"3413603441660670,00";"641392495127004000,00";"162236092898003,00";"1205028849002630,00";"1709363838604880,00";"275417319935237,00";"11734612923310100,00";"122339687277576,00";;"1641604927431830000,00"
""Graz"";"43646742087869,10";"3855153444,70";"42163506055,51";"73572529588,35";"75832760403,14";"16454224,09";"227143535376,36";"137397446304688000,00";"30233453749935,30";"22524776243027,20";"4904233927,26";"46082599152304,30";"2463908814,67";"5180633975,65";"44665595919843,40";"773362854,72";"31165582470061,90";"122044379,65";"844305051072400,00";"686616277782520,00";"0,00";"992532821272,81";"461653951249220,00";"91892096473129600,00";"21335208291944,40";"190097480796718,00";"111986656380416,00";"40584391166074,40";"1349996384698770,00";"19966310412362,20";;"233235831800236000,00"
""SuspFeed"";"368430329481266,00";"135872335008,79";"231837190116839,00";"69763169971131,90";"13500179330984800,00";"44085893823,94";"16898897889301,20";"7018908084229700000,00";"2316493633034170,00";"3782655675624950,00";"153608663841014,00";"2029063798180690,00";"5362259591320,46";"13055843262009,50";"1777746606137520,00";"3904339501,94";"1486830101317040,00";"616143753,93";"78402358135687700,00";"29183737786479800,00";"0,00";"8151510541363,14";"23345678226005000,00";"4751009739797680000,00";"1177126679635060,00";"8776169880250750,00";"5216107655409050,00";"1933941775280650,00";"66594887811186000,00";"832611527436243,00";;"12011140704993400000,00"
""CalliaKra"";"4377163882853,76";"84627214,63";"78058295809,59";"42082835576,73";"378563210257,52";"1289205,74";"4207354706,06";"7908835395098560,00";"1741628371570,39";"1379541413937,27";"4106514691,12";"2681129795660,23";"23443107,16";"293206205,80";"1965155358220,54";"4623805,00";"1908242777959,58";"729682,59";"50011115113947,30";"36067022648218,90";"0,00";"100392135125,68";"26587560671587,10";"5289322651327580,00";"1235375736372,77";"10945550654650,60";"7025987476448,66";"2342173277290,22";"79136996410758,30";"1154731975170,03";;"13427325240256200,00"
""Sol"";"124229180810,01";"0,00";"98363413,29";"12750812,83";"9466326244,22";"30799,06";"100782636,34";"142550242734841000,00";"31291756752311,50";"16692258029303,20";"5180633975,65";"3916752978602,84";"175923723,48";"5276272678,57";"35109395129346,30";"131560,00";"31254134270260,10";"20761,48";"876094774909725,00";"594435566331433,00";"0,00";"2855267323,79";"474203160105149,00";"95339076176622400,00";"22133371557299,00";"197170610296835,00";"102482471207685,00";"42101563240743,70";"1374358330692350,00";"20716452143052,80";;"241711426904792000,00"
""Herb"";"10212446235073,60";"448143566072,86";"47369098103183,60";"6598864322600,94";"4294243898206350,00";"14253118880,30";"15618122907348,90";"652001690250530000,00";"189318636116708,00";"1328166039393160,00";"178662383679374,00";"2133295927365030,00";"4716372859729,29";"140437580517385,00";"320889604454929,00";"14236017756,25";"151859752749871,00";"2246585732,87";"20043211096507900,00";"2743257074636050,00";"0,00";"173422358105,82";"2242851589285480,00";"436828825036817000,00";"177390097666452,00";"924344537922430,00";"501871282760156,00";"213081955650075,00";"6285464385870380,00";"149334642765633,00";;"1130933362978970000,00"
""MacrophSub"";"337177977635,56";"0,00";"265143490,71";"34370452,50";"25516961327,69";"83020,42";"273346126,70";"168292841504,72";"66332786,75";"5350969271,28";"257787618,24";"390433950,19";"924761,00";"43853,33";"1186334813,02";"357075,00";"13486245243,94";"56350,00";"94502112618,19";"233122353626,60";"0,00";"7749654755,56";"1499081483,55";"99651018597,19";"481669914,83";"594074928,61";"103706065681,36";"404091080,42";"218968502964,24";"302624865,49";;"1313281459797,09"
""Grunter"";"27083472462567,50";"64209873012454,10";"303392471480888,00";"63405598756706,20";"628735899397254,00";"2001103759,15";"77685188890422,30";"10219836219500,00";"19495969697107,70";"318969032678957,00";"93496747410185,60";"1338147091185330,00";"3434837000327,25";"93762402810780,30";"113894814562403,00";"121376207195,48";"1300869022930,58";"19154377302,99";"1154254133440220,00";"84001805234098,80";"0,00";"615390869608,91";"45537408661902,00";"79459903998417,30";"5429696967122,67";"917055587011,62";"10439960672627,40";"1353181635467,73";"16016504204264,80";"3790809796256,45";;"4559192487343070,00"
""MacrophSal"";"53210051221,07";"0,00";"41842290,00";"5424000,56";"4026831256,22";"13101,45";"43136747,85";"26558290607,83";"10467976,01";"844436374,53";"40681459,88";"61614375,39";"145936,52";"6920,49";"187215477,74";"56350,00";"2128264144,78";"8892,59";"14913376870,50";"36789034871,83";"0,00";"1222972892,18";"236570024,78";"15725925640,14";"76012321,50";"93750954,92";"16365852555,19";"63769606,89";"34555415926,72";"47757225,15";;"207248926022,73"
""Epiph"";"10666944529386800,00";"942171304883,73";"10304156727385,70";"18610841806534,10";"19010398169854,30";"4021199411,14";"55650585868513,30";"3537786408576210,00";"128813040218020,00";"2528822995571900,00";"562870034048267,00";"15680471627137500,00";"20004446045578,90";"584063183273150,00";"3340535182751310,00";"189004225236,39";"256500918542271,00";"29826753741,01";"109159008247,58";"28029209333451100,00";"0,00";"242567762029035,00";"1100029442684400,00";"2185003350726460,00";"1049775761018,30";"18120848149136,10";"3239631347278420,00";"2214826460488,83";"6242009901233660,00";"219497516361,72";;"78471718615904900,00"
""BenthFeed"";"73302688932368,30";"3695543481577090,00";"18038053641295000,00";"3750606071401070,00";"85472418854685100,00";"277804004351,99";"4190939007213970,00";"148477389982534000,00";"1034934319266870,00";"24361465772289500,00";"4119697666695120,00";"52530728015663800,00";"129841281533588,00";"3566613397988600,00";"4114885611954080,00";"4196202365278,78";"168003610468198,00";"662202627692,95";"252262884001060000,00";"1148132299100750,00";"326264673685,82";"819285544685,02";"2291096395240750,00";"114904614697593000,00";"1209492433569960,00";"464864519217460,00";"602536916658756,00";"349401699681077,00";"1394921293374240,00";"852486064122562,00";;"729211135482332000,00"
""FreeWat"";"5029406616237,57";"22389653570456,10";"75798621745452,10";"15525255233131,70";"57866535932864,30";"765893735,91";"9517638097192,07";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"18125815204,77";"359674650,75";"253745016,51";"0,00";"0,00";"31952609882,31";"474599992923,68";"0,00";"0,00";"0,00";"0,00";;"186653168926748,00"
""AttWat"";"331760172879,14";"29370083357253,60";"138638328325814,00";"28993731771537,40";"271672180396559,00";"887641922,20";"30944732511608,00";"0,00";"376338999459,97";"38223268998340,50";"1323377095030,42";"3260604216545,25";"80313708100,55";"3807023098,38";"57807452701,94";"30998619022,22";"273507053159,52";"4891891568,72";"485135524058070,00";"182063454374,45";"1014980066,05";"27362354,16";"12343816507,00";"30767597179488,00";"2277163940890,64";"356923856361,82";"933206231291,47";"560440799354,99";"92567739422,72";"1574976824776,95";;"1065480469477560,00"
""SedBaci"";"1221346608198,44";"107876976,80";"13853885020580,30";"1866465832826,82";"1343197005503030,00";"4337950869,79";"11943746386816,90";"234217024946104000,00";"409781305098370,00";"3840303871868250,00";"1384961853747660,00";"21011110403404500,00";"47857609208856,80";"1422609480315450,00";"1682138691964110,00";"13491733351,93";"45537408661902,00";"2129130223,01";"4950132492079800,00";"1145548197620370,00";"0,00";"27773587140,75";"1538921691097320,00";"162160602456375000,00";"45344238093259,60";"233680484367840,00";"174996611158013,00";"55813035939017,80";"2124793537549090,00";"16109284539230,40";;"437879397888822000,00"
""CarnMac"";"2706018982011350,00";"239127121905,45";"27016858775397,90";"17595211399723,70";"3474602071721080,00";"8657613910,82";"1160457653684650,00";"2166789781614290,00";"50651976666977300,00";"641392495127004000,00";"245045590595012000,00";"3800807791838150000,00";"8462916242124130,00";"254237536470993000,00";"291219216691212000,00";"797208148777,49";"70631025776370,90";"125807405121,09";"8740013402905840,00";"51068717643374700,00";"0,00";"61535194358976,10";"144142757739000000,00";"2643334054813830,00";"65686828052973,20";"15197521337691,70";"839719103038152,00";"38818281907071,20";"1600377403994430,00";"29493528035274,70";;"5510687456717560000,00"
""Pisci"";"274954531539633,00";"3790607318568,91";"23424774527670,50";"12292143645096,50";"21043592861895,00";"2237111283,77";"39002400082828,60";"114366852325184,00";"13369943253162,80";"182515604510253,00";"64005624875833,20";"1059414011671550,00";"2223676325470,98";"66400114671896,90";"133042573249839,00";"4335029233,44";"5429696967122,67";"684110893,52";"4723990924582,37";"604746216784980,00";"287573488940,83";"5123618867003,95";"45344238093259,60";"73897681559594,80";"143780811375,22";"1129631529381,55";"68445293514366,00";"195184580464,26";"140110400136620,00";"101806188996,03";;"2959532820556990,00"
""SkipJack"";"99601622676485,80";"19803319093368,10";"167238736636860,00";"69453332124478,20";"93254794756747,10";"2701615416,49";"43923211242717,70";"11429777964918,90";"77459638637897,20";"903771636751975,00";"380194961593435,00";"5265701928150450,00";"13134660785580,70";"394341220593671,00";"462172268961215,00";"3564449571,67";"611370391341,08";"562505729,51";"54362544447408,20";"154954839739153,00";"2847599957542,08";"535385784542,72";"155786989578560,00";"11398141003268,80";"753087686254,37";"639069126875,83";"7206086244631,43";"1369789280193,89";"91477560458818,70";"973666436476,98";;"8484404068675580,00"
""CatFish"";"76367931401595,40";"684924519534917,00";"3231274718691410,00";"674908095773790,00";"6344349205417720,00";"20614668784,17";"721586416867088,00";"24158526059007,00";"56426970357253,80";"1495693358779270,00";"261302198220971,00";"3651275358786340,00";"9836382467028,13";"239125766151265,00";"292758248276758,00";"725942459769,51";"8119969412043,55";"114560967886,33";"11338709715474500,00";"234319912033961,00";"0,00";"1633110904760,07";"136108475345121,00";"734754215158383,00";"53235228288951,40";"8407100618736,66";"43616081731434,40";"13103623224430,60";"42040206240589,80";"36791559811391,60";;"30415688013125100,00"
""DuskyKob"";"159235702031786,00";"5332445272446,96";"19664306855011,60";"13496696094449,60";"35876065580783,70";"4966534221,76";"88623111405299,10";"56869311896271,70";"22153637679585,70";"275417319935237,00";"108225043109532,00";"1547153420224520,00";"3747477243664,35";"112270835308650,00";"142054637100050,00";"3232728643,39";"1202828120415,76";"510156855,16";"8859305841955,32";"155289644302701,00";"0,00";"1120881598709,97";"49611587501349,20";"38818281907071,20";"173497404857,12";"1826385706925,19";"14975569399349,30";"38833131505,04";"29258992821773,10";"31803320987,14";;"2891336330214610,00"
""Bird"";"3355635285965490,00";"838582193622000,00";"3790125131395690,00";"1073486413703530,00";"7737471200270140,00";"171843933006,87";"3523160829696990,00";"10294503358357,50";"373429344213258,00";"5867306461655060,00";"1799995179598360,00";"26637955124474400,00";"63309597128606,60";"1832477774256460,00";"2095154795290120,00";"875874011856,94";"7118446313006,57";"138221663706,89";"12484019802467300,00";"309982509638720,00";"0,00";"92567739422,72";"944352683355153,00";"800188701997217,00";"62271288949609,00";"60985040305879,20";"24022974994622,80";"14629496410886,50";"15266051172,00";"40641305545824,50";;"73747889858005800,00"
""Leer"";"103695489205474,00";"1564993941938,80";"5681369111878,42";"4221878094681,19";"10134736542026,00";"1572114257,62";"27878712069148,90";"23838373703589,00";"5357826310099,14";"61169843638787,80";"26621747216482,90";"333044610974497,00";"923785580136,02";"27621936190737,10";"49778214255211,10";"1210499461,94";"1684804353891,76";"191028900,60";"438995032723,44";"189441347582792,00";"0,00";"1574976824776,95";"7159682017435,75";"14746764017637,30";"45247195109,35";"649110957651,32";"21023748463652,30";"15901660493,57";"40641305545824,50";"2809599965,82";;"958961183729262,00"


"WO3";""Phyto"";""MicroZoopl"";""Copyp"";""Mysid"";""UpoAfri"";""FishLarv"";""ZooplEater"";""BenthMicroAl"";""MeioFau"";""Det"";""Graz"";""SuspFeed"";""CalliaKra"";""Sol"";""Herb"";""MacrophSub"";""Grunter"";""MacrophSal"";""Epiph"";""BenthFeed"";""FreeWat"";""AttWat"";""SedBaci"";""CarnMac"";""Pisci"";""SkipJack"";""CatFish"";""DuskyKob"";""Bird"";""Leer"";;SUM
""Phyto"";"0";"0,05";"0,13";"0,12";"0,12";"0,00";"0,13";"0,08";"0,03";"0,12";"0,05";"0,08";"0,02";"0,05";"0,08";"0,00";"0,03";"0,00";"0,07";"0,15";"0,00";"0,02";"0,08";"0,12";"0,00";"0,02";"0,13";"0,00";"0,15";"0,00";;"1,83"
""MicroZoopl"";"0,05";"0";"0,07";"0,07";"0,07";"0,00";"0,07";"0,03";"0,02";"0,05";"0,03";"0,03";"0,00";"0,03";"0,03";"0,00";"0,00";"0,00";"0,05";"0,05";"0,00";"0,00";"0,03";"0,07";"0,02";"0,00";"0,02";"0,00";"0,03";"0,00";;"0,82"
""Copyp"";"0,13";"0,07";"0";"0,15";"0,15";"0,00";"0,15";"0,07";"0,02";"0,12";"0,03";"0,08";"0,00";"0,03";"0,08";"0,00";"0,02";"0,00";"0,08";"0,15";"0,00";"0,00";"0,07";"0,12";"0,02";"0,02";"0,10";"0,00";"0,12";"0,00";;"1,77"
""Mysid"";"0,12";"0,07";"0,15";"0";"0,12";"0,00";"0,15";"0,05";"0,02";"0,10";"0,03";"0,07";"0,00";"0,03";"0,07";"0,00";"0,02";"0,00";"0,07";"0,13";"0,00";"0,00";"0,05";"0,10";"0,02";"0,00";"0,08";"0,00";"0,10";"0,00";;"1,53"
""UpoAfri"";"0,12";"0,07";"0,15";"0,12";"0";"0,00";"0,15";"0,12";"0,07";"0,18";"0,07";"0,17";"0,03";"0,07";"0,13";"0,00";"0,02";"0,00";"0,17";"0,20";"0,00";"0,00";"0,13";"0,18";"0,03";"0,03";"0,10";"0,02";"0,15";"0,00";;"2,47"
""FishLarv"";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""ZooplEater"";"0,13";"0,07";"0,15";"0,15";"0,15";"0,00";"0";"0,07";"0,05";"0,13";"0,07";"0,10";"0,03";"0,07";"0,10";"0,00";"0,02";"0,00";"0,10";"0,17";"0,00";"0,00";"0,08";"0,13";"0,02";"0,00";"0,10";"0,00";"0,12";"0,00";;"2,00"
""BenthMicroAl"";"0,08";"0,03";"0,07";"0,05";"0,12";"0,00";"0,07";"0";"0,03";"0,13";"0,05";"0,15";"0,02";"0,05";"0,12";"0,00";"0,05";"0,00";"0,13";"0,20";"0,00";"0,02";"0,17";"0,22";"0,03";"0,03";"0,10";"0,02";"0,17";"0,00";;"2,10"
""MeioFau"";"0,03";"0,02";"0,02";"0,02";"0,07";"0,00";"0,05";"0,03";"0";"0,07";"0,05";"0,07";"0,03";"0,05";"0,07";"0,00";"0,02";"0,00";"0,07";"0,07";"0,00";"0,00";"0,07";"0,07";"0,02";"0,02";"0,03";"0,02";"0,03";"0,00";;"0,97"
""Det"";"0,12";"0,05";"0,12";"0,10";"0,18";"0,00";"0,13";"0,13";"0,07";"0";"0,08";"0,20";"0,03";"0,08";"0,18";"0,00";"0,05";"0,00";"0,17";"0,20";"0,00";"0,02";"0,17";"0,20";"0,03";"0,03";"0,10";"0,02";"0,15";"0,00";;"2,62"
""Graz"";"0,05";"0,03";"0,03";"0,03";"0,07";"0,00";"0,07";"0,05";"0,05";"0,08";"0";"0,08";"0,03";"0,08";"0,08";"0,00";"0,02";"0,00";"0,07";"0,08";"0,00";"0,02";"0,08";"0,08";"0,02";"0,00";"0,03";"0,00";"0,03";"0,00";;"1,18"
""SuspFeed"";"0,08";"0,03";"0,08";"0,07";"0,17";"0,00";"0,10";"0,15";"0,07";"0,20";"0,08";"0";"0,03";"0,08";"0,18";"0,00";"0,05";"0,00";"0,15";"0,23";"0,00";"0,02";"0,17";"0,20";"0,03";"0,03";"0,08";"0,02";"0,12";"0,00";;"2,43"
""CalliaKra"";"0,02";"0,00";"0,00";"0,00";"0,03";"0,00";"0,03";"0,02";"0,03";"0,03";"0,03";"0,03";"0";"0,03";"0,03";"0,00";"0,00";"0,00";"0,03";"0,03";"0,00";"0,00";"0,03";"0,03";"0,00";"0,00";"0,02";"0,00";"0,02";"0,00";;"0,47"
""Sol"";"0,05";"0,03";"0,03";"0,03";"0,07";"0,00";"0,07";"0,05";"0,05";"0,08";"0,08";"0,08";"0,03";"0";"0,08";"0,00";"0,02";"0,00";"0,07";"0,08";"0,00";"0,02";"0,08";"0,08";"0,02";"0,00";"0,03";"0,00";"0,03";"0,00";;"1,18"
""Herb"";"0,08";"0,03";"0,08";"0,07";"0,13";"0,00";"0,10";"0,12";"0,07";"0,18";"0,08";"0,18";"0,03";"0,08";"0";"0,00";"0,05";"0,00";"0,13";"0,17";"0,00";"0,02";"0,15";"0,17";"0,03";"0,03";"0,08";"0,02";"0,10";"0,00";;"2,20"
""MacrophSub"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Grunter"";"0,03";"0,00";"0,02";"0,02";"0,02";"0,00";"0,02";"0,05";"0,02";"0,05";"0,02";"0,05";"0,00";"0,02";"0,05";"0,00";"0";"0,00";"0,02";"0,05";"0,00";"0,02";"0,05";"0,05";"0,02";"0,02";"0,05";"0,02";"0,05";"0,00";;"0,68"
""MacrophSal"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Epiph"";"0,07";"0,05";"0,08";"0,07";"0,17";"0,00";"0,10";"0,13";"0,07";"0,17";"0,07";"0,15";"0,03";"0,07";"0,13";"0,00";"0,02";"0,00";"0";"0,18";"0,00";"0,00";"0,17";"0,20";"0,03";"0,03";"0,05";"0,02";"0,13";"0,00";;"2,18"
""BenthFeed"";"0,15";"0,05";"0,15";"0,13";"0,20";"0,00";"0,17";"0,20";"0,07";"0,20";"0,08";"0,23";"0,03";"0,08";"0,17";"0,00";"0,05";"0,00";"0,18";"0";"0,00";"0,02";"0,20";"0,25";"0,03";"0,03";"0,15";"0,02";"0,22";"0,00";;"3,07"
""FreeWat"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""AttWat"";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,02";"0,00";"0,02";"0,02";"0,02";"0,00";"0,02";"0,02";"0,00";"0,02";"0,00";"0,00";"0,02";"0,00";"0";"0,02";"0,02";"0,00";"0,00";"0,02";"0,00";"0,02";"0,00";;"0,22"
""SedBaci"";"0,08";"0,03";"0,07";"0,05";"0,13";"0,00";"0,08";"0,17";"0,07";"0,17";"0,08";"0,17";"0,03";"0,08";"0,15";"0,00";"0,05";"0,00";"0,17";"0,20";"0,00";"0,02";"0";"0,20";"0,03";"0,03";"0,08";"0,02";"0,15";"0,00";;"2,32"
""CarnMac"";"0,12";"0,07";"0,12";"0,10";"0,18";"0,00";"0,13";"0,22";"0,07";"0,20";"0,08";"0,20";"0,03";"0,08";"0,17";"0,00";"0,05";"0,00";"0,20";"0,25";"0,00";"0,02";"0,20";"0";"0,03";"0,03";"0,10";"0,02";"0,18";"0,00";;"2,85"
""Pisci"";"0,00";"0,02";"0,02";"0,02";"0,03";"0,00";"0,02";"0,03";"0,02";"0,03";"0,02";"0,03";"0,00";"0,02";"0,03";"0,00";"0,02";"0,00";"0,03";"0,03";"0,00";"0,00";"0,03";"0,03";"0";"0,02";"0,02";"0,02";"0,02";"0,00";;"0,50"
""SkipJack"";"0,02";"0,00";"0,02";"0,00";"0,03";"0,00";"0,00";"0,03";"0,02";"0,03";"0,00";"0,03";"0,00";"0,00";"0,03";"0,00";"0,02";"0,00";"0,03";"0,03";"0,00";"0,00";"0,03";"0,03";"0,02";"0";"0,03";"0,02";"0,03";"0,00";;"0,47"
""CatFish"";"0,13";"0,02";"0,10";"0,08";"0,10";"0,00";"0,10";"0,10";"0,03";"0,10";"0,03";"0,08";"0,02";"0,03";"0,08";"0,00";"0,05";"0,00";"0,05";"0,15";"0,00";"0,02";"0,08";"0,10";"0,02";"0,03";"0";"0,02";"0,15";"0,00";;"1,68"
""DuskyKob"";"0,00";"0,00";"0,00";"0,00";"0,02";"0,00";"0,00";"0,02";"0,02";"0,02";"0,00";"0,02";"0,00";"0,00";"0,02";"0,00";"0,02";"0,00";"0,02";"0,02";"0,00";"0,00";"0,02";"0,02";"0,02";"0,02";"0,02";"0";"0,02";"0,00";;"0,25"
""Bird"";"0,15";"0,03";"0,12";"0,10";"0,15";"0,00";"0,12";"0,17";"0,03";"0,15";"0,03";"0,12";"0,02";"0,03";"0,10";"0,00";"0,05";"0,00";"0,13";"0,22";"0,00";"0,02";"0,15";"0,18";"0,02";"0,03";"0,15";"0,02";"0";"0,00";;"2,28"
""Leer"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";;"0,00"

