TI3;"Cet""""";"Cape""""";"PiscSPela""""";"Shri""""";"Lzoopl""""";"Dolph""""";"Lcod""""";"Scod""""";"RedFish""""";"Ldem""""";"Sdem""""";"Lpela""""";"PlankSPela""""";"HarpSeal""""";"LGreenHal""""";"SGreenHal""""";"Plai""""";"Flou""""";"SCrus""""";"OBenthInv""""";"HoodSeal""""";"GreySeal""""";"Skate""""";"Bird""""";"Lcrus""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"Lcrus""""";0,07;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,07;0,07;0,02;0,07;0,07;0,02;0,07;0,07;0,07;0,07;0,02;0;0;0,03;0,02;0;0;0,03;0,05;0,07;0,07;;1,38
"Ldem""""";0,08;0,08;0,08;0,08;0,08;0,02;0,08;0,08;0,08;0;0,08;0,03;0,08;0,08;0,03;0,08;0,08;0,07;0,08;0,03;0;0,02;0,05;0,03;0,07;0,02;0,05;0,07;0,08;0,08;;1,82
"LGreenHal""""";0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0;0,03;0,03;0,02;0,03;0,03;0;0,02;0,03;0,03;0,02;0,02;0,03;0,03;0,03;0,03;;0,85
"Lpela""""";0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0;0,02;0,03;0,03;0,02;0,02;0,03;0,03;0,03;0,03;;0,85
"Lzoopl""""";0,08;0,15;0,1;0,12;0;0,02;0,08;0,08;0,1;0,08;0,1;0,03;0,25;0,08;0,03;0,08;0,08;0,07;0,1;0,03;0;0,02;0,05;0,03;0,07;0,03;0,3;0,33;0,35;0,32;;3,18
"Mollu""""";0,05;0,12;0,07;0,08;0,3;0,02;0,05;0,05;0,07;0,05;0,07;0,03;0,22;0,05;0,03;0,05;0,05;0,03;0,07;0,03;0;0,02;0,03;0,03;0,03;0,03;0;0,3;0,3;0,28;;2,52
"OBenthInv""""";0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0;0;0,02;0,03;0,03;0,02;0,02;0,03;0,03;0,03;0,03;;0,85
"Phyto""""";0,08;0,15;0,1;0,12;0,32;0,02;0,08;0,08;0,1;0,08;0,1;0,03;0,23;0,08;0,03;0,08;0,08;0,07;0,12;0,03;0;0,02;0,05;0,03;0,07;0,03;0,28;0,3;0,38;0;;3,17
"PiscSPela""""";0,08;0,1;0;0,1;0,1;0,02;0,08;0,08;0,1;0,08;0,1;0,03;0,1;0,08;0,03;0,08;0,08;0,07;0,1;0,03;0;0,02;0,05;0,03;0,07;0,02;0,07;0,08;0,1;0,1;;2
"Plai""""";0,08;0,08;0,08;0,08;0,08;0,02;0,08;0,08;0,08;0,08;0,08;0,03;0,08;0,08;0,03;0,08;0;0,07;0,08;0,03;0;0,02;0,05;0,03;0,07;0,02;0,05;0,07;0,08;0,08;;1,82
"PlankSPela""""";0,08;0,15;0,1;0,12;0,25;0,02;0,08;0,08;0,1;0,08;0,1;0,03;0;0,08;0,03;0,08;0,08;0,07;0,1;0,03;0;0,02;0,05;0,03;0,07;0,03;0,22;0,23;0,25;0,23;;2,82
"Polych""""";0,07;0,13;0,08;0,1;0,33;0,02;0,07;0,07;0,08;0,07;0,08;0,03;0,23;0,07;0,03;0,07;0,07;0,05;0,08;0,03;0;0,02;0,05;0,03;0,05;0,03;0,3;0;0,33;0,3;;2,88
"RedFish""""";0,08;0,1;0,1;0,1;0,1;0,02;0,08;0,08;0;0,08;0,1;0,03;0,1;0,08;0,03;0,08;0,08;0,07;0,1;0,03;0;0,02;0,05;0,03;0,07;0,02;0,07;0,08;0,1;0,1;;2
"Scod""""";0,08;0,08;0,08;0,08;0,08;0,02;0,08;0;0,08;0,08;0,08;0,03;0,08;0,08;0,03;0,08;0,08;0,07;0,08;0,03;0;0,02;0,05;0,03;0,07;0,02;0,05;0,07;0,08;0,08;;1,82
"SCrus""""";0,08;0,1;0,1;0,1;0,1;0,02;0,08;0,08;0,1;0,08;0,1;0,03;0,1;0,08;0,03;0,08;0,08;0,07;0;0,03;0;0,02;0,05;0,03;0,07;0,02;0,07;0,08;0,1;0,12;;2,02
"Sdem""""";0,08;0,1;0,1;0,1;0,1;0,02;0,08;0,08;0,1;0,08;0;0,03;0,1;0,08;0,03;0,08;0,08;0,07;0,1;0,03;0;0,02;0,05;0,03;0,07;0,02;0,07;0,08;0,1;0,1;;2
"SGreenHal""""";0,08;0,08;0,08;0,08;0,08;0,02;0,08;0,08;0,08;0,08;0,08;0,03;0,08;0,08;0,03;0;0,08;0,07;0,08;0,03;0;0,02;0,05;0,03;0,07;0,02;0,05;0,07;0,08;0,08;;1,82
"Shri""""";0,08;0,12;0,1;0;0,12;0,02;0,08;0,08;0,1;0,08;0,1;0,03;0,12;0,08;0,03;0,08;0,08;0,07;0,1;0,03;0;0,02;0,05;0,03;0,07;0,02;0,08;0,1;0,12;0,12;;2,12
"Skate""""";0,05;0,05;0,05;0,05;0,05;0,02;0,05;0,05;0,05;0,05;0,05;0,03;0,05;0,05;0,03;0,05;0,05;0,03;0,05;0,03;0;0,02;0;0,03;0,03;0,02;0,03;0,05;0,05;0,05;;1,18
"Szoopl""""";0,08;0,15;0,1;0,12;0,35;0,02;0,08;0,08;0,1;0,08;0,1;0,03;0,25;0,08;0,03;0,08;0,08;0,07;0,1;0,03;0;0,02;0,05;0,03;0,07;0,03;0,3;0,33;0;0,38;;3,25
