TI3;"MarMamm""""";"Tuna""""";"PelaSha""""";"PelaPred""""";"Spela""""";"Squid""""";"Zoopl""""";"Bird""""";"BenthFish""""";"FlatFish""""";"PhytoEater""""";"Mull""""";"Crab""""";"Scrus""""";"Turtle""""";"Cepha""""";"GastroBivalv""""";"Anne""""";"Echino""""";"BenthAlga""""";"BillFish""""";"BenthPred""""";"DemSha""""";"GroupSnap""""";"Ray""""";"Spar""""";"BenthFeed""""";"Shri""""";"MeioBenth""""";"Phyto""""";;SUM
"Scrus""""";0,01;0,01;0,02;0,02;0,05;0,02;0,03;0,05;0,03;0,05;0,02;0,07;0,05;0,04;0,03;0,05;0,05;0,06;0,05;0,06;0,01;0,03;0,03;0,05;0,03;0,05;0,05;0,06;0,07;0,07;;1,21
"Turtle""""";0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,03;0,04;0,04;0,04;0,04;0,04;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,01;;0,58
"Cepha""""";0,01;0,01;0,02;0,01;0,01;0,01;0,04;0,02;0,04;0,03;0,01;0,02;0,05;0,04;0,07;0,04;0,05;0,05;0,05;0,03;0;0,05;0,06;0,02;0,03;0,04;0,05;0,05;0,03;0,02;;0,94
"GastroBivalv""""";0,01;0,01;0,02;0,01;0,02;0,01;0,04;0,02;0,04;0,05;0,02;0,03;0,05;0,05;0,08;0,06;0,04;0,06;0,06;0,06;0,01;0,02;0,03;0,02;0,06;0,05;0,05;0,06;0,07;0,06;;1,19
"Anne""""";0,01;0;0,02;0,01;0,01;0,01;0,02;0,02;0,04;0,05;0,02;0,06;0,05;0,05;0,07;0,06;0,06;0,04;0,06;0,06;0;0,03;0,03;0,02;0,06;0,04;0,05;0,05;0,08;0,02;;1,11
"Echino""""";0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,02;0,04;0,05;0,02;0,03;0,05;0,05;0,07;0,06;0,05;0,06;0,04;0,06;0,01;0,03;0,06;0,04;0,06;0,05;0,05;0,03;0,07;0,02;;1,1
"BenthAlga""""";0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,02;0,02;0,02;0,04;0,06;0,04;0,05;0,07;0,03;0,05;0,05;0,05;0,04;0,01;0,02;0,02;0,02;0,03;0,04;0,04;0,05;0,07;0,03;;0,97
"BillFish""""";0,04;0,07;0,04;0,05;0,05;0,05;0,01;0,02;0,01;0;0,02;0;0;0;0;0;0;0;0;0;0,04;0,01;0;0,01;0;0,01;0;0;0;0,01;;0,47
"BenthPred""""";0,01;0,01;0,04;0,02;0,01;0,01;0,02;0,02;0,04;0,04;0,05;0,05;0,04;0,02;0,02;0,04;0,02;0,02;0,02;0,02;0,01;0,03;0,06;0,04;0,02;0,04;0,04;0,02;0,01;0,02;;0,81
"DemSha""""";0,01;0,01;0,04;0,02;0,01;0,01;0,02;0,02;0,04;0,04;0,02;0,02;0,04;0,02;0,02;0,05;0,02;0,02;0,04;0,02;0,01;0,06;0,03;0,04;0,05;0,04;0,04;0,02;0,02;0,01;;0,79
"GroupSnap""""";0,03;0,03;0,05;0,06;0,05;0,03;0,04;0,03;0,05;0,05;0,06;0,06;0,04;0,05;0,02;0,03;0,02;0,03;0,05;0,03;0,03;0,06;0,06;0,04;0,03;0,05;0,05;0,05;0,03;0,03;;1,21
"Ray""""";0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,04;0,04;0,01;0,02;0,04;0,02;0,02;0,02;0,04;0,05;0,05;0,02;0,01;0,02;0,05;0,02;0,03;0,02;0,04;0,04;0,06;0,01;;0,8
"Spar""""";0,03;0,02;0,05;0,06;0,05;0,02;0,04;0,03;0,05;0,05;0,03;0,03;0,05;0,05;0,04;0,06;0,05;0,05;0,06;0,05;0,03;0,06;0,07;0,05;0,04;0,04;0,06;0,05;0,03;0,03;;1,33
"BenthFeed""""";0,01;0,01;0,04;0,02;0,02;0,01;0,04;0,02;0,05;0,03;0,02;0,03;0,05;0,05;0,04;0,06;0,05;0,05;0,06;0,05;0,01;0,06;0,06;0,05;0,06;0,05;0,04;0,05;0,03;0,02;;1,16
"Shri""""";0,01;0,01;0,02;0,01;0,02;0,01;0,04;0,02;0,04;0,05;0,02;0,03;0,05;0,05;0,03;0,05;0,06;0,05;0,03;0,06;0,01;0,03;0,03;0,04;0,06;0,04;0,05;0,04;0,07;0,06;;1,1
"MeioBenth""""";0;0;0,01;0;0,01;0;0,01;0,01;0,02;0,04;0,01;0,05;0,02;0,04;0,02;0,02;0,04;0,05;0,04;0,05;0;0,01;0,01;0,01;0,05;0,02;0,02;0,04;0,03;0,02;;0,66
"Phyto""""";0,02;0,02;0,01;0,02;0,04;0,05;0,03;0,02;0,01;0,01;0,05;0,05;0,01;0,04;0,01;0,01;0,03;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,03;;0,64
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"MarMamm""""";"Tuna""""";"PelaSha""""";"PelaPred""""";"Spela""""";"Squid""""";"Zoopl""""";"Bird""""";"BenthFish""""";"FlatFish""""";"PhytoEater""""";"Mull""""";"Crab""""";"Scrus""""";"Turtle""""";"Cepha""""";"GastroBivalv""""";"Anne""""";"Echino""""";"BenthAlga""""";"BillFish""""";"BenthPred""""";"DemSha""""";"GroupSnap""""";"Ray""""";"Spar""""";"BenthFeed""""";"Shri""""";"MeioBenth""""";"Phyto""""";;SUM
"MarMamm""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Tuna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PelaSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PelaPred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Spela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Squid""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"FlatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PhytoEater""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mull""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Crab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Scrus""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cepha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"GastroBivalv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Anne""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Echino""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthAlga""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BillFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthPred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"GroupSnap""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Spar""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Shri""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"MarMamm""""";"Tuna""""";"PelaSha""""";"PelaPred""""";"Spela""""";"Squid""""";"Zoopl""""";"Bird""""";"BenthFish""""";"FlatFish""""";"PhytoEater""""";"Mull""""";"Crab""""";"Scrus""""";"Turtle""""";"Cepha""""";"GastroBivalv""""";"Anne""""";"Echino""""";"BenthAlga""""";"BillFish""""";"BenthPred""""";"DemSha""""";"GroupSnap""""";"Ray""""";"Spar""""";"BenthFeed""""";"Shri""""";"MeioBenth""""";"Phyto""""";;SUM
"MarMamm""""";15656760,96;44735099,93;142492,92;6945863,18;1960912134;316216026,5;3973748516;539509,34;1611414,29;1438449,59;2451008513;24033300,03;13165736,38;101682490,3;331044,67;25275167,58;309100014,1;17767355,43;1534300,72;198778349,2;919909,43;74737,7;70068;209149,19;25568,98;2825290,83;11499539,48;41459568,98;13750547,09;4879853946;;14415310864
"Tuna""""";52190949,92;117920363;551690,52;16978138,8;11228205904;1433437676;25720234043;2169097,35;6864569,93;6326395,65;15976718043;150481562,1;53331221,7;658770276,5;1525616,99;110234844,6;1941929207;105908140,6;23804661,06;856100901,8;3700001,02;314329,92;328095,33;834941,4;128226,76;12927438,68;50828068,4;258339417,1;88788430,24;20468462858;;79348335110
"PelaSha""""";379981,12;1261006,91;3056,29;205924,78;29178182,25;5386418,17;56736376,88;10253,85;42806,17;26672,36;34078094,24;344304,19;286752,65;1634639,51;5756,93;449666,43;4426465,05;292822,83;29532,48;3444243,38;18520,32;5404,79;2838,12;4228,25;1345,02;51962,32;224935,06;603862,11;314917,46;85697143,19;;225148113,1
"PelaPred""""";11576438,63;24254484,01;128702,99;3456904,6;3221945065;365388318,8;7814516891;515654,88;1639081,21;1475039,41;4852575092;45024665,02;12832986,03;202887294,3;385857,9;26661445,54;581222805,3;29758697,13;9440832,08;207006395,8;872181,98;80108,42;82498,61;199228,79;26685,13;3234511,08;12108570,36;76762097,54;25940933,75;4969684057;;22501683525
"Spela""""";4248642958;20852382393;23707273,07;4188528585;2,68896E+11;63142715406;4,82398E+11;133924526,8;654969873,3;245667678,7;2,77022E+11;3060171855;3611797751;16524935506;78199535,6;5143073838;38257358594;2988308498;1164597825;43014763280;130805768;53196772,36;2078930,78;51720137,77;15377832,79;567375442,6;2731649268;5155264214;4381535095;1,16138E+12;;2,41012E+12
"Squid""""";579729382;2252544920;3703162,49;401927150,7;53428451498;5086192452;1,56173E+11;9822543,71;40051711,39;13842097,18;92539603436;831063942,6;357377819,4;4596837614;5231492,85;265440144,6;10747961531;574475537,9;308267760,6;2065452893;21077430,98;4168504,72;716910,63;3787183;1290097,47;40231550,09;157674653,2;1412620113;646921331,9;61789113858;;3,94358E+11
"Zoopl""""";12583536967;69812063830;67374447,54;14847582094;7,05043E+11;2,69753E+11;3,19637E+11;568340705,1;2843694238;1191339242;1,62634E+11;4551185210;13536949051;17962398569;346673254,5;24537800665;52201049011;7615433144;654102274,5;2,07028E+11;374448346;208563462,3;6099370,44;219193022,4;61033413,73;2518848271;12577734616;7637887653;13008191599;5,39831E+12;;7,32234E+12
"Bird""""";989100,45;3408581,55;7049,52;567220,36;113320753,5;9822543,71;329039355,6;16993,66;109158,81;61229,63;197234676;1813684,68;819002,81;10916482,17;12207,98;621160,97;23322044,08;2194175,17;1101656,24;4917033,14;41388,98;11265,22;4500,4;6933,23;4745,5;122935,23;466860,5;3220064,93;2627848,42;106778853,3;;813579505,6
"BenthFish""""";5371380,98;19613056,93;53507,72;3278162,43;1007645959;72821293,43;2993362356;198470,57;5387737,08;5706154,8;1805464886;21954903,84;34580356,73;233871763,6;428684,65;18425113,45;284104681,8;213783048;74827190,44;200223456,8;207666,42;1743843,91;578570,97;145141,33;503755,95;5961300,27;24236572,32;70681834,45;180341818;763836075,8;;8049338743
"FlatFish""""";4075607,17;15364103,73;28339,39;2507567;321257733,7;21392332;1065935112;94627,61;4850231,58;4001147,66;622094089,5;11038103,45;26272686,62;182726869,7;319825,72;12192069,87;126144968,8;143364396,9;60079910,17;137084854,5;134000,26;640631,63;238524,42;69575,82;317480,07;4897496,32;19088520,44;37299916,46;161681005,6;196066386,9;;3181258114
"PhytoEater""""";4493515607;25106271210;23428689,79;5337832601;2,34403E+11;92539603436;94156284390;197234676;993005687,1;402531469,7;44090028405;1460361075;4726691657;6018810901;119274042,1;8392375975;16546135580;2500499056;253513360;70980144635;128456937,8;73046470,23;1042646,09;76020843,59;21282495,56;859962853,3;4320676998;2423204960;4489901302;1,86213E+12;;2,48727E+12
"Mull""""";40055500,05;214973660,1;215190,12;45024665,02;2353978350;755512675,1;2395360637;1648804,25;10977451,92;6493002,03;1327600977;22400100,45;56739306,74;166850253,9;1094644,45;75030008,9;269109967,6;106811538,1;26584072,89;676331489,9;1177026,14;782243,89;177000,09;644145,43;398077,78;9972626,38;48378009,86;52055761,92;137264239,2;14830630590;;23634272016
"Crab""""";41691498,53;144756173,2;340518,77;24382673,45;5278781328;617288960,8;13536949051;1414641,22;32851338,89;29363590,93;8164285589;107804682,8;177900212,9;1283969390;2344356,58;117360718;1342137881;945296088,1;367362063,5;1234994525;1883000,96;5144122,29;2066153,7;794058,61;2306512,5;33872867,71;134461657,6;324715905,6;961653200,7;8719179279;;43637352040
"Scrus""""";271153307,5;1505760632;1634639,51;324619670,9;20338382161;6686309257;15126230374;15878519,52;187097410,8;171978230,3;8754634037;266960406,2;1081237381;3648837306;15106626,63;971250035,8;3138971442;4202129904;1091036750;9982712502;8802723,2;17290227,48;7696051,86;6619567,72;11040574,63;195116471,6;886053414,4;1108201295;4611704647;1,33282E+11;;2,17917E+11
"Turtle""""";441392,89;1743562,28;2878,47;308686,32;48122791,14;3804722,08;145967686,1;8878,53;171473,86;150506,22;86744757,91;875715,56;987097,51;7553313,31;9341,68;565319,61;11494888,46;4265288,63;1384025,49;6191491,59;15100,99;31592,75;11632,63;4594,71;13118,24;156068,96;681921,41;2228067,93;4362214,64;41148099,3;;369446229,2
"Cepha""""";54762863,09;204721854,2;365353,98;34659879,2;5143073838;313701989;16789021507;734099,33;11976323,74;9323347,55;9918262516;97539011,57;80299438,61;789140654,1;918644,37;33317539,45;1260215744;392825252,8;164540936,4;325501572,2;1884666,04;3324160,22;1023723,28;411440,93;966998,32;11701880,44;45851565,22;219342658,8;361367659,6;2114412854;;38385189972
"GastroBivalv""""";824266704,1;4438695331;4426465,05;929956488,5;47085979808;15633398590;43958778115;33922973,2;227283745,5;118724676,5;24067106298;430575948,1;1130221373;3138971442;22989776,92;1551034762;5061059866;1811789548;487821830,4;13509464879;24121184,05;16306003,04;3233191,86;13285304,52;7749006,5;200669188,7;994436909,7;919387621,3;2659277983;3,08162E+11;;4,77467E+11
"Anne""""";44418388,58;226946015,5;274521,4;44638045,7;3448048267;783375733,5;6012184061;2992057,04;160337286;126497997,3;3409771440;160217307,1;746286385,3;3939496785;7997416,18;453259907;1698552701;3096922054;1099145178;4950477267;1260481,02;8074593,27;6436948,16;1699570,54;9558378,39;143353117,8;676220555,2;744581893,1;4399818001;15792899624;;52195741977
"Echino""""";3835751,79;51009987,98;27686,7;14161248,13;1343766721;420365128,1;516396532,5;1502258,51;56120392,83;53011685,45;345700036,3;39876109,34;290022681,7;1022846953;2595047,79;189854926,6;457332966;1099145178;236407067,3;2180846150;75857,89;2118831,21;2595332,05;674984,38;3726607,69;52356249,87;263611684,1;264764528,3;1530187640;9218227920;;19663164145
"BenthAlga""""";430686423,3;1589901675;2798447,75;269108314,6;43014763280;2440989783;1,41651E+11;5811039,17;130145246,9;104829594,6;83885625478;879230936,9;844996254,1;8110953908;10061173,83;325501572,2;10976440214;4290413632;1890066664;3621153171;15114223,67;18697324,99;6570215,53;3099841,93;8653027,08;137962233,4;497808388,2;1997057757;4588529570;14401838505;;3,26149E+11
"BillFish""""";766591,19;2642857,87;5787,6;436090,99;50309910,77;9580650,45;98539038,43;18813,17;51916,61;39411,84;58389517,2;588513,07;495526,57;2750851;9438,12;724871,55;7537870,02;420160,34;25285,96;5813162,95;35145,48;2981,15;1912,44;7364,75;609,12;80361,84;324528,7;1008845,64;317544,97;152810070,6;;393735630,4
"BenthPred""""";137019,11;493947,01;3715,79;88119,26;45012653,53;4168504,72;120747267,6;11265,22;959114,15;414526,35;73046470,23;860468,28;2978176,06;11887031,39;43440,03;2812750,96;11210377,09;5921368,4;1553809,56;15820813,46;6558,53;168359,68;84687,08;12841,99;65677,27;575008,51;4229738,92;2633781,51;14876028,98;62238725,27;;383062246
"DemSha""""";128458,01;515578,38;1951,21;90748,47;1759095,27;716910,63;3531214,47;4500,4;318214,04;154339,33;1042646,09;194700,1;1196194,24;5291035,65;15994,87;866227,39;2222819,41;4720428,65;1903243,51;5559413,14;4207,37;84687,08;30000,39;5563,64;24031,02;223867,9;1139179,87;987253,14;6321468,95;15459783,16;;54513755,76
"GroupSnap""""";557731,16;1908437,48;4228,25;318766,07;63655554,18;5508629,82;184583597,8;10084,7;116113,06;65483,12;110575772,5;1030632,69;668680,93;6619567,72;9189,42;506388,83;13285304,52;1812875,24;719983,34;3815190,07;23567,19;18679,26;8092,56;4590,91;6817,71;105264,41;520231,34;1944628,81;2474178,97;60515013,84;;461393275,9
"Ray""""";46876,47;201499,19;924,7;29353,64;13012012,36;1290097,47;35335134,26;4745,5;277065,77;205428,28;21282495,56;437885,55;1335349,34;7590395,06;18037,58;818229,35;5327441,97;7009477,48;2732845,64;7321792,15;1340,06;65677,27;24031,02;4687,18;21806,17;250235,86;1176589,08;1782554,06;7533992,85;19178340,82;;134316341,7
"Spar""""";8475872,48;33241985,17;58457,61;5822119,94;785596766,6;65833445,6;2386277309;201166,74;5365170,24;5185584,34;1407211942;17950727,48;32090085,2;219506030,6;351155,16;16202603,69;225752837,3;172023741,4;62827499,84;191024630,8;289302,64;940923,01;366329,3;118422,46;409476,87;5545369,19;22008592,14;56871405,97;170464694,1;766780592,7;;6664794239
"BenthFeed""""";30665438,6;116178442,1;224935,06;19373712,57;3362029868;229344950,1;10591776519;679069,82;19389257,85;17965666,3;6284621089;77404815,78;113230869,6;886053414,4;1363842,81;56432695,65;994436909,7;721301925,6;281185796,4;612687247,1;1038491,85;6152347,52;1656988,9;520231,34;1711402,3;19563193,02;67930546,68;241384649,2;604698660,5;2047152716;;27408155693
"Shri""""";103648922,5;553584465,3;566120,73;115143146,3;5948381786;1926300154;6029911305;4390997,64;53011375,84;32911691;3304370399;78083642,88;256354662,3;1038938714;4177627,38;253087683,2;861925895;744581893,1;264764528,3;2304297412;3026536,93;3591520,24;1346254,29;1823089,51;2430755,53;47392838,31;226298108,6;222035258,9;1074197006;38041226773;;63501800563
"MeioBenth""""";20625820,63;114156553,2;177141,07;23346840,38;3033370450;529299271,6;6161774968;2150057,8;81153818,1;85595826,49;3673555611;123537815,3;455519937,2;2594083864;4907491,47;250177610,5;1495843865;2639890801;918112583,8;3176674318;571580,94;12171296,44;5172110,96;1391725,67;6164175,97;85232347,07;340142996,5;644518203,7;2608330304;10016454049;;39104103434
"Phyto""""";6506471928;23392528980;42848571,6;3975747245;7,14696E+11;44937537351;2,27297E+12;77657347,84;305534430,3;92266535;1,35428E+12;11864504472;3671233381;66641211049;41148099,3;1301177141;1,54081E+11;8422879799;4916388224;8862669849;244496113;45264527,47;11243478,66;30257506,92;13947884,23;340791374,5;1023576358;20288654279;8903514710;3,18755E+11;;5,03074E+12
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"MarMamm""""";"Tuna""""";"PelaSha""""";"PelaPred""""";"Spela""""";"Squid""""";"Zoopl""""";"Bird""""";"BenthFish""""";"FlatFish""""";"PhytoEater""""";"Mull""""";"Crab""""";"Scrus""""";"Turtle""""";"Cepha""""";"GastroBivalv""""";"Anne""""";"Echino""""";"BenthAlga""""";"BillFish""""";"BenthPred""""";"DemSha""""";"GroupSnap""""";"Ray""""";"Spar""""";"BenthFeed""""";"Shri""""";"MeioBenth""""";"Phyto""""";;SUM
"Anne""""";0,07;0,12;0;0,07;0,2;0,13;0,18;0;0,07;0,02;0,18;0,08;0,15;0,2;0;0,1;0,18;0;0,1;0,2;0;0;0;0;0;0,07;0,1;0,15;0,17;0,2;;2,73
"BenthAlga""""";0,07;0,12;0;0,07;0,25;0,18;0,23;0;0,07;0,02;0,23;0,08;0,15;0,23;0;0,1;0,22;0,2;0,1;0;0;0;0;0;0;0,07;0,1;0,15;0,17;0,25;;3,05
"BenthFeed""""";0,07;0,08;0;0,07;0,1;0,1;0,1;0;0,07;0,02;0,1;0,07;0,1;0,1;0;0,1;0,1;0,1;0,05;0,1;0;0;0;0;0;0,07;0;0,1;0,1;0,1;;1,78
"BenthFish""""";0,07;0,07;0;0,07;0,07;0,07;0,07;0;0;0,02;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,03;0,07;0;0;0;0;0;0,07;0,07;0,07;0,07;0,07;;1,32
"BenthPred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BillFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cepha""""";0,07;0,08;0;0,07;0,1;0,1;0,1;0;0,07;0,02;0,1;0,07;0,1;0,1;0;0;0,1;0,1;0,05;0,1;0;0;0;0;0;0,07;0,1;0,1;0,1;0,1;;1,78
"Crab""""";0,07;0,1;0;0,07;0,15;0,12;0,15;0;0,07;0,02;0,15;0,07;0;0,15;0;0,1;0,15;0,15;0,1;0,15;0;0;0;0;0;0,07;0,1;0,13;0,15;0,15;;2,35
"DemSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
