Species                      Kbu       Ktd      Kdir    Kindir         K
LgOcePlank               0.05809   0.95843   0.70460   0.31192   1.01652
PelCoasPisc              0.39411   6.63631   3.67651   3.35391   7.03041
CostSha                  0.04167  18.90521   3.66554  15.28133  18.94687
LgOcePisc                0.00000  41.07007   4.96311  36.10696  41.07007
RaySkate                 0.12026   1.87359   1.18591   0.80794   1.99385
LgGroup                  0.08025  13.52673   4.12465   9.48233  13.60698
PelOcePisc               0.08168   4.09614   1.32866   2.84915   4.17781
Dolph                    0.00000   5.09146   1.97995   3.11152   5.09146
Amack                    0.17858   6.03255   1.80518   4.40595   6.21113
StrAssCoasPisc           0.20444   7.71492   3.13328   4.78608   7.91936
NeaAssPisc               0.24399   3.26425   1.48359   2.02464   3.50824
Jmack                    0.28930   1.71114   0.87475   1.12569   2.00044
SardHerr                 1.89959   0.96857   2.05129   0.81687   2.86816
Bird                     0.00000   3.12354   1.16822   1.95532   3.12354
PelOceJelly              0.47682   0.61150   0.73363   0.35469   1.08832
PelOcePlank              0.88923   0.86614   1.35248   0.40289   1.75537
DemCoasPisc              0.30411   1.74590   1.19905   0.85096   2.05001
DemCoasInv               1.03515   2.46786   2.35501   1.14800   3.50301
StrAssCoasInv            0.84118   2.70378   2.30836   1.23660   3.54496
Squid                    1.64171   1.33056   2.15945   0.81281   2.97227
DemOceInv                0.25576   1.11768   0.75825   0.61520   1.37345
BentOcePisc              0.08819   3.01338   1.34580   1.75576   3.10156
BentCoasPisc             0.46144   2.32689   1.48129   1.30704   2.78833
Octo                     0.45807   0.93356   0.88329   0.50834   1.39163
DemCoasOmn               0.78736   1.12620   1.36715   0.54640   1.91356
BentOceInv               0.38501   1.27265   1.01339   0.64427   1.65766
BentCoasInv              1.33576   0.82118   1.53796   0.61898   2.15694
Stoma                    0.85878   0.84745   1.17583   0.53041   1.70624
SurfPela                 0.28475   0.46029   0.57901   0.16603   0.74504
StrAssCoasOmn            0.90378   0.60316   1.12794   0.37900   1.50694
Lobs                     0.59605   0.91422   0.97651   0.53376   1.51027
StrAssCoasPlank          0.08819   0.60465   0.45528   0.23755   0.69283
Mull                     0.59449   0.24778   0.71677   0.12549   0.84226
NeaPlank                 1.97820   0.48271   1.71953   0.74137   2.46091
Ofish                    2.17831   1.27728   2.37185   1.08374   3.45559
Ashri                    3.01900   0.48679   2.04958   1.45622   3.50580
Lcrab                    2.54684   0.64662   2.09049   1.10297   3.19346
Turtle                   0.00000   0.64350   0.48456   0.15894   0.64350
EchinoLGastro            3.33419   0.76386   2.39588   1.70217   4.09805
Bivalv                   2.49850   0.28985   1.51064   1.27770   2.78835
SessEpiBenth             3.62535   0.94955   2.46175   2.11315   4.57490
SInFau                   5.69477   0.28985   2.60910   3.37552   5.98462
SMobEpiFau               6.16247   0.52200   3.44333   3.24114   6.68447
MeioFau                  6.78259   0.12608   1.79389   5.11478   6.90867
Scopep                   6.33979   0.20942   2.14262   4.40658   6.54920
OMesoZoopl               5.52053   0.28500   2.52937   3.27617   5.80554
CarnZoopl                3.91076   0.46901   2.47733   1.90244   4.37978
IchthyoPl                2.58578   0.34619   1.21244   1.71953   2.93197
CarnJelly                1.37082   0.28736   0.96174   0.69644   1.65818
MicroHetero             15.45020   0.12879   3.00700  12.57199  15.57899
MicroAlga                4.98209   0.00000   2.47679   2.50531   4.98209
Mana                     0.00000   0.07143   0.07143   0.00000   0.07143
MicroPhytoBenth         23.92734   0.00000   3.83668  20.09067  23.92734
Phyto                   19.29270   0.00000   2.71905  16.57365  19.29270
Grass                    2.79787   0.00000   0.96326   1.83461   2.79787
