TI3;"Dolph""""";"PelCoasPisc""""";"Jmack""""";"SardHerr""""";"PelOcePlank""""";"DemCoasOmn""""";"BentCoasInv""""";"SurfPela""""";"StrAssCoasOmn""""";"NeaAssPisc""""";"Mull""""";"NeaPlank""""";"Ofish""""";"Squid""""";"Lobs""""";"Lcrab""""";"Octo""""";"EchinoLGastro""""";"Bivalv""""";"CarnZoopl""""";"Bird""""";"DemCoasPisc""""";"DemCoasInv""""";"Turtle""""";"SessEpiBenth""""";"CarnJelly""""";"MicroAlga""""";"MicroPhytoBenth""""";"Mana""""";"LgOcePisc""""";"CostSha""""";"RaySkate""""";"PelOcePisc""""";"Amack""""";"PelOceJelly""""";"BentCoasPisc""""";"StrAssCoasPisc""""";"LgGroup""""";"StrAssCoasInv""""";"Ashri""""";"LgOcePlank""""";"Scopep""""";"OMesoZoopl""""";"Grass""""";"BentOceInv""""";"SInFau""""";"SMobEpiFau""""";"Stoma""""";"IchthyoPl""""";"DemOceInv""""";"MeioFau""""";"BentOcePisc""""";"StrAssCoasPlank""""";"Phyto""""";"MicroHetero""""";;SUM;
TO3;"Dolph""""";"PelCoasPisc""""";"Jmack""""";"SardHerr""""";"PelOcePlank""""";"DemCoasOmn""""";"BentCoasInv""""";"SurfPela""""";"StrAssCoasOmn""""";"NeaAssPisc""""";"Mull""""";"NeaPlank""""";"Ofish""""";"Squid""""";"Lobs""""";"Lcrab""""";"Octo""""";"EchinoLGastro""""";"Bivalv""""";"CarnZoopl""""";"Bird""""";"DemCoasPisc""""";"DemCoasInv""""";"Turtle""""";"SessEpiBenth""""";"CarnJelly""""";"MicroAlga""""";"MicroPhytoBenth""""";"Mana""""";"LgOcePisc""""";"CostSha""""";"RaySkate""""";"PelOcePisc""""";"Amack""""";"PelOceJelly""""";"BentCoasPisc""""";"StrAssCoasPisc""""";"LgGroup""""";"StrAssCoasInv""""";"Ashri""""";"LgOcePlank""""";"Scopep""""";"OMesoZoopl""""";"Grass""""";"BentOceInv""""";"SInFau""""";"SMobEpiFau""""";"Stoma""""";"IchthyoPl""""";"DemOceInv""""";"MeioFau""""";"BentOcePisc""""";"StrAssCoasPlank""""";"Phyto""""";"MicroHetero""""";;SUM;%
"Amack""""";0,02;0,02;0,01;0,01;0,01;0;0;0;0;0,01;0;0,01;0,02;0,01;0,01;0;0;0;0;0,01;0,01;0;0;0;0;0;0,01;0,01;0;0,02;0;0;0;0;0,01;0;0,02;0,02;0;0,01;0;0;0,02;0,01;0;0,01;0,02;0;0,01;0;0;0;0;0,01;0;;0,3;0,005602241
"Ashri""""";0,01;0,09;0,01;0,09;0,02;0,05;0,07;0;0,03;0,01;0,01;0,05;0,14;0,1;0,01;0,14;0,02;0,13;0,03;0,04;0;0,02;0,15;0;0,06;0;0,02;0,04;0;0,05;0,08;0;0,01;0,01;0,01;0,03;0,13;0,09;0,14;0;0;0;0,03;0;0,02;0,11;0,19;0,04;0,01;0,01;0;0,01;0;0;0,01;;2,28;0,042577031
"BentCoasInv""""";0,01;0,04;0;0,05;0,02;0,05;0;0;0,01;0,02;0,01;0,04;0,06;0,05;0;0,08;0,02;0,06;0,03;0,03;0;0,02;0,08;0;0,03;0;0;0,04;0;0,03;0,05;0,02;0;0;0;0,03;0,05;0,05;0,05;0,07;0;0;0,01;0;0,01;0,06;0,08;0,02;0;0,01;0,01;0;0;0;0,01;;1,29;0,024089636
"BentCoasPisc""""";0,01;0,03;0;0,01;0,01;0,01;0,03;0;0;0;0;0,01;0,02;0,01;0;0,04;0,01;0,03;0;0;0;0,01;0,03;0;0,01;0;0;0,02;0;0,01;0,03;0,01;0,01;0;0;0;0,03;0,03;0,05;0,03;0;0;0;0;0,01;0,03;0,03;0,02;0;0,01;0;0;0;0;0,01;;0,55;0,010270775
"BentOceInv""""";0;0;0;0,01;0;0,01;0,01;0;0,01;0;0,01;0;0,02;0;0,01;0,01;0;0,01;0;0;0;0,01;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,01;0,02;0;0;0;0;0;0,01;0,02;0,01;0;0,01;0;0;0;0;0;;0,22;0,00410831
"BentOcePisc""""";0;0,01;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0;0,01;0;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0;0;;0,1;0,001867414
"Bird""""";0,01;0,01;0;0;0;0;0;0;0;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0,01;0;;0,09;0,001680672
"Bivalv""""";0;0;0;0,02;0;0,02;0,03;0;0,02;0;0,01;0,02;0,02;0,02;0,01;0,06;0,02;0,06;0;0,02;0;0;0,04;0;0,07;0,01;0,01;0,04;0;0,02;0,02;0,02;0;0;0;0;0,02;0,03;0,03;0,03;0;0,02;0,02;0;0;0,06;0,06;0,02;0,02;0;0,02;0;0;0,01;0,02;;0,88;0,01643324
"CarnJelly""""";0;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0,02;0;0,01;0;0,01;0,01;0,02;0;0;0;0;0,01;0;0,01;0,01;0;0,01;0,01;0;0,01;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0;0;0;0,01;0;0;0;0;0;0;;0,2;0,003734827
"CarnZoopl""""";0,01;0,06;0,01;0,08;0,05;0,04;0,03;0;0;0,01;0,01;0,05;0,09;0,1;0,02;0,03;0;0,05;0,02;0;0;0;0,05;0,01;0,06;0,02;0;0,04;0;0,04;0,03;0;0,02;0,01;0,03;0;0,05;0,03;0,04;0,04;0,01;0,06;0,09;0,01;0;0,04;0,06;0,01;0,05;0;0,01;0;0;0,02;0,04;;1,48;0,027637722
"CostSha""""";0,02;0,08;0;0,05;0,03;0,01;0,05;0;0,01;0;0;0,04;0,08;0,08;0;0,07;0,02;0,06;0,02;0,03;0;0,01;0,09;0;0,04;0,01;0;0,02;0;0,06;0;0,02;0,03;0;0;0,03;0,08;0,07;0,09;0,08;0;0;0,01;0;0;0,05;0,09;0,03;0,01;0;0,01;0;0;0;0,01;;1,49;0,027824463
"DemCoasInv""""";0,02;0,12;0;0,13;0,04;0,07;0,08;0;0,02;0,01;0,02;0,06;0,23;0,14;0,01;0,15;0,02;0,15;0,04;0,05;0;0,02;0;0;0,1;0;0,02;0,05;0;0,05;0,09;0,03;0,03;0;0,01;0,03;0,14;0,08;0,26;0,15;0;0,03;0,04;0;0,01;0,13;0,25;0,02;0,01;0;0,01;0;0;0,01;0,04;;2,94;0,054901961
"DemCoasOmn""""";0,01;0,03;0;0,07;0,03;0;0,05;0;0,01;0,02;0,02;0,05;0,05;0,05;0,01;0,05;0,01;0,05;0,02;0,04;0;0,01;0,07;0;0,03;0;0,01;0,04;0;0,01;0,01;0;0;0;0;0,01;0,02;0,01;0,03;0,05;0;0;0,02;0;0,01;0,04;0,05;0,01;0,01;0;0;0;0;0;0,02;;0,99;0,018487395
"DemCoasPisc""""";0;0,01;0;0,02;0,02;0,01;0,02;0;0;0,01;0,01;0,02;0,02;0,01;0;0,01;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0,01;0,01;0;0,01;0;0;0,01;0,02;0,01;0,02;0,02;0;0;0;0;0,01;0,01;0,02;0;0;0,01;0;0;0;0;0;;0,31;0,005788982
"DemOceInv""""";0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;;0,11;0,002054155
"Dolph""""";0;0,04;0;0,02;0,01;0,01;0,01;0;0;0,01;0;0,03;0,02;0,02;0,01;0,01;0;0;0;0,01;0,01;0;0,02;0;0;0;0,01;0,01;0;0,03;0,02;0;0,01;0,02;0;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0;0,01;0,03;0;0;0;0;0;0;0,01;0;;0,41;0,007656396
"EchinoLGastro""""";0;0,06;0;0,05;0,03;0,05;0,06;0,01;0,05;0,02;0,02;0,03;0,13;0,05;0,03;0,15;0,03;0;0,06;0,05;0;0;0,15;0;0,12;0,01;0,02;0,05;0;0,02;0,06;0,03;0;0;0;0,03;0,1;0,08;0,15;0,13;0,01;0,04;0,04;0,01;0,01;0,15;0,2;0,05;0,02;0;0,02;0,01;0;0,01;0,03;;2,37;0,044257703
"Grass""""";0,01;0,02;0;0;0,01;0;0;0;0;0;0;0,01;0,01;0,01;0;0;0;0,01;0;0,01;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0,01;0;0;0,01;0;0;0;0;0,01;0,02;0;0;0,01;0,01;0;0;0;0;0;0;0;0;;0,16;0,002987862
"IchthyoPl""""";0;0,01;0,01;0,03;0,03;0,01;0;0;0;0;0,01;0,02;0,02;0,03;0,01;0,01;0;0,02;0,02;0,05;0;0;0,01;0;0,03;0,01;0;0,02;0;0,02;0,01;0;0,01;0,01;0,01;0;0,02;0,01;0,01;0,01;0;0,02;0,04;0;0;0,02;0,02;0,01;0;0;0,01;0;0;0,01;0,02;;0,55;0,010270775
"Jmack""""";0;0;0;0,01;0,01;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0,01;0;0,01;0,01;0;0,01;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;;0,12;0,002240896
"Lcrab""""";0,01;0,07;0;0,05;0,01;0,05;0,08;0;0,03;0,02;0;0,03;0,13;0,06;0,01;0;0,03;0,15;0,06;0,03;0;0,01;0,15;0;0,1;0,01;0,01;0,05;0;0,04;0,07;0,03;0;0;0;0,04;0,11;0,09;0,16;0,14;0;0,01;0,01;0;0,01;0,15;0,18;0,05;0,01;0,01;0,02;0,01;0;0,01;0,02;;2,3;0,042950514
"LgGroup""""";0,01;0,06;0,01;0,04;0,01;0,01;0,05;0;0,02;0,01;0;0,01;0,11;0,05;0,02;0,09;0,01;0,08;0,03;0,03;0,01;0,01;0,08;0;0,05;0;0,01;0,03;0;0,05;0,07;0,02;0;0,02;0,01;0,03;0,12;0;0,1;0,09;0;0,01;0,03;0;0,01;0,09;0,13;0,02;0,01;0,01;0,01;0;0;0,01;0;;1,65;0,030812325
"LgOcePisc""""";0,03;0,06;0,01;0,06;0,04;0,01;0,03;0;0,01;0;0;0,05;0,06;0,07;0;0,04;0,01;0,02;0,02;0,04;0;0,01;0,05;0;0,02;0,01;0;0,01;0;0;0,06;0,01;0,03;0,02;0,01;0,01;0,05;0,05;0,04;0,05;0;0;0,03;0,01;0;0,03;0,06;0,01;0,02;0;0,01;0;0;0;0;;1,13;0,021101774
"LgOcePlank""""";0;0;0;0,01;0,01;0;0;0,01;0,01;0;0;0;0,01;0,01;0;0;0;0,01;0;0,01;0;0;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0,01;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0,01;;0,15;0,00280112
"Lobs""""";0,01;0,01;0;0,01;0;0,01;0;0;0,01;0,01;0,01;0;0,02;0;0;0,01;0;0,03;0,01;0,02;0,01;0;0,01;0;0,02;0;0,02;0,02;0;0;0;0;0;0,01;0;0;0,01;0,02;0;0,01;0;0,02;0,02;0;0,01;0,02;0,04;0,02;0,01;0;0,01;0;0;0,02;0;;0,42;0,007843137
"Mana""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"MeioFau""""";0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0,01;0,02;0;0,02;0,02;0,01;0;0;0,01;0;0,02;0;0;0,01;0;0,01;0,01;0,01;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0,02;0,02;0,01;0,01;0;0;0;0;0,01;0;;0,25;0,004668534
"MicroAlga""""";0,01;0,01;0;0,01;0;0,01;0;0;0,01;0,01;0,01;0;0,02;0;0,02;0,01;0;0,02;0,01;0;0,01;0;0,02;0;0,01;0,01;0;0,02;0;0;0;0;0;0,01;0;0;0;0,01;0;0,02;0;0;0;0;0,01;0;0,03;0,01;0;0;0;0;0;0,01;0;;0,29;0,0054155
"MicroHetero""""";0;0;0;0,02;0,01;0,02;0,01;0;0;0;0,01;0,03;0,03;0,04;0;0,02;0,02;0,03;0,02;0,04;0;0;0,04;0,01;0,05;0;0;0,04;0;0;0,01;0,01;0,01;0;0,02;0,01;0,01;0;0,04;0,01;0,01;0,03;0,04;0;0;0,02;0,02;0,01;0,02;0;0;0;0;0,01;0;;0,65;0,012138189
"MicroPhytoBenth""""";0,01;0,02;0;0,03;0,01;0,04;0,04;0;0,01;0,01;0;0,03;0,05;0,05;0,02;0,05;0,03;0,05;0,04;0,04;0,01;0;0,05;0;0,05;0,01;0,02;0;0;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,05;0,04;0;0,02;0,04;0;0;0,05;0,05;0,03;0,02;0;0,01;0;0;0,03;0,04;;1,12;0,020915033
"Mull""""";0;0;0;0,02;0,01;0,02;0,01;0;0,01;0,01;0;0,02;0,01;0;0,01;0;0;0,02;0,01;0,01;0;0,01;0,02;0;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0,01;0,01;0;0,01;0,01;0,02;0,01;0,01;0;0;0;0;0;0,01;;0,28;0,005228758
"NeaAssPisc""""";0,01;0,03;0;0,02;0,02;0,02;0,02;0;0,01;0;0,01;0,02;0,01;0,01;0,01;0,02;0;0,02;0;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0,01;0,02;0,01;0;0;0;0,01;0;0,01;0;;0,36;0,006722689
"NeaPlank""""";0,03;0,05;0;0,08;0,05;0,05;0,04;0;0;0,02;0,02;0;0,06;0,07;0;0,03;0,01;0,03;0,02;0,05;0;0,02;0,06;0;0,03;0;0;0,03;0;0,05;0,04;0;0,02;0,01;0;0,01;0,04;0,01;0,04;0,05;0;0,01;0,05;0,01;0;0,04;0,06;0;0,02;0;0;0;0;0;0,03;;1,2;0,022408964
"Octo""""";0;0;0;0,01;0;0,01;0,02;0;0,01;0;0;0,01;0,02;0,02;0;0,03;0;0,03;0,02;0;0;0;0,02;0;0,02;0;0;0,03;0;0,01;0,02;0,01;0;0;0;0,01;0;0,01;0,02;0,02;0;0;0;0;0;0,02;0,02;0,02;0;0;0;0;0;0;0,02;;0,39;0,007282913
"Ofish""""";0,02;0,12;0,01;0,13;0,05;0,05;0,06;0,01;0,04;0,01;0,01;0,06;0;0,15;0,02;0,13;0,02;0,13;0,02;0,09;0;0,02;0,23;0;0,07;0;0,02;0,05;0;0,06;0,08;0,02;0,02;0,02;0,02;0,02;0,15;0,11;0,2;0,14;0,01;0,04;0,07;0,01;0,02;0,11;0,23;0,03;0,02;0,01;0;0;0;0,01;0,03;;2,88;0,053781513
"OMesoZoopl""""";0,01;0,04;0,01;0,05;0,03;0,02;0,01;0;0;0;0,01;0,05;0,07;0,07;0,02;0,01;0;0,04;0,02;0,09;0;0;0,04;0,01;0,05;0,01;0;0,04;0;0,03;0,01;0;0,01;0,02;0,03;0;0,05;0,03;0,03;0,03;0,01;0,06;0;0,02;0;0,05;0,05;0,01;0,04;0;0,01;0;0;0,02;0,04;;1,19;0,022222222
"PelCoasPisc""""";0,04;0;0;0,1;0,05;0,03;0,04;0;0,01;0,03;0;0,05;0,12;0,12;0,01;0,07;0;0,06;0;0,06;0,01;0,01;0,12;0;0,04;0,02;0,01;0,02;0;0,06;0,08;0;0,03;0,02;0;0,03;0,1;0,06;0,13;0,09;0;0,03;0,04;0,02;0;0,05;0,13;0,02;0,01;0;0;0,01;0;0,01;0;;1,91;0,0356676
"PelOceJelly""""";0;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0,02;0,03;0;0;0;0;0;0,03;0;0;0,01;0,01;0,02;0;0;0,01;0;0,01;0;0;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0;0;0;0;0;0,01;0;0;0;0;0,01;0,02;;0,3;0,005602241
"PelOcePisc""""";0,01;0,03;0;0,03;0,03;0;0;0;0;0;0;0,02;0,02;0,04;0;0;0;0;0;0,02;0;0,01;0,03;0;0,01;0,01;0;0,01;0;0,03;0,03;0;0;0;0,01;0,01;0,01;0;0,03;0,01;0;0,01;0,01;0;0;0;0,01;0;0,01;0;0;0;0;0,01;0,01;;0,42;0,007843137
"PelOcePlank""""";0,01;0,05;0,01;0,07;0;0,03;0,02;0,01;0,01;0,02;0,01;0,05;0,05;0,06;0;0,01;0;0,03;0;0,05;0;0,02;0,04;0;0,01;0,02;0;0,01;0;0,04;0,03;0;0,03;0,01;0,01;0,01;0,03;0,01;0,04;0,02;0,01;0,01;0,03;0,01;0;0;0,02;0;0,03;0;0;0;0;0;0,01;;0,87;0,016246499
"Phyto""""";0,01;0,01;0;0;0;0;0;0;0;0,01;0;0;0,01;0,01;0,02;0,01;0;0,01;0,01;0,02;0,01;0;0,01;0;0,02;0;0,01;0,03;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0,02;0,02;0;0;0,01;0,02;0,01;0,01;0;0,01;0;0;0;0,01;;0,33;0,006162465
"RaySkate""""";0;0;0;0;0;0;0,02;0;0,01;0;0;0;0,02;0;0;0,03;0,01;0,03;0,02;0;0;0;0,03;0;0,02;0;0;0,01;0;0,01;0,02;0;0;0;0;0,01;0,02;0,02;0,03;0;0;0;0;0;0;0,02;0,02;0,01;0;0;0,01;0;0;0;0,01;;0,35;0,006535948
"SardHerr""""";0,02;0,1;0,01;0;0,07;0,07;0,05;0,01;0,02;0,02;0,02;0,08;0,13;0,13;0,01;0,05;0,01;0,05;0,02;0,08;0;0,02;0,13;0;0,04;0,01;0,01;0,03;0;0,06;0,05;0;0,03;0,01;0,01;0,01;0,06;0,04;0,09;0,09;0,01;0,02;0,05;0;0,01;0,03;0,09;0,01;0,03;0;0;0;0;0;0,02;;1,87;0,034920635
"Scopep""""";0;0,03;0;0,02;0,01;0;0;0;0;0;0,01;0,01;0,04;0,05;0,02;0,01;0;0,04;0,02;0,06;0;0;0,03;0,01;0,05;0,01;0;0,02;0;0;0;0;0,01;0;0,02;0;0,02;0,01;0,03;0;0,01;0;0,06;0,01;0;0,03;0,03;0,01;0,02;0;0,01;0;0;0,02;0,03;;0,72;0,013445378
"SessEpiBenth""""";0;0,04;0;0,04;0,01;0,03;0,03;0;0,03;0,01;0,01;0,03;0,07;0,05;0,02;0,1;0,02;0,12;0,07;0,06;0;0;0,1;0,01;0;0,01;0,01;0,05;0;0,02;0,04;0,02;0,01;0;0,02;0,01;0,07;0,05;0,11;0,06;0,01;0,05;0,05;0;0;0,12;0,13;0,04;0,03;0;0,02;0,01;0;0,02;0,05;;1,84;0,034360411
"SInFau""""";0,01;0,05;0;0,03;0;0,04;0,06;0;0,03;0,01;0,01;0,04;0,11;0,04;0,02;0,15;0,02;0,15;0,06;0,04;0;0,01;0,13;0;0,12;0;0;0,05;0;0,03;0,05;0,02;0;0,01;0;0,03;0,1;0,09;0,14;0,11;0;0,03;0,05;0,01;0,01;0;0,2;0,04;0,02;0,01;0,02;0,01;0;0,01;0,02;;2,14;0,039962652
"SMobEpiFau""""";0,03;0,13;0;0,09;0,02;0,05;0,08;0,01;0,05;0,02;0,02;0,06;0,23;0,1;0,04;0,18;0,02;0,2;0,06;0,06;0,01;0,02;0,25;0;0,13;0;0,03;0,05;0;0,06;0,09;0,02;0,01;0,02;0;0,03;0,15;0,13;0,25;0,19;0,01;0,03;0,05;0,01;0,02;0,2;0;0,05;0,02;0,01;0,02;0,01;0;0,02;0,02;;3,34;0,062371615
"Squid""""";0,02;0,12;0,01;0,13;0,06;0,05;0,05;0;0,01;0,01;0;0,07;0,15;0;0;0,06;0,02;0,05;0,02;0,1;0;0,01;0,14;0,01;0,05;0,02;0;0,05;0;0,07;0,08;0;0,04;0,01;0,03;0,01;0,08;0,05;0,12;0,1;0,01;0,05;0,07;0,01;0;0,04;0,1;0,01;0,03;0;0;0;0;0,01;0,04;;2,14;0,039962652
"Stoma""""";0;0,02;0;0,01;0;0,01;0,02;0;0,03;0,01;0,01;0;0,03;0,01;0,02;0,05;0,02;0,05;0,02;0,01;0;0;0,02;0;0,04;0;0,01;0,03;0;0,01;0,03;0,01;0;0;0;0,02;0,01;0,02;0,03;0,04;0;0,01;0,01;0;0,01;0,04;0,05;0;0,01;0;0,01;0,01;0;0,01;0,01;;0,7;0,013071895
"StrAssCoasInv""""";0,01;0,13;0;0,09;0,04;0,03;0,05;0,01;0,03;0,01;0;0,04;0,2;0,12;0;0,16;0,02;0,15;0,03;0,04;0;0,02;0,26;0;0,11;0;0;0,05;0;0,04;0,09;0,03;0,03;0;0,01;0,05;0,15;0,1;0;0,14;0,01;0,03;0,03;0;0,01;0,14;0,25;0,03;0,01;0,01;0,01;0,01;0;0,01;0,04;;2,76;0,051540616
"StrAssCoasOmn""""";0;0,01;0;0,02;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,04;0,01;0,01;0,03;0,01;0,05;0,02;0;0;0;0,02;0;0,03;0;0,01;0,01;0;0,01;0,01;0,01;0;0;0;0;0,01;0,02;0,03;0,03;0,01;0;0;0;0,01;0,03;0,05;0,03;0;0;0;0,01;0;0;0;;0,54;0,010084034
"StrAssCoasPisc""""";0,01;0,1;0,01;0,06;0,03;0,02;0,05;0;0,01;0;0;0,04;0,15;0,08;0,01;0,11;0;0,1;0,02;0,05;0;0,02;0,14;0;0,07;0;0;0,02;0;0,05;0,08;0,02;0,01;0,02;0,01;0,03;0;0,12;0,15;0,13;0;0,02;0,05;0,01;0,01;0,1;0,15;0,01;0,02;0,01;0,01;0;0;0;0,01;;2,08;0,038842204
"StrAssCoasPlank""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"SurfPela""""";0;0;0;0,01;0,01;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;;0,07;0,00130719
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0,01;;0,07;0,00130719
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,55;1
