TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"MacrophSal""""";"DuskyKob""""";"Epiph""""";"BenthFeed""""";"FreeWat""""";"AttWat""""";"ZooplEater""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"CatFish""""";"Leer""""";"Grunter""""";"Bird""""";"SkipJack""""";;SUM
"SedBaci""""";0;0;0,01;0,01;0,02;0,01;0,06;0,14;0,08;0,13;0,08;0,08;0,11;0,08;0,02;0,03;0,04;0,05;0;0;0,02;0,06;0,08;0,03;0,04;0,04;0,04;0,03;0,02;;1,32
"CarnMac""""";0,01;0;0,01;0,01;0,02;0,01;0,04;0,12;0,07;0,03;0,03;0,03;0,03;0,05;0,04;0,07;0,03;0,05;0;0,01;0,03;0,07;0,06;0,07;0,06;0,12;0,03;0,03;0,03;;1,15
"Pisci""""";0,03;0,02;0,03;0,07;0,07;0,03;0,03;0,03;0,07;0,03;0,08;0,07;0,03;0,07;0,03;0,04;0,04;0,05;0,01;0,03;0,07;0,03;0,07;0,04;0,04;0,04;0,03;0,04;0,04;;1,27
"CatFish""""";0,01;0,01;0,02;0,02;0,08;0,02;0,05;0,05;0,08;0,13;0,09;0,09;0,11;0,08;0,07;0,08;0,04;0,06;0;0,03;0,07;0,05;0,08;0,04;0,05;0,04;0,05;0,05;0,04;;1,6
"Leer""""";0;0;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,02;0,03;0,03;0;0,01;0,05;0,02;0,06;0,02;0,02;0,04;0;0,01;0,03;;0,55
"Grunter""""";0,01;0;0;0;0,06;0;0,02;0,01;0,06;0,02;0,02;0,06;0,09;0,01;0,01;0,02;0,01;0,01;0;0,01;0,01;0,02;0,01;0,02;0,02;0;0,05;0,02;0,01;;0,58
"Bird""""";0,01;0;0,01;0,01;0,06;0,01;0,02;0,01;0,06;0,02;0,07;0,06;0,02;0,01;0,02;0,02;0,01;0,02;0;0,03;0,05;0,02;0,02;0,02;0,02;0,01;0,03;0,04;0,02;;0,7
"SkipJack""""";0;0;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,03;0;0,01;0,04;0;0,01;0,01;0,01;0,01;0;0,01;0,03;;0,27
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"MacrophSal""""";"DuskyKob""""";"Epiph""""";"BenthFeed""""";"FreeWat""""";"AttWat""""";"ZooplEater""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"CatFish""""";"Leer""""";"Grunter""""";"Bird""""";"SkipJack""""";;SUM
"AttWat""""";0,03;0,02;0,03;0,03;0,02;0,02;0;0;0;0;0;0;0;0;0;0,03;0;0,05;0;0;0,03;0;0;0,03;0,03;0;0,02;0,03;0;;0,4
"BenthFeed""""";0,09;0,07;0,1;0,1;0,14;0,07;0,14;0,07;0,16;0,03;0,1;0,12;0,07;0,19;0;0,16;0;0;0;0,05;0,19;0,19;0,14;0,16;0,26;0,03;0,07;0,09;0;;2,78
"BenthMicroAl""""";0;0;0;0;0;0;0;0,03;0,03;0,02;0,02;0,02;0,02;0,05;0;0,07;0;0,14;0;0;0;0,14;0,03;0,07;0,12;0,02;0,05;0,05;0;;0,88
"Bird""""";0,02;0;0,02;0,02;0,02;0;0,05;0;0,02;0;0;0;0;0;0;0,09;0;0,09;0;0,03;0,02;0,05;0,02;0,09;0,09;0;0,05;0;0;;0,66
"CalliaKra""""";0;0;0;0,02;0,09;0;0,02;0,03;0,12;0,03;0,1;0;0,07;0,09;0;0,03;0;0,12;0;0;0,07;0,03;0,07;0;0,09;0;0;0;0;;0,98
"CarnMac""""";0;0;0;0,02;0,05;0;0,03;0,03;0,1;0,02;0,07;0,07;0,03;0,12;0;0,07;0;0,14;0;0;0,07;0,07;0;0,03;0,09;0,02;0,02;0,02;0;;1,07
"CatFish""""";0,02;0;0,02;0,02;0,07;0;0,12;0,07;0,12;0,03;0,07;0,09;0,07;0,12;0;0,17;0;0,26;0;0,03;0,07;0,17;0,09;0,14;0;0,03;0,07;0,09;0;;1,93
"Copyp""""";0,1;0,1;0;0,12;0,03;0,09;0;0;0;0;0;0;0;0;0;0,02;0;0,1;0,03;0,03;0,07;0;0;0,03;0,02;0;0;0,02;0;;0,78
"Det""""";0;0;0;0,02;0,09;0;0,03;0,05;0;0,03;0,1;0,12;0,07;0,1;0;0,07;0;0,16;0;0;0,07;0,07;0,1;0,03;0,12;0,02;0,02;0,02;0;;1,29
"DuskyKob""""";0,02;0;0,02;0,02;0,05;0;0,07;0,03;0,07;0;0,03;0,03;0,02;0,07;0;0;0;0,16;0;0,03;0,05;0,09;0,07;0,12;0,17;0,03;0,05;0,09;0;;1,29
"Epiph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"FishLarv""""";0,09;0,09;0,09;0,09;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0,07;0,02;0,02;0,03;0;0;0,02;0;0;0;0;0;;0,52
"FreeWat""""";0,03;0,03;0,03;0,03;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,16
"Graz""""";0;0;0;0;0;0;0,02;0,03;0,03;0;0,03;0,03;0,03;0,03;0;0;0;0,03;0;0;0;0,03;0,02;0;0,03;0;0;0;0;;0,34
"Grunter""""";0,02;0;0;0;0,02;0;0,05;0;0,02;0;0;0;0;0;0;0,05;0;0,07;0;0,02;0;0,05;0,02;0,05;0,07;0;0;0,05;0;;0,48
"Herb""""";0;0;0;0,02;0,05;0;0,05;0,07;0,1;0,03;0,09;0,09;0,05;0;0;0,07;0;0,19;0;0;0,09;0,1;0,12;0,05;0,12;0,03;0;0;0;;1,33
"Leer""""";0;0;0;0;0;0;0,02;0,03;0,02;0;0;0;0;0,03;0;0,03;0;0,03;0;0;0;0,03;0,02;0,03;0,03;0;0;0;0;;0,29
"MacrophSal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioFau""""";0;0;0;0;0;0;0,03;0;0,05;0,03;0,03;0,03;0,03;0,07;0;0,03;0;0,07;0;0;0;0,07;0,03;0,03;0,07;0,03;0;0;0;;0,64
"MicroZoopl""""";0,1;0;0,1;0,1;0,02;0,09;0;0;0;0;0;0;0;0;0;0;0;0,07;0,03;0,02;0,03;0;0;0,02;0;0;0;0;0;;0,59
"Mysid""""";0,1;0,1;0,12;0;0,03;0,09;0;0;0,02;0;0,02;0,02;0;0,02;0;0,02;0;0,1;0,03;0,03;0,07;0;0,02;0,03;0,02;0;0;0,02;0;;0,86
"Phyto""""";0;0,1;0,1;0,1;0,03;0,09;0;0;0;0;0;0;0;0;0;0,02;0;0,09;0,03;0,03;0,03;0;0;0,03;0,02;0;0,02;0,02;0;;0,72
"Pisci""""";0,03;0,02;0,03;0,03;0,02;0,02;0,07;0,03;0,03;0;0;0;0;0,05;0;0,12;0;0,16;0;0,03;0,05;0,1;0,03;0;0,14;0,03;0,05;0,09;0;;1,16
"SedBaci""""";0;0;0;0;0;0;0,14;0,07;0,07;0,03;0,03;0,03;0,03;0,1;0;0,09;0;0,19;0;0;0,02;0;0,07;0,1;0,17;0,03;0,05;0,05;0;;1,29
"SkipJack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sol""""";0;0;0;0;0,03;0;0,02;0,03;0,07;0,03;0,05;0,07;0;0,05;0;0,02;0;0,07;0;0;0,02;0,03;0,03;0;0,07;0;0;0;0;;0,6
"SuspFeed""""";0;0;0;0,02;0,07;0;0,02;0,03;0,1;0,03;0;0,1;0,05;0,09;0;0,03;0;0,1;0;0;0,07;0,03;0,07;0;0,07;0;0;0;0;;0,9
"UpoAfri""""";0,03;0,02;0,03;0,03;0;0,02;0;0;0,09;0;0,07;0,09;0,03;0,05;0;0,05;0;0,14;0;0,02;0,09;0;0,05;0,02;0,07;0;0,02;0,02;0;;0,93
"ZooplEater""""";0,03;0,03;0,07;0,07;0,09;0,03;0;0;0,07;0;0,07;0,07;0,02;0,09;0;0,05;0;0,19;0;0,03;0;0,02;0,07;0,05;0,07;0;0;0,02;0;;1,14
