dl
n=10
format=fullmatrix
labels:	Lpred	Mpred	LzooBenthFeed	DemFeed	MesoPelaFeed	MollFeed	PlFeed	Zoopl	Phyto	Det
data:
0	0	0	0	0	0	0	0	0	0
0.531	0	0	0	0	0	0	0	0	0
0.266	0.033	0	0	0	0	0	0	0	0
0	0.067	0.588	0	0	0	0	0	0	0
0	0.05	0.392	1.448	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.593	1.251	2.743	7.241	8.794	0.234	0	0	0	0
0.027	0.25	0.157	0.386	1.539	0.059	7.947	0	0	0
0	0	0	0	0	0	178.811	1266.35	0	0
0	0	0	0.483	0.55	0.016	1.987	0	0	0
