TI3;"Phyto""""";"HerbZoopl""""";"InFau""""";"Berna""""";"HerbFish""""";"Periph""""";"Gastro""""";"DetFish""""";"CarnZoopl""""";"Shri""""";"Crab""""";"ZooplFish""""";"BenthFFish""""";"Bivalv""""";"PiscFish""""";;SUM;;;
"BenthFFish""""";4,9682E+11;1,44865E+11;6487346384;704706839,6;199668665,5;2502368,22;2110163892;82990957,83;2,10906E+11;5477238671;513839313,9;287986233,3;3799102,21;10251867,52;4024625,69;;868475632637,03;;thresold;767405635787,76
"Berna""""";1,5192E+14;5,87214E+13;2,26278E+12;3,16951E+11;1,34366E+11;255257792,3;1527372,52;0;6,4479E+13;9,25598E+11;85371116301;54106609438;402689622,6;2350993,65;68072415,68;;278900093457797,00;;;767405635787,76
"Bivalv""""";0;27111012,18;11434411,55;587748,41;127260,19;13195457,78;2859,05;101340,57;18599364,19;364147,85;45961,9;179748,65;1464552,5;4400,76;23317,52;;73241583,11;;;
"CarnZoopl""""";1,64586E+13;4,77627E+16;9,47315E+14;1,28958E+14;8,43403E+13;10860758753;121579266,2;2279516,31;8,51056E+12;2,49012E+14;2,90599E+13;1,51106E+13;2,41035E+11;148794913,5;5061371038;;49241699984628500,00;;;
"Crab""""";5,13388E+13;2,75727E+13;9,20887E+11;1,28057E+11;59082238861;34664563,65;179160,71;239720,93;2,17949E+13;3,52835E+11;33490173202;20727888853;440433697,6;275771,43;12532500,55;;102221999332939,00;;;
"DetFish""""";27750901,39;2496685,97;0;0;25840,8;1953489118;551671,4;17576;569879,08;213363,43;79906,98;130009,8;23711702,24;202681,14;3676027,31;;2012915363,69;;;
"Gastro""""";658874730,4;91160986,34;14857212,37;763686,26;630990,38;49531755075;10654365,77;551671,4;30394816,54;473152,63;59720,24;3093889,51;602903969,2;5718,1;83578087,07;;51029758070,66;;;
"HerbFish""""";1,49044E+14;1,70845E+13;1,41517E+12;2,01549E+11;60289750863;6770945517;1892971,13;77522,4;6,32552E+13;6,96636E+11;59082238861;40247884263;171144570,4;763561,14;78570759,64;;231863633860987,00;;;
"HerbZoopl""""";1,12534E+17;2,36407E+13;8,14971E+14;1,17443E+14;2,27794E+13;1,51904E+11;364643945,4;9986743,88;4,77627E+16;4,58948E+14;3,67636E+13;2,63267E+13;1,6556E+11;216888097,4;41520898757;;161797456266578000,00;;;
"InFau""""";1,39494E+15;5,09357E+14;2,01977E+13;2,82848E+12;1,17931E+12;1986591341;37143030,92;0;5,92072E+14;8,36352E+12;7,67406E+11;4,8833E+11;4633818845;57172057,73;583441541,7;;2530202318791790,00;;;
"Periph""""";9594974974;56964173518;1191954804;191443344,3;3385472759;10728284,3;74297632612;2930233677;4072784532;86150107,59;17332281,82;5688816,37;1072443,52;39586373,33;11777707,92;;152801006236,02;;;
"Phyto""""";1,51581E+13;5,62668E+16;1,11595E+15;1,5192E+14;9,93626E+13;12793299966;1317749461;55501802,78;8,22928E+12;2,93261E+14;3,42259E+13;1,77968E+13;2,83897E+11;0;5907112852;;58002983457811900,00;;;
"PiscFish""""";5907112852;20760449378;466753233,4;68072415,68;52380506,42;15703610,57;167156174,1;7352054,62;2530685519;78436432,34;8355000,37;5468320,56;2299786,11;93270,1;107861,03;;30070426414,59;;;
"Shri""""";3,66576E+14;2,86843E+14;8,36352E+12;1,157E+12;5,8053E+11;143583512,7;1182881,58;533408,57;1,55632E+14;2,98958E+12;2,9403E+11;1,76569E+11;3912313336;1820739,24;98045540,43;;822616438742080,00;;;
"ZooplFish""""";3,11443E+13;2,30358E+13;6,83662E+11;94686566517;46955864973;13273904,85;10828613,28;455034,31;1,32218E+13;2,47196E+11;24182536995;14582673895;287986233,3;1258240,56;9569560,97;;68513530533075,30;;;
