TI3;"TranOrc""""";"SealLion""""";"Dolph""""";"LingCod""""";"Ahake""""";"ARCoho""""";"ARChin""""";"DemFish""""";"Spela""""";"Eula""""";"Aherr""""";"PredInv""""";"GrazInv""""";"Jhake""""";"JRCoho""""";"JRChin""""";"ShellFish""""";"Hal""""";"CarnZoopl""""";"DogFish""""";"Jherr""""";"HerbZoopl""""";"Bird""""";"Jelly""""";"Phyto""""";"Grass""""";;SUM
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"TranOrc""""";"SealLion""""";"Dolph""""";"LingCod""""";"Ahake""""";"ARCoho""""";"ARChin""""";"DemFish""""";"Spela""""";"Eula""""";"Aherr""""";"PredInv""""";"GrazInv""""";"Jhake""""";"JRCoho""""";"JRChin""""";"ShellFish""""";"Hal""""";"CarnZoopl""""";"DogFish""""";"Jherr""""";"HerbZoopl""""";"Bird""""";"Jelly""""";"Phyto""""";"Grass""""";;SUM
"Ahake""""";0;0,1;0;0,12;0;0,1;0,06;0,15;0,1;0,08;0,13;0,04;0,06;0,02;0,02;0,02;0,02;0;0,1;0,04;0,08;0,08;0,02;0;0;0;;1,31
"Aherr""""";0;0,17;0;0,25;0,13;0,13;0,1;0,29;0,25;0,23;0;0,04;0,1;0,06;0,06;0,02;0,02;0;0,27;0,12;0,23;0,25;0;0;0,02;0;;2,73
"ARChin""""";0;0,08;0;0,08;0,06;0,08;0;0,06;0,06;0,04;0,1;0,04;0,08;0;0;0;0;0;0,06;0,06;0,06;0,06;0;0;0;0;;0,88
"ARCoho""""";0;0,08;0;0,1;0,1;0;0,08;0,1;0,06;0,08;0,13;0,04;0,08;0,02;0,02;0,02;0;0;0,1;0,06;0,08;0,08;0;0;0;0;;1,19
"Bird""""";0;0,04;0;0;0,02;0;0;0,04;0,02;0,02;0;0,04;0,06;0;0;0;0,06;0;0,02;0,02;0,04;0,04;0;0,02;0,02;0;;0,44
"CarnZoopl""""";0;0,15;0;0,21;0,1;0,1;0,06;0,25;0,19;0,21;0,27;0,02;0,06;0,06;0,06;0,02;0,02;0;0;0,12;0,25;0,27;0,02;0,02;0,02;0;;2,46
"DemFish""""";0;0,17;0,02;0,25;0,15;0,1;0,06;0;0,27;0,25;0,29;0,06;0,12;0,06;0,08;0,04;0,08;0;0,25;0,12;0,25;0,25;0,04;0;0,06;0;;2,94
"DogFish""""";0;0,13;0,02;0,1;0,04;0,06;0,06;0,12;0,08;0,06;0,12;0,04;0,08;0,02;0,04;0,02;0,04;0;0,12;0;0,13;0,13;0,02;0;0,02;0;;1,42
"Dolph""""";0;0;0;0,02;0;0;0;0,02;0;0;0;0;0,02;0;0,02;0,02;0,02;0;0;0,02;0;0;0;0;0;0;;0,13
"Eula""""";0;0,1;0;0,19;0,08;0,08;0,04;0,25;0,23;0;0,23;0,02;0,08;0,06;0,06;0,02;0,04;0;0,21;0,06;0,19;0,21;0,02;0,02;0,04;0;;2,21
"Grass""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
