TI3;"EngraEnc""""";"DicLab""""";"MesoZoopl""""";"Ather""""";"ChroChro""""";"SciUmb""""";"Polich""""";"Mugi""""";"Deca""""";"Dip""""";"Bivalv""""";"Echino""""";"MacroAlga""""";"SarSal""""";"SparAur""""";"MicroZoopl""""";"Phyto""""";;SUM
"Phyto""""";0,04;0,01;0,12;0,04;0,03;0,03;0,01;0;0;0,03;0,11;0,02;0;0;0,03;0,19;0,1;;0,78
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
TO3;"EngraEnc""""";"DicLab""""";"MesoZoopl""""";"Ather""""";"ChroChro""""";"SciUmb""""";"Polich""""";"Mugi""""";"Deca""""";"Dip""""";"Bivalv""""";"Echino""""";"MacroAlga""""";"SarSal""""";"SparAur""""";"MicroZoopl""""";"Phyto""""";;SUM
"EngraEnc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DicLab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MesoZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ather""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ChroChro""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SciUmb""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Polich""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mugi""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Deca""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Dip""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bivalv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Echino""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroAlga""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SarSal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SparAur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MicroZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
WI3;"EngraEnc""""";"DicLab""""";"MesoZoopl""""";"Ather""""";"ChroChro""""";"SciUmb""""";"Polich""""";"Mugi""""";"Deca""""";"Dip""""";"Bivalv""""";"Echino""""";"MacroAlga""""";"SarSal""""";"SparAur""""";"MicroZoopl""""";"Phyto""""";;SUM
"EngraEnc""""";623419,36;600582695,1;5533117264;65354,22;77963,15;60235426,38;33947369,35;11206,17;48612,67;5657999,36;1751872682;0;73445952,89;0;4757362,51;6938008018;515204718,4;;15517656043
"DicLab""""";1201165390;607038,25;107266,56;129556583,2;165114764,1;10219998,83;543375,87;299457467,9;126698884,8;57555944,22;67705580,67;0;77556,44;938122752;740157,11;79806317,33;1516391540;;4593870618
"MesoZoopl""""";16599351791;160899,83;45725877464;27401316799;49871681449;14520786908;198254940;126937730,2;62256314,01;2220879366;55690171094;3646135,15;0;0;1136999486;68388126200;9,28171E+11;;1,21012E+12
"Ather""""";65354,22;64778291,6;9133772266;73021,94;131049,63;99224968,14;29246982,14;420,08;1822,33;9510630,84;2944753663;0;2753253,78;0;5786401,47;11662219943;866016690,4;;24818334759
"ChroChro""""";116944,72;123836073,1;24935840724;196574,44;22376541,04;377700820,4;519319335,8;23683378,17;8836074,3;117094219,7;8076409111;24139976,48;294982580,1;0;23362169,72;31831974781;2624687197;;69004556501
"SciUmb""""";120470852,8;10219998,83;9680524605;198449936,3;503601093,8;43611140,36;994651959,5;649074608,8;72021352,52;121923207,5;3925664493;47317217,69;457571487,9;2014763520;2816959,09;12496942167;6808434412;;38148059012
"Polich""""";101842108;815063,81;198254940;87740946,41;1038638672;1491977939;45250186,45;5600064642;1112601133;6448323985;116196265,2;110564,78;96565791,18;14515356240;109051405,4;401905352,6;2699384495;;34064079729
"Mugi""""";22412,33;299457467,9;84625153,43;840,17;31577837,56;649074608,8;3733376428;26450584,97;5591363,62;51074682,56;131391077,5;55798357,85;98156491135;18316032;20154316,31;39977183,89;147912355,6;;1,03451E+11
"Deca""""";97225,33;126698884,8;41504209,34;3644,67;11781432,4;72021352,52;741734088,5;5591363,62;221273,88;944269,04;60343980,91;25632600,98;10245031768;1869504;2514813,98;590678,21;2185461,73;;11338766552
"Dip""""";8486999,05;43166958,17;1110439683;14265946,26;117094219,7;91442405,63;3224161992;38306011,92;708201,78;1734495,76;786194061;178653097,5;1932220798;0;5188984,49;1212584003;574509358,7;;9339157216
"Bivalv""""";5255618045;101558371;55690171094;8834260989;16152818222;5888496740;116196265,2;197086616,3;90515971,37;1572388122;30947554141;5882,44;220071536,2;0;453445731,8;74877427350;3,04214E+11;;5,04612E+11
"Echino""""";0;0;607689,19;0;8046658,83;11829304,42;18427,46;13949589,46;6408150,25;59551032,51;980,41;1178,78;0;0;862977,23;1215378,38;4496801,98;;106988168,9
"MacroAlga""""";110168929,3;58167,33;0;4129880,67;294982580,1;343178615,9;48282895,59;73617368351;7683773826;1932220798;110035768,1;0;21469725,81;2,59698E+11;24803473,97;0;0;;3,43888E+11
"SarSal""""";0;234530688;0;0;0;503690880;2419226040;4579008;467376;0;0;0;86565935792;16257024;12930736;0;0;;89757617544
"SparAur""""";7136043,77;555117,83;568499743,1;8679602,2;23362169,72;2112719,32;54525702,69;15115737,24;1886110,49;5188984,49;226722865,9;2588931,7;24803473,97;38792208;134812,88;731324982,2;346493971,2;;2057923177
"MicroZoopl""""";10407012027;59854738;34194063100;17493329914;31831974781;9372706625;200952676,3;29982887,92;443008,66;1212584003;37438713675;3646135,15;0;0;731324982,2;49679503609;5,9844E+11;;7,91096E+11
"Phyto""""";772807077,7;1137293655;4,64086E+11;1299025036;2624687197;5106325809;1349692247;110934266,7;1639096,3;574509358,7;1,52107E+11;13490405,93;0;0;346493971,2;5,9844E+11;62922110302;;1,29089E+12
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
WO3;"EngraEnc""""";"DicLab""""";"MesoZoopl""""";"Ather""""";"ChroChro""""";"SciUmb""""";"Polich""""";"Mugi""""";"Deca""""";"Dip""""";"Bivalv""""";"Echino""""";"MacroAlga""""";"SarSal""""";"SparAur""""";"MicroZoopl""""";"Phyto""""";;SUM
"Ather""""";0,09;0;0,09;0;0,09;0,09;0;0;0;0,03;0,09;0;0;0;0;0,09;0,09;;0,65
"Bivalv""""";0,09;0,06;0,26;0,09;0,12;0,12;0,09;0;0;0,03;0;0;0,03;0;0;0,26;0,21;;1,35
"ChroChro""""";0,09;0,03;0,12;0,09;0;0,12;0,03;0;0;0,03;0,12;0;0;0;0;0,12;0,12;;0,85
"Deca""""";0;0;0;0;0;0;0;0,03;0;0,03;0;0;0;0,03;0;0;0;;0,09
"DicLab""""";0;0;0,06;0;0,03;0,03;0,03;0;0;0;0,06;0;0;0;0;0,06;0,03;;0,29
"Dip""""";0,03;0;0,03;0,03;0,03;0,03;0;0,06;0,03;0;0,03;0;0;0,06;0;0,03;0,06;;0,41
"Echino""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"EngraEnc""""";0;0;0,09;0,09;0,09;0,09;0;0;0;0,03;0,09;0;0;0;0;0,09;0,09;;0,65
"MacroAlga""""";0;0;0,03;0;0;0,03;0,12;0;0;0;0,03;0;0;0;0;0,03;0;;0,24
"MesoZoopl""""";0,09;0,06;0;0,09;0,12;0,12;0,09;0;0;0,03;0,26;0;0,03;0;0;0,26;0,21;;1,35
"MicroZoopl""""";0,09;0,06;0,26;0,09;0,12;0,12;0,09;0;0;0,03;0,26;0;0,03;0;0;0;0,21;;1,35
"Mugi""""";0;0;0;0;0;0;0;0;0,03;0,06;0;0;0;0,06;0;0;0,03;;0,18
"Phyto""""";0,09;0,03;0,21;0,09;0,12;0,12;0,06;0,03;0;0,06;0,21;0;0;0,03;0;0,21;0;;1,24
"Polich""""";0;0,03;0,09;0;0,03;0,06;0;0;0;0;0,09;0;0,12;0;0;0,09;0,06;;0,56
"SarSal""""";0;0;0;0;0;0;0;0,06;0,03;0,06;0;0;0;0;0;0;0,03;;0,18
"SciUmb""""";0,09;0,03;0,12;0,09;0,12;0;0,06;0;0;0,03;0,12;0;0,03;0;0;0,12;0,12;;0,91
"SparAur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
