TI3;"Phyto""""";"MesoZoopl""""";"IntInv""""";"MacroZoopl""""";"MacroAlga""""";"EpiZooBenth""""";"Bird""""";"InfZoopl""""";"WildSal""""";"HatchSal""""";"Herr""""";"Spela""""";"DemFish""""";"TranMamm""""";"Otter""""";"Pinni""""";"Sal""""";"ResMamm""""";;SUM;;;
WI3;"Phyto""""";"MesoZoopl""""";"IntInv""""";"MacroZoopl""""";"MacroAlga""""";"EpiZooBenth""""";"Bird""""";"InfZoopl""""";"WildSal""""";"HatchSal""""";"Herr""""";"Spela""""";"DemFish""""";"TranMamm""""";"Otter""""";"Pinni""""";"Sal""""";"ResMamm""""";;SUM;;;
"Bird""""";2,81E+12;7,77E+11;12985745583;1,08E+11;3496553,56;617958950,1;30969307,95;3,68E+11;182100404,8;175695506;19536987788;14368055689;662899322,5;28532972,98;99828191,46;79084325,62;38501798,76;14024591,75;;4,10949E+12;;thresold;2031937500000,00
"DemFish""""";1,68E+14;1,94E+14;1,73E+12;1,15E+13;777132461,5;85294183840;1723538238;2,20E+13;10800314633;10416676539;1,17E+12;9,13E+11;50408414724;1669024247;29430663517;3054814461;2030149953;605364089,4;;3,98901E+14;;;2031937500000,00
"EpiZooBenth""""";1,35E+14;5,77E+13;7,59E+11;5,88E+12;1299967147;38539798166;494367160,1;1,78E+13;8413140698;8113109210;8,89E+11;6,72E+11;26244364259;1002547167;9271627812;859912973,9;617713590,1;143923220,4;;2,18828E+14;;;
"HatchSal""""";6,85E+11;1,82E+13;1,20E+11;6,42E+11;7134012,12;6084831907;105417303,6;81966897306;76403630,41;73691730,17;11874468113;13963645504;2403848432;47151414,47;2884756129;113994081,9;109772825,2;26303345,4;;1,97436E+13;;;
"Herr""""";2,80E+14;3,97E+15;2,65E+13;1,44E+14;1147287524;1,33E+12;23444385345;3,51E+13;24622975987;23748936225;3,40E+12;3,63E+12;5,41E+11;11100975497;6,23E+11;27633338851;24938796044;6415521508;;4,46943E+15;;;
"InfZoopl""""";2,56E+14;6,66E+16;4,32E+14;2,28E+15;19170412059;2,22E+13;3,68E+11;3,27E+12;1,42E+11;1,37E+11;2,93E+13;4,09E+13;8,46E+12;1,57E+11;1,07E+13;3,48E+11;3,68E+11;80459600399;;6,96818E+16;;;
"IntInv""""";3,29E+15;1,45E+15;1,87E+13;1,44E+14;424624347,9;9,49E+11;12985745583;4,32E+14;2,07E+11;1,99E+11;2,21E+13;1,66E+13;6,66E+11;26512589467;2,32E+11;8543710179;11237732543;1836600555;;5,37208E+15;;;
"MacroAlga""""";58112883207;38244346302;169849739,2;1697254458;278857,58;649983573,3;1398621,42;7668164824;4883414,56;4756008,08;382429174,8;804251397,2;119558840,2;768899,74;219162016,7;14451411,92;11263,93;515486,15;;1,08095E+11;;;
"MacroZoopl""""";3,83E+16;3,22E+16;3,17E+14;2,20E+15;9334899520;1,62E+13;2,38E+11;5,02E+15;2,44E+12;2,35E+12;2,64E+14;2,03E+14;9,72E+12;3,46E+11;5,16E+12;1,81E+11;2,17E+11;39976130841;;7,85737E+16;;;
"MesoZoopl""""";1,11E+18;2,23E+15;3,19E+15;3,22E+16;2,10E+11;1,59E+14;1,71E+12;1,47E+17;6,91E+13;6,67E+13;7,29E+15;5,34E+15;1,64E+14;7,83E+12;9406115488;5,40E+11;1,18E+12;66328416445;;1,31189E+18;;;
"Otter""""";3,24E+13;1710202816;92634836969;9,38E+11;219162016,7;4635813906;39931276,59;4,27E+12;1994297207;1923170753;2,08E+11;1,53E+11;4527794387;208067094,5;81536,56;129645325,8;68255812,82;16942175,83;;3,81231E+13;;;
"Phyto""""";2,22E+15;3,04E+17;1,97E+15;1,05E+16;87169324811;1,01E+14;1,68E+12;1,54E+14;7,10E+11;6,85E+11;1,40E+14;1,91E+14;3,87E+13;7,22E+11;4,87E+13;1,61E+12;1,69E+12;3,74E+11;;3,19333E+17;;;
"Pinni""""";3,23E+12;2,95E+11;10252452215;98589650018;43354235,75;1289869461;94901190,75;4,17E+11;236180119,4;227988163,9;27633338851;20038110242;1409914367;60693785,08;388935977,4;151349604,1;99956578,13;18389943,89;;4,09825E+12;;;
"ResMamm""""";8,72E+11;42208992283;2571240777;25439355990;1804201,51;251865635,8;19634428,45;1,13E+11;63592263,04;61374472,6;7484775093;5305674538;325965278,9;15924185,5;59297615,39;21454934,54;16601229,26;2009416,76;;1,06862E+12;;;
"Sal""""";2,82E+12;5,34E+11;11237732543;98632133533;28159,82;772141987,6;38501798,76;3,68E+11;189573476,3;182954708,7;20782330036;15244945469;780826905,2;34564445,37;170639532;83297148,44;39732146,44;11858020,9;;3,87053E+12;;;
"Spela""""";5,74E+14;4,37E+15;2,99E+13;1,66E+14;3619131287;1,51E+12;25862500241;7,35E+13;43436112170;41890936511;5,45E+12;5,26E+12;6,32E+11;13906635765;6,89E+11;30057165363;27440901844;6821581549;;5,22501E+15;;;
"TranMamm""""";1,93E+12;5,70E+12;42420143147;2,52E+11;3075598,95;2005094335;45652756,77;2,51E+11;130357624,5;125737105,3;14801300663;12361454014;1027091844;27962289,52;832268378,1;80925046,77;55303112,58;18199069,14;;8,19675E+12;;;
"WildSal""""";7,10E+11;1,89E+13;1,24E+11;6,65E+11;7325121,83;6309855524;109260242,9;84981371042;79215326,56;76403630,41;12311487993;14478704057;2492380300;48884109,2;2991445811;118090059,7;113744085,8;27253827,02;;2,04746E+13;;;
