TI3;"Ang""""";"Apred""""";"Ypred""""";"Ather""""";"Zoopl""""";"Amugi""""";"Benth""""";"Mollu""""";"Phyto""""";"Benthprod""""";;SUM
"Ang""""";0,08;0,12;0,12;0,12;0,12;0,12;0,12;0,14;0,12;0,13;;1,17
"Apred""""";0,12;0,08;0,12;0,12;0,12;0,12;0,12;0,14;0,12;0,13;;1,17
"Ypred""""";0,1;0,1;0,07;0,11;0,11;0,1;0,11;0,07;0,11;0,12;;1,02
"Ather""""";0,1;0,1;0,11;0,07;0,11;0,1;0,11;0,07;0,11;0,12;;1,02
"Zoopl""""";0,11;0,11;0,11;0,11;0,08;0,11;0,11;0,13;0,11;0,07;;1,03
"Amugi""""";0,12;0,12;0,12;0,12;0,12;0,08;0,12;0,14;0,12;0,13;;1,17
"Benth""""";0,1;0,1;0,11;0,11;0,11;0,1;0,07;0,07;0,11;0,12;;1,02
"Mollu""""";0,08;0,08;0,04;0,04;0,08;0,08;0,04;0,06;0,08;0,04;;0,63
"Phyto""""";0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,13;0,08;0,07;;1,03
"Benthprod""""";0,09;0,09;0,09;0,09;0,05;0,09;0,09;0,05;0,05;0,06;;0,75
;;;;;;;;;;;;
;;;;;;;;;;;;
TO3;"Ang""""";"Apred""""";"Ypred""""";"Ather""""";"Zoopl""""";"Amugi""""";"Benth""""";"Mollu""""";"Phyto""""";"Benthprod""""";;SUM
"Amugi""""";0,1;0,1;0,05;0,05;0,05;0;0,05;0;0,05;0;;0,45
"Ang""""";0;0,1;0,05;0,05;0,05;0,1;0,05;0;0,05;0;;0,45
"Apred""""";0,1;0;0,05;0,05;0,05;0,1;0,05;0;0,05;0;;0,45
"Ather""""";0,05;0,05;0,05;0;0;0,05;0,05;0;0;0;;0,25
"Benth""""";0,05;0,05;0,05;0,05;0;0,05;0;0;0;0;;0,25
"Benthprod""""";0;0;0;0;0;0;0;0;0;0;;0
"Mollu""""";0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0,05;0,05;0;0;0,05;0,05;0;0;0;0;;0,2
"Ypred""""";0,05;0,05;0;0,05;0;0,05;0,05;0;0;0;;0,25
"Zoopl""""";0,05;0,05;0;0;0;0,05;0;0;0,05;0;;0,2
