Species                Kbu       Ktd      Kdir    Kindir         K
Apred              0.11111   4.00000   2.16230   1.94881   4.11111
Ang                0.00000   9.00000   3.05119   5.94881   9.00000
Ypred              0.71429   0.74286   1.21349   0.24365   1.45714
Ather              0.42857   1.17857   1.26349   0.34365   1.60714
Amugi              0.25000   2.33333   1.78730   0.79603   2.58333
Zoopl              2.57143   0.12500   1.78730   0.90913   2.69643
Benth              1.14286   0.45238   1.26349   0.33175   1.59524
Mollu              0.42857   0.28571   0.64683   0.06746   0.71429
Phyto              6.14286   0.00000   2.66230   3.48056   6.14286
Benthprod          1.85714   0.00000   1.16230   0.69484   1.85714
