"-(Element2970)-> "Acod"","-(Element2871)-> "DemPisc"","-(Element2970)-> "Acod""
"-(Element2958)-> "Jcod"","-(Element2881)-> "Poll"","-(Element2958)-> "Jcod""
"-(Element2986)-> "Jcod"","-(Element2885)-> "JLDemFish"","-(Element2986)-> "Jcod""
"-(Element3057)-> "Jcod"","-(Element2886)-> "Squid"","-(Element3057)-> "Jcod""
"-(Element2896)-> "Hadd"","-(Element2912)-> "JSilvHake"","-(Element2896)-> "Hadd""
"-(Element3060)-> "Hadd"","-(Element2918)-> "Squid"","-(Element3060)-> "Hadd""
"-(Element2901)-> "Poll"","-(Element2960)-> "JSilvHake"","-(Element2901)-> "Poll""
"-(Element3064)-> "Poll"","-(Element2963)-> "Squid"","-(Element3064)-> "Poll""
"-(Element3066)-> "JDemPisc"","-(Element2977)-> "Squid"","-(Element3066)-> "JDemPisc""
"-(Element3007)-> "JLDemFish"","-(Element2993)-> "SDemFish"","-(Element3007)-> "JLDemFish""
"-(Element2907)-> "Squid"","-(Element3059)-> "JSilvHake"","-(Element2907)-> "Squid""
"-(Element3052)-> "Squid"","-(Element3068)-> "SMesoPel"","-(Element3052)-> "Squid""
"-(Element3001)-> "JSilvHake"","-(Element2905)-> "SDemFish"","-(Element3001)-> "JSilvHake""
