Species                   Kbu       Ktd      Kdir    Kindir         K
Phyto                 4.59195   0.00000   2.16667   2.42528   4.59195
MicroZoopl            1.43868   1.16667   1.75000   0.85535   2.60535
Copyp                 1.60898   1.50000   1.82143   1.28756   3.10898
Mysid                 1.27608   2.12500   2.05754   1.34354   3.40108
UpoAfri               1.03222   0.41667   1.35873   0.09015   1.44888
FishLarv              0.12215   1.41667   0.68810   0.85072   1.53881
ZooplEater            1.17507   1.66667   1.97540   0.86634   2.84174
BenthMicroAl          6.76590   0.00000   3.82143   2.94447   6.76590
MeioFau               1.34487   0.25000   1.09921   0.49566   1.59487
Det                   1.31672   0.25000   1.29921   0.26752   1.56672
Graz                  0.26277   0.12500   0.32143   0.06634   0.38777
SuspFeed              1.26910   0.25000   1.27540   0.24371   1.51910
CalliaKra             0.65325   0.25000   0.81310   0.09015   0.90325
Sol                   0.19048   0.25000   0.41667   0.02381   0.44048
Herb                  0.97507   1.50000   2.35873   0.11634   2.47507
BenthFeed             0.71007   6.83185   4.30873   3.23318   7.54191
Epiph                 0.49377   0.00000   0.25000   0.24377   0.49377
FreeWat               1.21934   0.00000   0.50000   0.71934   1.21934
AttWat                2.99856   0.00000   1.33333   1.66522   2.99856
SedBaci               5.93049   0.00000   3.07143   2.85906   5.93049
CarnMac               0.70945   0.73214   1.26944   0.17215   1.44159
Pisci                 0.00000   4.23155   1.58810   2.64345   4.23155
SkipJack              0.00000   8.34702   2.13810   6.20893   8.34702
Grunter               0.14286   3.75982   2.07857   1.82411   3.90268
Leer                  0.00000   1.23065   0.55952   0.67113   1.23065
DuskyKob              0.00000   7.93780   2.04524   5.89256   7.93780
CatFish               0.12500   3.79851   1.81310   2.11042   3.92351
Bird                  0.00000   1.25298   0.82143   0.43155   1.25298
