TI3;"ToothWhale""""";"BalWhale""""";"Pinni""""";"Bird""""";"Acod""""";"Jcod""""";"Hadd""""";"Saithe""""";"RedFish""""";"GreenHal""""";"OflatFish""""";"OdemFish""""";"Herr""""";"Cape""""";"Opel""""";"Neph""""";"NorthShri""""";"Mollu""""";"Benth""""";"Ofish""""";"Zoopl""""";"Phyto""""";"BenthPro""""";;SUM
"Cape""""";0,02;0;0,02;0;0;0,02;0;0;0;0;0;0;0,04;0;0,02;0,02;0,02;0;0,02;0,02;0,04;0;0;;0,26
"GreenHal""""";0,02;0,02;0,02;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0,02;0,02;0,02;0;0;;0,15
"Hadd""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Herr""""";0,02;0;0,02;0;0;0,02;0;0;0;0;0;0;0;0,04;0,02;0,02;0,02;0;0,02;0,02;0,04;0;0;;0,26
"Jcod""""";0;0;0;0;0;0;0;0;0;0;0;0;0,02;0,02;0;0,02;0,02;0;0;0;0,02;0;0;;0,11
"Mollu""""";0,02;0,02;0,02;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0,02;0;0,02;0;0;;0,13
"Neph""""";0;0;0;0;0;0,02;0;0;0;0;0;0;0,02;0,02;0;0;0,02;0;0;0;0,02;0;0;;0,11
"NorthShri""""";0;0;0;0;0;0,02;0;0;0;0;0;0;0,02;0,02;0;0,02;0;0;0;0;0,02;0;0;;0,11
"OdemFish""""";0,04;0,04;0,04;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0,02;0,04;0,02;0,04;0;0;;0,28
"Ofish""""";0,22;0,2;0,22;0;0,13;0;0;0,02;0,04;0,02;0,02;0,02;0,02;0,02;0,04;0;0;0;0,15;0;0,22;0;0;;1,35
"OflatFish""""";0,02;0,02;0,02;0;0,02;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0,02;0,02;0,02;0;0;;0,17
"Opel""""";0,04;0,02;0,04;0;0,02;0;0;0,02;0;0;0;0;0,02;0,02;0;0;0;0;0,02;0,04;0,04;0;0;;0,3
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Pinni""""";0,37;0,28;0;0;0,2;0;0;0,02;0,07;0,02;0,02;0,04;0,02;0,02;0,04;0;0;0,02;0,22;0,22;0,35;0;0;;1,91
"RedFish""""";0,07;0,07;0,07;0;0,07;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0,07;0,04;0,07;0;0;;0,46
"Saithe""""";0,02;0,02;0,02;0;0,02;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0,02;0,02;0;0;;0,15
"ToothWhale""""";0;0,28;0,37;0;0,2;0;0;0,02;0,07;0,02;0,02;0,04;0,02;0,02;0,04;0;0;0,02;0,22;0,22;0,39;0;0;;1,96
"Zoopl""""";0,39;0,28;0,35;0;0,2;0,02;0;0,02;0,07;0,02;0,02;0,04;0,04;0,04;0,04;0,02;0,02;0,02;0,22;0,22;0;0;0;;2,04
