TI3;"Phyto""""";"Shri""""";"Zoopl""""";"Mull""""";"DetBenth""""";"Jsard""""";"Sard""""";"Mack""""";"Osciae""""";"KWeakFish""""";"Squid""""";"Croak""""";"TrigFish""""";"LPelaFish""""";"ShaRay""""";"FlatFish""""";"CatFish""""";"CarnBent""""";"CutFish""""";"OPiscFish""""";"WeakFishCyno""""";"Octo""""";;SUM
"KWeakFish""""";0,05;0,07;0,11;0;0,11;0;0,05;0;0,07;0;0,09;0;0;0,07;0,11;0,09;0;0,07;0,05;0,05;0,02;0;;1
"LPelaFish""""";0,09;0,02;0,16;0;0,14;0;0;0;0,07;0,07;0,18;0,02;0,02;0;0,16;0,07;0;0,11;0,05;0,11;0,02;0;;1,3
"Mack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mull""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Octo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"OPiscFish""""";0,05;0,02;0,11;0;0,09;0;0;0;0,02;0,05;0,14;0,02;0,02;0,11;0,14;0,05;0;0,11;0,05;0;0;0;;0,98
"Osciae""""";0,05;0,11;0,07;0;0,16;0;0,02;0;0;0,07;0,11;0;0;0,07;0,11;0,05;0;0,09;0,02;0,02;0,05;0;;1
"Phyto""""";0;0,02;0,07;0;0,07;0;0;0;0,05;0,05;0,09;0;0;0,09;0,09;0;0;0,05;0,07;0,05;0;0;;0,68
"Sard""""";0;0,02;0,05;0;0,05;0;0;0;0,02;0,05;0,02;0;0;0;0,02;0,02;0;0,02;0;0;0;0;;0,27
"ShaRay""""";0,09;0,09;0,2;0;0,34;0;0,02;0;0,11;0,11;0,2;0,02;0,02;0,16;0;0,16;0;0,3;0,05;0,14;0,02;0;;2,05
"Shri""""";0,02;0;0,02;0;0,14;0;0,02;0;0,11;0,07;0,07;0;0;0,02;0,09;0,05;0;0,11;0,02;0,02;0,05;0;;0,82
"Squid""""";0,09;0,07;0,18;0;0,2;0;0,02;0;0,11;0,09;0;0,02;0,02;0,18;0,2;0,09;0;0,16;0,07;0,14;0,02;0;;1,68
"TrigFish""""";0;0;0,02;0;0;0;0;0;0;0;0,02;0,02;0;0,02;0,02;0,02;0;0;0;0,02;0;0;;0,16
"WeakFishCyno""""";0;0,05;0;0;0,05;0;0;0;0,05;0,02;0,02;0;0;0,02;0,02;0,02;0;0,05;0;0;0;0;;0,3
"Zoopl""""";0,07;0,02;0;0;0,16;0;0,05;0;0,07;0,11;0,18;0,02;0,02;0,16;0,2;0,09;0;0,11;0,05;0,11;0;0;;1,43
