dl
n=28
format=fullmatrix
labels:	Totoa	Vaqu	Tibur	LobMar	BallDent	Merlu	BallBar	Sciae	Rhino	Serran	Stomat	Jaib	Manta	CDeRo	PecPla	OtroPec	Mycto	Ccafe	Cazul	Cefalo	Polique	Haemu	Major	Pelagic	InFau	Zoopl	Fitopl	Macrofit
data:
0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.003	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.004	0.004	0.024	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0
0	0	0.003	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.006	0.007	0.155	0.129	0.069	0	0	0	0	0.006	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0
0.003	0	0.1	0	0.033	0	0	0.004	0	0.038	0.048	0	0	0	0	0.003	0	0	0	0	0	0.052	0	0	0	0	0	0
0	0.002	0.043	0.046	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.013	0.226	0.123	0	0.033	0.228	0	0	0.217	0	0	0	0	0	0	0.369	0	0	0	0	0
0	0	0	0	0	0	0	0	0.04	0.023	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.167	0.357	0.065	0.082	0	0	0	0.184	0	0	0	0	0	0	0.261	0	0	0	0	0	0
0.004	0	0	0	0	0.004	0	0.004	0	0.035	0	0.001	0.01	0	0.015	0.003	0	0	0	0	0	0.052	0.021	0	0	0	0	0
0.01	0	0	0.023	0.088	0	0	0.017	0.317	0.002	0.184	0	0.01	0	0	0.714	0	0	0	0	0	0.104	0	0	0	0	0	0
0.006	0.007	0.522	0.128	0.569	0.079	0	1.004	0.377	0.123	0	0	0.591	0	0.905	0	0.368	0	0	0	0	1.512	0	0	0	0	0	0
0	0.006	0.204	0.117	0.321	0.089	0.063	0.105	0	0	0	0	0	0	0	0.031	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.021	0	0.013	0	0.011	0.004	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
0.001	0	0	0	0	0.003	0	0.134	0.04	0.028	0.112	0.012	0.104	0	0.077	0.372	0	0	0	0	0	0.313	0.021	0	0	0	0	0
0.005	0.005	0	0.053	1.04	0	0	0.184	0	0	0	0	0	0	0	1.521	1.164	0	0	0	0	0.104	0	0	0	0	0	0
0	0	0	0	0	0.019	0.038	0.276	0.586	0.065	0.409	0.016	2.272	0.185	2.363	3.011	0	0.065	0.715	0	0	11.053	5.659	0	21.07	0	0	0
0.008	0.001	0.208	0.1	0.949	0	0	0.138	0	0.006	0.017	0	0	0	0	2.701	0	0	0	0	0	0	0	0	0	0	0	0
0.002	0.004	0.157	0.132	0.522	0	0	0.167	0.013	0.01	0	0	0	0	0.629	0.497	0	0	0	0	0	0	0	0	0	0	0	0
0	0.008	0	0.038	0.011	0.043	0.085	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.014	0	0.009	0.125	1.246	0.731	0.285	1.447	0.04	4.367	0.266	5.247	2.949	0	0.047	1.526	0	62.477	9.124	2.85	0	0	0	0	0
0	0	0	0	0	0.027	0.243	0	0	0	0.041	0.013	0	0.093	0	7.077	3.501	0.022	0.545	18.236	175.059	0.469	0	0.391	42.866	0	0	0
0	0	0	0	0	0	0	0	0	0	0.133	0.038	0	0.039	0	3.787	3.75	0.018	0.545	13.435	95.88	0	0	0.36	58.124	1657.224	0	0
0	0	0	0	0	0	0	0	0	0.238	0.02	0.017	0.332	0.018	0.153	5.339	0	0.004	0.156	0	29.073	16.945	3.855	0	30.757	0	0	0
