24,13,8,3,1
26,13,8,1,1
8,13,4,3,2
34,13,4,3,2
4,13,10,3,2
34,13,4,3,2
5,13,4,3,2
35,13,2,3,2
2,13,2,3,2
4,13,10,3,2
15,13,8,3,2
14,13,4,3,2
22,5,8,1,1
1,5,1,3,3
35,8,2,3,3
23,5,8,3,1
6,8,10,3,3
25,2,2,3,3
6,8,10,3,3
33,3,8,1,1
9,8,10,3,3
21,8,2,3,3
12,8,2,3,3
23,5,10,3,3
17,3,10,1,3
16,13,9,10,4
37,13,12,10,4
13,13,10,10,4
13,13,10,10,4
7,13,10,10,4
32,4,10,10,4
18,5,9,10,4
3,8,10,10,5
29,5,13,10,4
36,8,11,10,5
11,8,9,10,5
36,8,3,10,5
10,5,8,10,4
36,5,7,10,5
30,6,8,3,1
37,6,7,10,4
31,1,8,10,6
31,1,8,4,6
31,1,8,5,6
31,1,8,3,6
31,1,8,3,6
31,1,8,3,6
31,1,6,3,6
39,12,5,2,6
39,12,8,10,6
31,1,8,10,6
31,1,8,10,6
31,1,8,10,6
31,1,8,9,6
31,10,8,6,7
31,11,8,8,8
20,9,8,11,7
19,7,8,7,7
38,14,8,10,7
28,14,8,3,7
27,14,8,10,7
38,14,8,10,7
