"TI3";""Rast"";""Scomber"";""Caran"";""Lpisc"";""Cepha"";""Tuna"";""Mamm"";""Zoopl"";""Jpela"";""Phyto"";""Spela"";""Sha"";""Shri"";""TraFish"";""Sdem"";""Lutja"";""PonyFish"";""Benth"";""Pomf"";""Nemi"";""FalTrev"";""SergShri"";""Jcaranx"";""Scian"";""Saur"";""Plecto"";""Silla"";""DemPisc"";""DemBenth"";""Jsaur"";""Jnemi"";""Ari"";""Pria"";""ShellFish"";""Ray"";""Cucu"";""CrabLobs"";""Jelly"";;SUM
""Pria"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,03";"0,03";"0,01";"0,04";"0,05";"0,03";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,02";"0,04";"0,02";"0,01";"0,01";"0,01";"0,03";"0,01";"0,01";"0,01";"0,01";"0,02";;"0,63"
""ShellFish"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,07";"0,01";"0,01";"0,01";"0,01";"0,01";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,00";"0,00";"0,01";"0,07";"0,01";"0,01";"0,04";"0,01";"0,01";"0,06";"0,01";"0,04";"0,01";"0,00";"0,01";"0,02";;"0,56"
""Ray"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,03";"0,00";"0,00";"0,01";"0,00";"0,02";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,01";"0,01";"0,00";"0,12";"0,46";"0,01";"0,00";;"0,75"
""Cucu"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,15";"0,11";"0,00";"0,00";;"0,30"
""CrabLobs"";"0,00";"0,00";"0,00";"0,01";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,01";"0,01";"0,00";"0,00";"0,01";"0,02";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,01";"0,01";"0,01";"0,01";"0,04";"0,01";"0,01";"0,01";"0,00";"0,01";"0,01";"0,00";"0,02";"0,00";;"0,28"
""Jelly"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";;"0,10"


"WI3";""Rast"";""Scomber"";""Caran"";""Lpisc"";""Cepha"";""Tuna"";""Mamm"";""Zoopl"";""Jpela"";""Phyto"";""Spela"";""Sha"";""Shri"";""TraFish"";""Sdem"";""Lutja"";""PonyFish"";""Benth"";""Pomf"";""Nemi"";""FalTrev"";""SergShri"";""Jcaranx"";""Scian"";""Saur"";""Plecto"";""Silla"";""DemPisc"";""DemBenth"";""Jsaur"";""Jnemi"";""Ari"";""Pria"";""ShellFish"";""Ray"";""Cucu"";""CrabLobs"";""Jelly"";;SUM
""Rast"";"590468198,19";"157945,94";"9711144,37";"23767,78";"105897986,32";"21773,74";"58519562,11";"1264458179540,03";"276938043,22";"575136915867,43";"1455616512,73";"70545,66";"28209780,89";"1730276252,06";"90336131,14";"79476,44";"39294967,19";"88497492904,85";"1264328,68";"21358145,01";"1398950,96";"50852073,28";"118885517,35";"835051,36";"1449172,03";"608979,20";"4733238,31";"317472,40";"13473582,83";"103291375,71";"124564855,92";"3904143,22";"39779763,87";"4890733640,94";"3582049,94";"0,00";"1125391063,41";"54899303766,49";;"1993883937570,99"
