TI3;"Bird""""";"PisF""""";"PlaF""""";"BentF""""";"BeDepF""""";"MacroZP""""";"MesoZP""""";"PerMacrophyt""""";"AnMacrophyt""""";"BeSuspF""""";"Phyto""""";;SUM
"Bird""""";0,09;0,14;0,14;0,14;0,09;0,05;0,03;0,08;0,08;0,01;0,02;;0,88
"PisF""""";0,23;0,14;0,19;0,19;0,28;0,16;0,07;0,12;0,12;0,03;0,05;;1,58
"PlaF""""";0,19;0,15;0,12;0,05;0,07;0,17;0,16;0,04;0,04;0,08;0,09;;1,15
"BentF""""";0,23;0,19;0,07;0,22;0,33;0,04;0,02;0,54;0,54;0;0,01;;2,18
"BeDepF""""";0,06;0,11;0,04;0,13;0,08;0,02;0,01;0,08;0,08;0;0,01;;0,62
"MacroZP""""";0,07;0,13;0,17;0,03;0,05;0,12;0,19;0,01;0,01;0,14;0,22;;1,14
"MesoZP""""";0,05;0,05;0,16;0,01;0,02;0,19;0,16;0;0;0,32;0,27;;1,23
"PerMacrophyt""""";0,03;0,02;0,01;0,11;0,04;0;0;0,07;0,07;0;0;;0,34
"AnMacrophyt""""";0,03;0,02;0,01;0,11;0,04;0;0;0,07;0,07;0;0;;0,34
"BeSuspF""""";0,01;0,01;0,04;0;0;0,07;0,16;0;0;0,13;0,2;;0,61
"Phyto""""";0,02;0,03;0,07;0;0,01;0,16;0,2;0;0;0,3;0,15;;0,94
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TO3;"Bird""""";"PisF""""";"PlaF""""";"BentF""""";"BeDepF""""";"MacroZP""""";"MesoZP""""";"PerMacrophyt""""";"AnMacrophyt""""";"BeSuspF""""";"Phyto""""";;SUM
"AnMacrophyt""""";0;0;0;0;0;0;0;0;0;0;0;;0
"BeDepF""""";0;0;0;0;0;0;0;0;0;0;0;;0
"BentF""""";0,05;0,18;0,09;0;0;0;0;0;0;0;0;;0,32
"BeSuspF""""";0;0;0,05;0;0;0,09;0,09;0;0;0;0,09;;0,32
"Bird""""";0;0,09;0;0,05;0;0,05;0,05;0;0;0;0;;0,23
"MacroZP""""";0,05;0,05;0,05;0;0;0;0,14;0;0;0,09;0,09;;0,45
"MesoZP""""";0,05;0,09;0,09;0;0;0,14;0;0;0;0,09;0,18;;0,64
"PerMacrophyt""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0,05;0,09;0;0;0,09;0,18;0;0;0,09;0;;0,5
"PisF""""";0,09;0;0,14;0,18;0;0,05;0,09;0;0;0;0,05;;0,59
"PlaF""""";0;0,14;0;0,09;0;0,05;0,09;0;0;0,05;0,09;;0,5
