TI3;"Tuna""""";"BlueWhit""""";"HorMack""""";"Mack""""";"Anch""""";"Sard""""";"Squid""""";"Shri""""";"MacroZoopl""""";"Lhake""""";"Shake""""";"LdemFish""""";"BenthFish""""";"SdemFish""""";"BenthCeph""""";"BenthInv""""";"SupBenthZoopl""""";"AngFish""""";"Magr""""";"DogFish""""";"Polyhae""""";"Oinv""""";"Ray""""";"MesoZoopl""""";"MicroZoopl""""";"Phyto""""";;SUM;;
"Oinv""""";0,01;0,02;0,04;0,01;0,01;0,01;0,02;0,04;0,01;0,02;0,02;0,04;0,05;0,04;0,05;0,05;0,04;0,03;0,03;0,05;0,03;0,03;0,07;0,01;0,01;0;;0,75;;
"Phyto""""";0,01;0,01;0,01;0,02;0,05;0,05;0,01;0;0,01;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0,05;0,06;0,04;;0,38;;
"Polyhae""""";0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,04;0,01;0,02;0,02;0,04;0,05;0,04;0,05;0,05;0,04;0,02;0,07;0,05;0,04;0,03;0,07;0,01;0,01;0;;0,76;;
"Ray""""";0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,02;0,02;0,02;0,05;0,04;0,02;0,05;0,03;0,02;0,02;0,02;0,06;0,05;0,03;0,01;0,01;0;;0,60;;
"Sard""""";0,07;0,05;0,05;0,03;0,04;0,04;0,04;0,02;0,03;0,04;0,05;0,04;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,01;0,01;0,01;0,06;0,08;0,12;;0,96;;
"SdemFish""""";0,03;0,06;0,06;0,03;0,03;0,03;0,06;0,06;0,07;0,06;0,06;0,06;0,07;0,05;0,07;0,07;0,06;0,08;0,08;0,07;0,08;0,08;0,09;0,06;0,03;0,02;;1,50;;
"Shake""""";0,03;0,05;0,04;0,03;0,05;0,05;0,04;0,04;0,02;0,05;0,03;0,04;0,05;0,04;0,03;0,05;0,04;0,03;0,03;0,02;0,02;0,03;0,03;0,02;0,02;0,03;;0,91;;
"Shri""""";0,07;0,05;0,06;0,03;0,03;0,03;0,05;0,05;0,03;0,06;0,06;0,06;0,07;0,06;0,07;0,07;0,05;0,08;0,08;0,06;0,08;0,08;0,09;0,02;0,02;0,01;;1,42;;
"Squid""""";0,09;0,07;0,06;0,08;0,07;0,07;0,05;0,06;0,08;0,06;0,07;0,06;0,04;0,06;0,06;0,06;0,05;0,08;0,03;0,06;0,04;0,04;0,07;0,07;0,04;0,04;;1,54;;
"SupBenthZoopl""""";0,04;0,06;0,06;0,08;0,07;0,04;0,06;0,06;0,08;0,07;0,07;0,06;0,07;0,06;0,07;0,07;0,05;0,04;0,08;0,07;0,08;0,08;0,09;0,07;0,08;0,05;;1,70;;
