"TI3";""Lutja"";""Ortho"";""Baird"";""Lagod"";""PolyChae"";""MeioBeth"";""Zoopl"";""Callin"";""EuciSto"";""Penae"";""Mollu"";""Arius"";""Mugil"";""Benthprod"";""Phyto"";;SUM
"WI3";""Lutja"";""Ortho"";""Baird"";""Lagod"";""PolyChae"";""MeioBeth"";""Zoopl"";""Callin"";""EuciSto"";""Penae"";""Mollu"";""Arius"";""Mugil"";""Benthprod"";""Phyto"";;SUM
""Lutja"";"28308971,49";"137309645,25";"116736964,23";"307548875,88";"772254326,14";"64546954232,28";"60501785929,10";"62996837,44";"187242965,13";"1056961011,84";"8849853690,25";"73402701,39";"1842018871,20";"16373903324,42";"64374383970,92";;"219231662316,97"
""Ortho"";"183079527,01";"735875873,44";"644769534,38";"1446091532,75";"3608050281,02";"292314600474,75";"456220457738,14";"241001480,87";"982996629,97";"4905771385,65";"48869186518,15";"328460896,13";"8409988534,78";"74471066280,97";"250451540894,17";;"1143812937582,18"
""Baird"";"214017767,76";"886558109,78";"766083154,63";"1671008416,96";"4100493770,33";"333902430953,61";"494473919505,21";"294976077,13";"1193705162,81";"5577290577,00";"54493772908,57";"403706519,66";"9556411923,22";"92289866686,65";"317333098359,66";;"1317157339892,98"
""Lagod"";"512581459,81";"1807614415,93";"1519098560,87";"1497976469,40";"2908124608,04";"181906801997,79";"318479699152,06";"221388672,87";"2362193026,83";"3389984978,85";"34479540870,04";"568042740,44";"4956227907,74";"142849644671,53";"324383814668,31";;"1021842734200,51"
""PolyChae"";"900963380,50";"3157043995,90";"2609405126,57";"2035687225,62";"3314808418,42";"167269482512,74";"152689162221,05";"328916841,16";"4134636446,25";"3394684174,64";"27760339042,98";"977043884,16";"4148318962,32";"247422669136,21";"547214036397,88";;"1167357197766,39"
""MeioBeth"";"118336082759,18";"401932575652,78";"333902430953,61";"200097482197,57";"262852043948,58";"5733700507981,38";"20212415609878,90";"24426115526,63";"521495923903,76";"194143458652,68";"2192693574882,52";"110419106288,77";"86615608387,36";"29045979848020,40";"52524746297273,40";;"111963756666308,00"
""Zoopl"";"90752678893,65";"513248014955,40";"404569570504,27";"286631729236,85";"196314637141,35";"16537430953537,30";"5472706173436,84";"48756984981,75";"793957636894,94";"153145581981,03";"1254100521069,42";"243804485905,34";"91279965814,29";"67049994381608,70";"253635480869595,00";;"346772174185556,00"
""Callin"";"52497364,53";"150625925,55";"134080035,06";"110694336,44";"234940600,83";"11102779784,83";"27087213878,75";"765914,91";"186164909,36";"255549998,07";"2753155129,63";"31141897,68";"334471887,30";"7852247666,83";"413145256,57";;"50699474586,33"
""EuciSto"";"312071608,56";"1228745787,46";"1085186511,64";"2362193026,83";"5906623494,65";"474087203548,87";"882175152105,48";"372329818,72";"1626922787,87";"8004703351,93";"85831437464,43";"520738781,72";"13676866050,19";"119219037328,74";"383091457512,42";;"1979500669179,51"
""Penae"";"704640674,56";"2452885692,83";"2028105664,36";"1355993991,54";"1939819528,36";"70597621328,25";"68064703102,68";"204439998,46";"3201881340,77";"1700852055,32";"13919953540,13";"713913683,98";"1507054301,80";"185797742822,37";"378825115390,64";;"733014723116,04"
""Mollu"";"13274780535,37";"54977834832,92";"44585814197,92";"31031586783,04";"35691864483,83";"1794022015812,97";"1254100521069,42";"4955679233,33";"77248293717,98";"31319895465,29";"256334282448,38";"20236113079,37";"27793818236,41";"5418702154098,27";"16266311270580,60";;"25330585924575,10"
""Arius"";"97870268,52";"328460896,13";"293604741,57";"454434192,35";"1116621581,90";"80304804573,65";"216715098582,52";"49827036,29";"416591025,38";"1427827367,96";"17987656070,55";"102786195,60";"2340205624,67";"24228075133,47";"50876419003,60";;"396740282294,16"
""Mugil"";"1842018871,20";"6307491401,08";"5212588321,76";"2973736744,64";"3555701967,70";"47244877302,20";"60853310542,86";"401366264,76";"8206119630,11";"2260581452,69";"18529212157,60";"1755154218,50";"3269823,97";"462178740152,15";"864613054871,45";;"1485937223722,68"
""Benthprod"";"21831871099,22";"74471066280,97";"67119903044,84";"114279715737,23";"282768764727,10";"21124348980378,50";"59599995005874,40";"12563596266,94";"95375229862,99";"371595485644,73";"4816624136976,24";"24228075133,47";"616238320202,87";"5731138686564,92";"12931166455246,70";;"105883745293041,00"
""Phyto"";"21458127990,31";"62612885223,54";"57696926974,48";"64876762933,66";"156346867542,25";"9549953872231,53";"56363440193243,20";"165258102,63";"76618291502,48";"189412557695,32";"3614735837906,81";"12719104750,90";"288204351623,82";"3232791613811,68";"1491245416,67";;"73692523896949,30"

