"TI3";""Cepha"";""Pisc"";""Mcarni"";""InvFeedOne"";""InvFeedThree"";""SuspFeed"";""Deca"";""Gastro"";""Bird"";""InvFeedTwo"";""Dpunt"";""HerbFish"";""PlFish"";""Mugil"";""Blen"";""Polych"";""Crus"";""Amph"";""MacroAlga"";""Echino"";""InvFeedFour"";""Zoopl"";""Macropl"";""Phyto"";""PelBaci"";""Proto"";;SUM
""InvFeedFour"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,01";"0,03";"0,04";"0,03";"0,01";"0,02";"0,04";"0,02";"0,01";"0,01";"0,01";;"0,42"
""Zoopl"";"0,02";"0,02";"0,02";"0,02";"0,02";"0,05";"0,05";"0,03";"0,03";"0,03";"0,03";"0,03";"0,07";"0,11";"0,06";"0,05";"0,05";"0,05";"0,03";"0,05";"0,10";"0,05";"0,10";"0,11";"0,04";"0,10";;"1,32"
""Macropl"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,05";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,01";"0,02";"0,04";"0,03";"0,01";"0,01";"0,02";;"0,45"
""Phyto"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,04";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,09";"0,01";"0,03";"0,04";"0,01";"0,01";"0,01";"0,02";"0,05";"0,02";"0,04";"0,03";"0,08";;"0,60"
""PelBaci"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,03";"0,01";"0,00";"0,01";"0,01";"0,01";"0,00";"0,01";"0,01";"0,03";"0,01";"0,01";"0,01";"0,04";"0,01";"0,02";"0,01";"0,02";"0,03";"0,07";;"0,45"
""Proto"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,04";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,01";"0,02";"0,03";"0,01";"0,01";"0,02";"0,02";"0,05";"0,02";"0,08";"0,09";"0,04";;"0,59"


"WI3";""Cepha"";""Pisc"";""Mcarni"";""InvFeedOne"";""InvFeedThree"";""SuspFeed"";""Deca"";""Gastro"";""Bird"";""InvFeedTwo"";""Dpunt"";""HerbFish"";""PlFish"";""Mugil"";""Blen"";""Polych"";""Crus"";""Amph"";""MacroAlga"";""Echino"";""InvFeedFour"";""Zoopl"";""Macropl"";""Phyto"";""PelBaci"";""Proto"";;SUM
""Cepha"";"4495980319,72";"195373938,60";"361988370,62";"11873953750,62";"7487890000,00";"99203350455,93";"18570475723,97";"54321297413,25";"12935643,87";"799273391,24";"439956131,84";"6788494945,48";"1309856604,43";"213093684,91";"1014591551,00";"89138882450,40";"56338629899,14";"44935802012,82";"147873855840,44";"25402222743,66";"22546761,41";"164763304721,01";"2271135353,43";"119693765225,11";"100432799374,14";"153279569089,31";;"1111241025396,35"
""Pisc"";"307016189,23";"7071147,11";"22676506,22";"701535334,70";"205551067,04";"1738902642,86";"1759917702,70";"2883755963,63";"501410,36";"71088723,97";"34122737,32";"328625123,88";"130333493,06";"1749474,55";"69254523,54";"2669227257,90";"2375273813,88";"2212488192,70";"8110369517,78";"1086197850,32";"3341561,53";"1255729804,36";"202102300,37";"6182310655,36";"2847282066,72";"1952375993,13";;"37158801054,20"
