TI3;"BalWhale""""";"SPelaInvFeed""""";"ScadMack""""";"Sard""""";"SMBathyInvFeed""""";"MBathyPelaInvFeed""""";"SBathyPelaPred""""";"MesoPela""""";"Cepha""""";"CarnZoopl""""";"ToothWhaleDolph""""";"LDeepShaRay""""";"LCoastShaRay""""";"BonShad""""";"MullOHerb""""";"MDemInvFeed""""";"SDemPred""""";"SDemInvFeed""""";"Benth""""";"Turtle""""";"LDemPred""""";"ProdPrim""""";"Bird""""";"LPelaPred""""";"CatFish""""";"Crus""""";"SPelaPred""""";"MDeepShaRay""""";"MCoastShaRay""""";"LTuna""""";"GAfriThre""""";"MDemPred""""";"LessAfriThre""""";"LBathyPred""""";"LBathyPelaPred""""";"Jack""""";"SpaFish""""";"HerbZoopl""""";"STuna""""";"Croak""""";"RoyThre""""";"Group""""";"LDemInvFeed""""";;SUM;
"MullOHerb""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,02;0,03;0,04;0,04;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,01;0,01;0;0,01;;0,67;
"MDemInvFeed""""";0,02;0,03;0,02;0,03;0,02;0,01;0,02;0,02;0,03;0,03;0,04;0,05;0,04;0,02;0,02;0,03;0,02;0,02;0,03;0,03;0,03;0,04;0,05;0,04;0,05;0,03;0,02;0,02;0,04;0,05;0,02;0,05;0,02;0,02;0,02;0,05;0,02;0,03;0,02;0,02;0,02;0,02;0,02;;1,25;
"SDemPred""""";0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,03;0,02;0,04;0,01;0,04;0,02;0,02;0,02;0,03;0,03;0,03;0,02;0,03;0,01;0,02;0,01;0,06;0,03;0,01;0,01;0,04;0,01;0,06;0,05;0,03;0,01;0,01;0,02;0,02;0,01;0,04;0,06;0,07;0,02;0,01;;1,04;
"SDemInvFeed""""";0,02;0,04;0,03;0,02;0,02;0,01;0,02;0,02;0,04;0,03;0,05;0,05;0,05;0,06;0,03;0,03;0,05;0,04;0,04;0,03;0,04;0,05;0,05;0,05;0,07;0,04;0,03;0,02;0,05;0,05;0,06;0,06;0,07;0,02;0,02;0,05;0,03;0,04;0,05;0,07;0,04;0,02;0,02;;1,65;
"Benth""""";0,03;0,04;0,05;0,03;0,06;0,08;0,02;0,05;0,04;0,03;0,06;0,06;0,05;0,06;0,07;0,05;0,05;0,05;0,04;0,03;0,05;0,06;0,06;0,05;0,07;0,04;0,03;0,03;0,05;0,06;0,03;0,06;0,07;0,05;0,03;0,06;0,08;0,05;0,05;0,03;0,03;0,03;0,14;;2,19;
"Turtle""""";0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0,01;0;0;0;0;0,02;0,02;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;;0,21;
"LDemPred""""";0,02;0,03;0,04;0,03;0,05;0,02;0,02;0,04;0,03;0,04;0,02;0,02;0,02;0,02;0,06;0,04;0,05;0,04;0,03;0,14;0,04;0,06;0,02;0,02;0,02;0,03;0,05;0,02;0,02;0,02;0,06;0,05;0,06;0,02;0,02;0,02;0,03;0,02;0,02;0,03;0,06;0,02;0,02;;1,46;
"ProdPrim""""";0,01;0,02;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,04;0,05;0,03;0,01;0,03;0,03;0,14;0,04;0,03;0,02;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,06;0,03;0,02;0,01;0,01;0;0,02;;0,96;
"Bird""""";0,01;0,02;0,03;0,03;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,01;0,04;0,05;0,03;0,01;0,03;0,03;0,01;0,01;0,02;0,02;0,04;0,05;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;;0,84;
"LPelaPred""""";0,01;0,03;0,04;0,03;0,02;0,01;0,01;0,02;0,03;0,02;0,02;0,05;0,04;0,05;0,05;0,04;0,02;0,03;0,03;0,01;0,02;0,02;0,05;0,03;0,02;0,03;0,05;0,02;0,02;0,05;0,02;0,02;0,02;0,02;0,01;0,05;0,02;0,04;0,05;0,02;0,01;0,02;0,02;;1,17;
